region_2,lobe,region_1,hemi_1,region,Yeo
 Cont_Cing_1 ,LL, Cont_Cing_1 L ,L,7Networks_LH_Cont_Cing_1,Control
 Cont_Cing_1 ,RL, Cont_Cing_1 R ,R,7Networks_RH_Cont_Cing_1,Control
 Cont_Cing_2 ,LL, Cont_Cing_2 L ,L,7Networks_LH_Cont_Cing_2,Control
 Cont_Cing_2 ,RL, Cont_Cing_2 R ,R,7Networks_RH_Cont_Cing_2,Control
 Cont_OFC_1 ,LPF, Cont_OFC_1 L ,L,7Networks_LH_Cont_OFC_1,Control
 Cont_PFCl_1 ,LF, Cont_Par_1 L ,L,7Networks_LH_Cont_PFCl_1,Control
 Cont_PFCl_1 ,RPF, Cont_Par_1 R ,R,7Networks_RH_Cont_PFCl_1,Control
 Cont_PFCl_2 ,LF, Cont_Par_2 L ,L,7Networks_LH_Cont_PFCl_2,Control
 Cont_PFCl_2 ,RF, Cont_Par_2 R ,R,7Networks_RH_Cont_PFCl_2,Control
 Cont_PFCl_3 ,LF, Cont_Par_3 L ,L,7Networks_LH_Cont_PFCl_3,Control
 Cont_PFCl_3 ,RF, Cont_Par_3 R ,R,7Networks_RH_Cont_PFCl_3,Control
 Cont_PFCl_4 ,LF, Cont_pCun_1 L ,L,7Networks_LH_Cont_PFCl_4,Control
 Cont_PFCl_4 ,RF, Cont_pCun_1 R ,R,7Networks_RH_Cont_PFCl_4,Control
 Cont_PFCl_5 ,LF, Cont_PFCl_1 L ,L,7Networks_LH_Cont_PFCl_5,Control
 Cont_PFCl_5 ,RF, Cont_PFCl_1 R ,R,7Networks_RH_Cont_PFCl_5,Control
 Cont_PFCl_6 ,RF, Cont_PFCl_2 L ,R,7Networks_RH_Cont_PFCl_6,Control
 Cont_PFCl_7 ,RF, Cont_PFCl_2 R ,R,7Networks_RH_Cont_PFCl_7,Control
 Cont_PFCmp_1 ,RF, Cont_PFCl_3 L ,R,7Networks_RH_Cont_PFCmp_1,Control
 Cont_PFCmp_2 ,RF, Cont_PFCl_3 R ,R,7Networks_RH_Cont_PFCmp_2,Control
