name,x.mni,y.mni,z.mni,lobe,hemi,index,class,name2,,region
lG_Ins_lg_and_S_cent_ins,-36.46,-7.484,-0.058,Insula,L,17,G,G_Ins_lg_and_S_cent_ins,,G Ins lg and S cent ins
rG_Ins_lg_and_S_cent_ins,37.305,-4.064,-3.656,Insula,R,91,G,G_Ins_lg_and_S_cent_ins,,G Ins lg and S cent ins
lG_and_S_cingul.Ant,-10.877,39.073,8.334,Limbic,L,6,G_and_S,G_and_S_cingul.Ant,,G and S cingul-Ant
rG_and_S_cingul.Ant,11.187,38.601,8.006,Limbic,R,80,G_and_S,G_and_S_cingul.Ant,,G and S cingul-Ant
lG_and_S_cingul.Mid.Ant,-10.191,13.856,35.766,Limbic,L,7,G_and_S,G_and_S_cingul.Mid.Ant,,G and S cingul-Mid-Ant
rG_and_S_cingul.Mid.Ant,10.39,14.795,36.112,Limbic,R,81,G_and_S,G_and_S_cingul.Mid.Ant,,G and S cingul-Mid-Ant
lG_and_S_cingul.Mid.Post,-10.189,-11.567,39.832,Limbic,L,8,G_and_S,G_and_S_cingul.Mid.Post,,G and S cingul-Mid-Post
rG_and_S_cingul.Mid.Post,9.828,-9.724,40.879,Limbic,R,82,G_and_S,G_and_S_cingul.Mid.Post,,G and S cingul-Mid-Post
lG_and_S_frontomargin,-24.026,53.836,-6.229,Frontal,L,1,G_and_S,G_and_S_frontomargin,,G and S frontomargin
rG_and_S_frontomargin,22.974,55.986,-8.061,Frontal,R,75,G_and_S,G_and_S_frontomargin,,G and S frontomargin
lG_and_S_occipital_inf,-39.27,-81.242,-11.977,Occipital,L,2,G_and_S,G_and_S_occipital_inf,,G and S occipital inf
rG_and_S_occipital_inf,42.104,-76.432,-11.482,Occipital,R,76,G_and_S,G_and_S_occipital_inf,,G and S occipital inf
lG_and_S_paracentral,-7.879,-36.062,68.083,Parietal,L,3,G_and_S,G_and_S_paracentral,,G and S paracentral
rG_and_S_paracentral,6.915,-34.854,68.429,Parietal,R,77,G_and_S,G_and_S_paracentral,,G and S paracentral
lG_and_S_subcentral,-56.559,-11.103,15.503,Parietal,L,4,G_and_S,G_and_S_subcentral,,G and S subcentral
rG_and_S_subcentral,56.534,-10.438,16.768,Parietal,R,78,G_and_S,G_and_S_subcentral,,G and S subcentral
lG_and_S_transv_frontopol,-15.187,61.795,0.472,Frontal,L,5,G_and_S,G_and_S_transv_frontopol,,G and S transv frontopol
rG_and_S_transv_frontopol,16.678,61.254,1.985,Frontal,R,79,G_and_S,G_and_S_transv_frontopol,,G and S transv frontopol
lG_cingul.Post.dorsal,-5.101,-36.409,30.514,Limbic,L,9,G,G_cingul.Post.dorsal,,G cingul-Post-dorsal
rG_cingul.Post.dorsal,5.363,-36.443,30.714,Limbic,R,83,G,G_cingul.Post.dorsal,,G cingul-Post-dorsal
lG_cingul.Post.ventral,-9.817,-46.978,5.625,Limbic,L,10,G,G_cingul.Post.ventral,,G cingul-Post-ventral
rG_cingul.Post.ventral,10.218,-49.055,7.38,Limbic,R,84,G,G_cingul.Post.ventral,,G cingul-Post-ventral
lG_cuneus,-5.703,-82.559,15.05,Occipital,L,11,G,G_cuneus,,G cuneus
rG_cuneus,6.428,-81.143,17.312,Occipital,R,85,G,G_cuneus,,G cuneus
lG_front_inf.Opercular,-50.085,11.87,7.46,Frontal,L,12,G,G_front_inf.Opercular,,G front inf-Opercular
rG_front_inf.Opercular,50.918,9.801,8.232,Frontal,R,86,G,G_front_inf.Opercular,,G front inf-Opercular
lG_front_inf.Orbital,-44.306,30.741,-10.499,Frontal,L,13,G,G_front_inf.Orbital,,G front inf-Orbital
rG_front_inf.Orbital,47.925,32.35,-6.988,Frontal,R,87,G,G_front_inf.Orbital,,G front inf-Orbital
lG_front_inf.Triangul,-48.826,29.933,3.848,Frontal,L,14,G,G_front_inf.Triangul,,G front inf-Triangul
rG_front_inf.Triangul,51.05,28.051,6.786,Frontal,R,88,G,G_front_inf.Triangul,,G front inf-Triangul
lG_front_middle,-37.27,29.7,31.553,Frontal,L,15,G,G_front_middle,,G front middle
rG_front_middle,38.204,29.401,30.849,Frontal,R,89,G,G_front_middle,,G front middle
lG_front_sup,-9.03,21.65,51.327,Frontal,L,16,G,G_front_sup,,G front sup
rG_front_sup,9.28,22.781,52.457,Frontal,R,90,G,G_front_sup,,G front sup
lG_insular_short,-35.043,8.586,-2.554,Insula,L,18,G,G_insular_short,,G insular short
rG_insular_short,36.318,9.454,-2.202,Insula,R,92,G,G_insular_short,,G insular short
lG_oc.temp_lat.fusifor,-35.646,-53.889,-17.966,Occipital,L,21,G,G_oc.temp_lat.fusifor,,G oc-temp lat-fusifor
rG_oc.temp_lat.fusifor,34.63,-52.534,-17.037,Occipital,R,95,G,G_oc.temp_lat.fusifor,,G oc-temp lat-fusifor
lG_oc.temp_med.Lingual,-11.197,-73.654,-5.086,Occipital,L,22,G,G_oc.temp_med.Lingual,,G oc-temp med-Lingual
rG_oc.temp_med.Lingual,12.425,-67.656,-4.46,Occipital,R,96,G,G_oc.temp_med.Lingual,,G oc-temp med-Lingual
lG_oc.temp_med.Parahip,-23.67,-19.45,-26.838,Temporal,L,23,G,G_oc.temp_med.Parahip,,G oc-temp med-Parahip
rG_oc.temp_med.Parahip,25.122,-16.652,-27.74,Temporal,R,97,G,G_oc.temp_med.Parahip,,G oc-temp med-Parahip
lG_occipital_middle,-39.239,-82.374,11.232,Occipital,L,19,G,G_occipital_middle,,G occipital middle
rG_occipital_middle,40.033,-79.453,12.821,Occipital,R,93,G,G_occipital_middle,,G occipital middle
lG_occipital_sup,-14.847,-86.955,26.707,Occipital,L,20,G,G_occipital_sup,,G occipital sup
rG_occipital_sup,18.948,-85.935,31.252,Occipital,R,94,G,G_occipital_sup,,G occipital sup
lG_orbital,-27.36,30.677,-17.425,Frontal,L,24,G,G_orbital,,G orbital
rG_orbital,26.58,30.04,-17.02,Frontal,R,98,G,G_orbital,,G orbital
lG_pariet_inf.Angular,-42.927,-64.441,38.345,Parietal,L,25,G,G_pariet_inf.Angular,,G pariet inf-Angular
rG_pariet_inf.Angular,46.059,-60.622,39.301,Parietal,R,99,G,G_pariet_inf.Angular,,G pariet inf-Angular
