ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_Ins_lg_and_S_cent_ins L,-0.4041876866366142,-0.11501368777095844,0.7293449143975463,0.2769818082350577,-0.36686312244536756,0.30577102078357216,0.07100554109387266
G_Ins_lg_and_S_cent_ins R,0.8339988145396412,1.1559560372065545,1.4047860988556968,0.7875771675913755,0.6640277426021791,0.4827621581485698,0.8881846698240028
G_and_S_cingul-Ant L,0.5230969028117491,1.0971257629102984,1.0408773865489882,0.07966406049357186,-0.5305230878965872,0.33461323341284116,0.42414237638014357
G_and_S_cingul-Ant R,0.3504313904309416,0.001973360484933684,0.4674268565338739,-0.1525992825112169,0.6528471972005511,0.7004523083893607,0.336755305088074
G_and_S_cingul-Mid-Ant L,-0.40826080554922856,0.4096737034453725,0.9441145694265328,0.8765893103353108,0.5068106281963436,-0.6773404706464901,0.27526448920130686
G_and_S_cingul-Mid-Ant R,0.473524071658064,0.9307757825330332,1.17215870784961,0.20442952262243022,0.5232530568038233,0.1578779637685827,0.5770031842059239
G_and_S_cingul-Mid-Post L,0.34924890036383005,0.6267241053204647,0.4184305360655204,0.41942260222607036,0.802755711727165,0.2843610626599303,0.48349048639383013
G_and_S_cingul-Mid-Post R,0.9703063741013358,1.0340435953427485,0.4300375987694195,0.6709391032106861,1.0543973345027038,0.678129532875468,0.8063089231337269
G_and_S_frontomargin L,-1.279099341523068,-1.0394892624130425,-0.6233431897836057,-1.1327131772372945,-1.0857986301556644,-0.8391674538318923,-0.9999351758240943
G_and_S_frontomargin R,0.3334566555916883,0.24965251017839768,0.1232876277109645,-0.45987806913361784,0.05641595800204445,-0.24067413357559653,0.01037675812898009
G_and_S_occipital_inf L,0.22825192767227273,0.5401420278911166,0.22792332451020242,-1.2710543433124655,-0.49795896671105166,0.3393433681960052,-0.07222544362565336
G_and_S_occipital_inf R,1.096928476407201,1.0492249622027598,0.216813243007162,0.19650751950225576,0.9747324856700855,1.184502148224868,0.7864514725023888
G_and_S_paracentral L,-0.08360792021241363,0.06811056754031153,0.534717594499945,0.21782296485888156,-0.5234855260809653,-0.30787400622937294,-0.015719387603935625
G_and_S_paracentral R,-0.37453077836522003,0.1464338684849845,0.8461188389662606,0.1597757169411253,0.2821084374188084,0.012660203426972378,0.17876104781215518
G_and_S_subcentral L,0.7147477761884614,0.739398416025628,0.535923626715199,0.8305642858201324,0.5615421378522987,0.2508464451189577,0.6055037812867795
G_and_S_subcentral R,1.2528706909411729,0.8921878155110801,0.22418066837551343,-0.37370947045555747,0.6256243078095071,1.0908361227457097,0.6186650224879043
G_and_S_transv_frontopol L,0.2958577198825585,-0.13922798442790094,0.6557864110215897,0.2367634140279242,0.4012318856597715,0.670686654367961,0.3535163500886507
G_and_S_transv_frontopol R,0.08295198366164658,-0.17649558400067467,0.21633490023100377,-0.20832084243966603,-0.5749256754555471,-0.979169017181482,-0.2732707058641199
G_cingul-Post-dorsal L,0.03347190141216124,0.6694902743128539,1.0956390817364174,0.6922056108576012,0.9251638804380239,-0.3018491425561717,0.5190202677001478
G_cingul-Post-dorsal R,0.09430958186769528,0.5625392589761551,1.0205380359862297,0.7577294452996404,1.1939923877158962,-0.08682871173660171,0.5903799996848358
G_cingul-Post-ventral L,0.7268113691041981,0.6765147624742373,0.9024067700490482,0.3515013588333928,1.0287895896529904,-0.5452136280914925,0.5234683703370624
G_cingul-Post-ventral R,0.7935608753860869,0.8653499593765058,0.5007017510438692,0.25401777653616664,0.6640373999986867,-0.6407265932179662,0.4061568615205582
G_cuneus L,0.5799994115314373,0.7310637563356776,0.6983354089608558,0.15518831594500918,1.1681402121998876,0.8567191674707293,0.6982410454072662
G_cuneus R,0.6200624019782446,0.29965155646567904,0.42593644286505833,0.4776017253842669,0.22921145625189482,-0.09924376268905785,0.3255366367093476
G_front_inf-Opercular L,0.1964768636914765,0.1910460714991291,0.8387049456051624,1.743958588830823,0.9391810524503963,0.2876955350868186,0.699510509527301
G_front_inf-Opercular R,-0.9859060690549742,-0.4981419083806942,0.3814276363979025,0.39715472265474067,-0.6785163610578195,-1.0481612656422896,-0.4053572075138557
G_front_inf-Orbital L,-0.005103886368090227,0.3351359450607223,0.07424777980383765,0.6366051402580052,-0.138026652892091,0.9094159956205365,0.3020457202471534
G_front_inf-Orbital R,1.585530496016084,0.8008117884829805,1.195654379678828,0.39592862331061374,0.8045776532588805,0.672202974683601,0.9091176525718313
G_front_inf-Triangul L,0.1965142262280749,-0.31714039692315243,-0.10288629042992173,0.8071851057952629,-0.29855888885015175,-0.9203214985750953,-0.10586795712583057
G_front_inf-Triangul R,0.8532574275031835,0.8683303409582719,0.975883900506284,0.9154335222120232,1.6958346261376114,1.242476740254412,1.0918694262619644
