ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_Ins_lg_and_S_cent_ins L,-0.4244629014284894,-0.10414538906270138,0.7116295130783401,0.26590722146838425,-0.37169745444453295,0.3295358066582855,0.06779446604488101
G_Ins_lg_and_S_cent_ins R,0.834772334555335,1.1657781159811789,1.412672592994448,0.7691452200043571,0.6533248530997515,0.5040765705532355,0.8899616145313843
G_and_S_cingul-Ant L,0.5045772243801969,1.1103888332273133,1.020281543046982,0.06161465362897327,-0.5393351785404652,0.3208657644571651,0.41306547336669425
G_and_S_cingul-Ant R,0.33922821311506074,0.004241136132666967,0.4637572360275361,-0.15870777003144715,0.6553911725004069,0.6781163129829938,0.33033771678786955
G_and_S_cingul-Mid-Ant L,-0.4192338267404849,0.416513878142574,0.963207733811014,0.8732382207824356,0.4924108215905788,-0.6948761391440865,0.27187678140700516
G_and_S_cingul-Mid-Ant R,0.4578922152279269,0.9073116456790843,1.153322275060313,0.19582248323416884,0.5115363171236849,0.14886587269560517,0.5624584681701306
G_and_S_cingul-Mid-Post L,0.345548700219856,0.6204861731784286,0.4071873234753604,0.3972809250895012,0.7877905076250279,0.3097771197696669,0.47801179155964024
G_and_S_cingul-Mid-Post R,0.9434798557794493,1.0167246285053888,0.41913278940081417,0.6506721842051062,1.0410645442511497,0.6933516916331531,0.7940709489625103
G_and_S_frontomargin L,-1.288682446980287,-1.0493421082486196,-0.6361207236524689,-1.14117362790215,-1.094165944250864,-0.8868321624259187,-1.016052835576718
G_and_S_frontomargin R,0.32052888983447503,0.23379268885130766,0.11042342452103256,-0.4815458216710364,0.041838039503778256,-0.25172617087889876,-0.004448158306556931
G_and_S_occipital_inf L,0.21721368394913398,0.527215568446078,0.20172610126162388,-1.2714057591073031,-0.5045701406770158,0.3298165764765899,-0.08333399494181552
G_and_S_occipital_inf R,1.097633845644899,1.0460150308693452,0.20899580592095918,0.18373990645803454,0.9688800248038522,1.1377795952995067,0.7738407014994327
G_and_S_paracentral L,-0.10604769123675711,0.05020576575330603,0.5053530131550014,0.21909431402396878,-0.5267107146686771,-0.30922943001275366,-0.027889123830985286
G_and_S_paracentral R,-0.3728166786559181,0.11273790962968801,0.8091787362782293,0.14145516370600175,0.2652689532589694,0.007539589441855732,0.160560612276471
G_and_S_subcentral L,0.6961855325514217,0.7406288748798707,0.5479149502363762,0.8126973358796269,0.553889542153715,0.2845019814547964,0.6059697028593011
G_and_S_subcentral R,1.2535556361967903,0.8681604240889258,0.21863215714525303,-0.35493622737657754,0.6083554756123783,1.0301819492760116,0.6039915691571304
G_and_S_transv_frontopol L,0.28516623208393854,-0.15118366214104156,0.6419858714402277,0.22188159968002888,0.39489078768322,0.6806602538368722,0.3455668470972076
G_and_S_transv_frontopol R,0.0748040390501371,-0.18764120323357647,0.20603532641790565,-0.21793321849092645,-0.5904938857287926,-0.9982435131542445,-0.28557874252324955
G_cingul-Post-dorsal L,0.027972408430701846,0.6670814018619078,1.095437774842786,0.6852127590438207,0.91865436296431,-0.302699666230766,0.5152765068187933
G_cingul-Post-dorsal R,0.0909164074165937,0.5638892862581042,1.004896202682549,0.744401766771547,1.1864614379357594,-0.07835049248467996,0.5853691014299788
G_cingul-Post-ventral L,0.7214871890852721,0.660077537472439,0.8899800504369513,0.3447404342616814,1.021418334443847,-0.5498946094158856,0.5146348227140508
G_cingul-Post-ventral R,0.7805939992547262,0.8266627845903896,0.48915143531793176,0.2336923523550683,0.6518031861789968,-0.6350200566815236,0.39114728350259814
G_cuneus L,0.5598073309096676,0.7293647738768185,0.6802888422434739,0.12826710728710827,1.147613914745266,0.8375323290415148,0.6804790496839748
G_cuneus R,0.5918161691365293,0.28979024288373906,0.4029128390920631,0.44897851299412495,0.2150323557686069,-0.09977188037349109,0.3081263732502621
G_front_inf-Opercular L,0.18104495120387348,0.17890146359667755,0.8524755423578176,1.7389949158050813,0.9278956247823844,0.3136684070763639,0.6988301508036997
G_front_inf-Opercular R,-0.98168029212705,-0.5001107409042045,0.37236515173218,0.3941137426522626,-0.7035466600814227,-1.0296166808288474,-0.40807924659284706
