ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_Ins_lg_and_S_cent_ins L,0.7955745755369547,0.8951312635225295,0.8741443436107721,0.8696515914035727,0.8901245000965204,0.8156489060317305,0.85671253003368
G_Ins_lg_and_S_cent_ins R,0.8934126464108951,0.9375760052610003,0.9378093028002349,0.8815308321190193,0.9206869543491983,0.8298732969218817,0.9001481729770383
G_and_S_cingul-Ant L,0.8070598177838695,0.8255277430862167,0.8597923500410932,0.8496093825700726,0.8933202400404425,0.844487212234505,0.8466327909593665
G_and_S_cingul-Ant R,0.775102646334477,0.8223328196502879,0.8444635046348246,0.8513210221683027,0.8878012715926221,0.8628204122682251,0.8406402794414566
G_and_S_cingul-Mid-Ant L,0.9121380740166005,0.9300863260787164,0.9014421840134414,0.9028999175746468,0.941316378181536,0.8592608772152839,0.9078572928467041
G_and_S_cingul-Mid-Ant R,0.8926381309262048,0.9165718343428031,0.877560947285758,0.8642864328410081,0.9304259455070835,0.8903925609973135,0.895312641983362
G_and_S_cingul-Mid-Post L,0.885240504249551,0.944384959174047,0.9213764672064093,0.9010740681192126,0.9368388690256667,0.8452158557415684,0.9056884539194092
G_and_S_cingul-Mid-Post R,0.8806051485027743,0.9399672089724098,0.91740464784877,0.9222377480581733,0.9283342803217842,0.8142661778731848,0.900469201929516
G_and_S_frontomargin L,0.9496139858201036,0.9609304524874811,0.9628582854605758,0.947931734233406,0.9521264143031815,0.8868720356035468,0.943388817984716
G_and_S_frontomargin R,0.9450829707152316,0.9604279679965269,0.9618094202680508,0.9540179218602077,0.9647444858006805,0.9129550533936026,0.9498396366723832
G_and_S_occipital_inf L,0.9242941073894017,0.9331855698111055,0.9369941067287952,0.9332562467571549,0.9288742815058445,0.8080090653177737,0.9107688962516792
G_and_S_occipital_inf R,0.9206046081915288,0.9272832116260021,0.9227586705441458,0.9283905275061531,0.9428631332872104,0.8180051191979514,0.9099842117254986
G_and_S_paracentral L,0.7805283133824945,0.8857732750091556,0.9038524322054162,0.8568478069466314,0.885019234942939,0.8910776926760531,0.8671831258604484
G_and_S_paracentral R,0.7797241813378251,0.8891537645575868,0.8926153187430617,0.854089004222343,0.8882465623577052,0.9007176266847691,0.8674244096505485
G_and_S_subcentral L,0.88015656324238,0.9016640974793415,0.8694935324458666,0.882466803950863,0.8836198590306891,0.7637555992045398,0.8635260758922799
G_and_S_subcentral R,0.8336089311423007,0.8534505649206706,0.8707890657468068,0.8267541124851361,0.8607502738157748,0.759023494346865,0.8340627404095923
G_and_S_transv_frontopol L,0.9569103739227542,0.9655787748398306,0.9654648260195964,0.9671999155964691,0.9399368866182737,0.854969132269707,0.9416766515444385
G_and_S_transv_frontopol R,0.9740508966418278,0.984312537206709,0.9828063256629281,0.9742903226797681,0.9309804390131837,0.832064410437682,0.9464174886070165
G_cingul-Post-dorsal L,0.8232515057257559,0.8439348608462325,0.8801216681776303,0.8204474121554203,0.8011744413633533,0.8556427466773167,0.8374287724909514
