,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
Full_brain,0.9405469394586994,0.900566215835728,0.8618105489771164,0.8289159931082815,0.0774358862754638,0.028850445342807774,0.03872837748731581,0.049699318476684046
G_Ins_lg_and_S_cent_ins L,0.97024651117658,0.9679808052159674,0.9573441990825636,0.918862014723582,0.03891260121250018,0.036211314502293736,0.029381595138189418,0.05408525102786789
G_Ins_lg_and_S_cent_ins R,0.9720794034407312,0.9726011615579346,0.9537527480772651,0.9266584980666556,0.037913314609796286,0.020495605576710492,0.03632066714485594,0.047445433371457665
G_and_S_cingul-Ant L,0.9760307551083368,0.9739840892033687,0.9448615967595716,0.9347851936651349,0.034672045720337656,0.027833817155803724,0.04536225399576531,0.048798368325136246
G_and_S_cingul-Ant R,0.976237710203474,0.9747487817429917,0.9561202134274775,0.9376334941182881,0.03701897184813275,0.029204388546769856,0.03962725417505111,0.047948084019977015
G_and_S_cingul-Mid-Ant L,0.9680201677824484,0.9654498322135808,0.941225076254416,0.916958561124507,0.044499441062758806,0.03853807609230489,0.05879737722905037,0.053559215108607706
G_and_S_cingul-Mid-Ant R,0.9708862977978299,0.9655382435872553,0.9384530953780884,0.9240199284822258,0.039211107097469736,0.03617861992601576,0.06301410253330898,0.0521175149529315
G_and_S_cingul-Mid-Post L,0.9630555223561934,0.9641221602538096,0.9275962345312281,0.9047439292985697,0.054022713249714395,0.03940043859012859,0.05920035041255623,0.06489064830212733
G_and_S_cingul-Mid-Post R,0.9637170880033477,0.9642989904522519,0.9271905036434234,0.9069294249102728,0.05328934863355695,0.038988196931708255,0.05542807436000911,0.0664072224682379
G_and_S_frontomargin L,0.9826787382119899,0.9792002416698002,0.9687473025692174,0.9530427508548088,0.0230338559156474,0.02187012023845601,0.023657730361129704,0.03453409155937337
G_and_S_frontomargin R,0.9849628355135319,0.9820151027165352,0.9733658427615062,0.9599369418037051,0.021771517436126906,0.018426680623899735,0.020407462881587526,0.03063174826527018
G_and_S_occipital_inf L,0.9428958698933959,0.9643586187313955,0.8923218353043263,0.8499417348856204,0.08524345137775954,0.02571737858668171,0.06899475376295042,0.09872845439616539
G_and_S_occipital_inf R,0.9448746522172098,0.9655550375487397,0.8940227766761866,0.8547397283696665,0.08589186704782809,0.033221584642444464,0.05900504665055215,0.10246733108035791
G_and_S_paracentral L,0.9510474948696621,0.9453262926286173,0.9222890231521224,0.8639038223048042,0.07358478456725738,0.04325653137618975,0.07001627851004179,0.09850547037610323
