ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
bankssts L,0.6059691211851556,0.6904987088631339,0.721998757075557,0.8019303438873379,0.538099216603934,0.34913115595706373,0.617937883928697
bankssts R,0.5705217426955767,0.6045325019084307,0.7199169235371816,0.7831692418314704,0.5180071585428099,0.3117645427147413,0.5846520185383685
caudalanteriorcingulate L,0.5540379342223125,0.619684590269276,0.6752863461037713,0.7134761609354007,0.5782470132540979,0.36629297419635065,0.5845041698302015
caudalanteriorcingulate R,0.5394780528146891,0.6161747048275817,0.684601266524574,0.7079243954501664,0.5758709298592753,0.3623039166322127,0.58105887768475
caudalmiddlefrontal L,0.6193201916480991,0.5816331311137997,0.7184664232660454,0.7216831320743813,0.6056711594778452,0.39708046673258596,0.607309084052126
caudalmiddlefrontal R,0.6013240263790864,0.5787965926158469,0.6934596083583013,0.7205368588553354,0.5817247723590565,0.39359820925238354,0.5949066779700017
cuneus L,0.569895522668785,0.6318320099013224,0.767153810288303,0.7441216249418656,0.6456093356474353,0.3245574438205677,0.6138616245447132
cuneus R,0.5440848461633494,0.6032077402174231,0.7645778582628908,0.7561802421608526,0.6440050551844881,0.32642748716826964,0.6064138715262123
entorhinal L,0.44065758419234957,0.5677942668693648,0.6355108441125563,0.7257434163779296,0.39332986029974276,0.3253788437211613,0.5147358025955174
entorhinal R,0.4588375898092782,0.4594267379056548,0.5900143780971523,0.688057754231348,0.40924732941184594,0.30847257360791075,0.48567606051053164
frontalpole L,0.37471593435921335,0.5961681912213808,0.5403256288522648,0.7211211597006439,0.5852440426060772,0.41670405392334836,0.5390465017771547
frontalpole R,0.39354387631050153,0.5923337259833378,0.5291876509649313,0.6950862573218592,0.5650875314577507,0.4009493869560654,0.529364738165741
fusiform L,0.5545836090698679,0.6791706899063649,0.7397851667006724,0.7898875718218867,0.517216196528786,0.3342870476238777,0.6024883802752425
fusiform R,0.5453011925724344,0.5997486003527139,0.7253483612022047,0.7630535351794345,0.5282063614110525,0.33923362971319493,0.5834819467385058
inferiorparietal L,0.6404809980840082,0.6725536877045825,0.6968274352962462,0.7702585983545958,0.6247728703112753,0.34868752103551715,0.6255968517977042
inferiorparietal R,0.6077072927074861,0.6389388958390514,0.7063395625899893,0.7636143931773423,0.6183064317166743,0.3459518037947623,0.6134763966375509
inferiortemporal L,0.5549233105268834,0.7011673148208026,0.7354027405594689,0.8080991672326409,0.49509254417553245,0.3587033432892641,0.6088980701007655
inferiortemporal R,0.563356882567215,0.5780199247129502,0.7250534631350034,0.7835878968539385,0.5239994461205596,0.33893055146813894,0.5854913608096343
insula L,0.5042155242359054,0.6452508062315734,0.7361470688817187,0.7700953471464798,0.5123446004627285,0.33094599734563007,0.583166557384006
