ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
bankssts L,0.6301066432555195,0.792590912223821,0.8665993235172376,0.7866221712444198,0.7134534227479001,0.572758668374862,0.7270218568939599
bankssts R,0.5938509730063921,0.7554805624838927,0.8761330876985631,0.7703679683449232,0.7143119007155322,0.5503176144830136,0.7100770177887195
caudalanteriorcingulate L,0.5555553351801191,0.7618178462300844,0.7875240216590205,0.723451470886774,0.5971359033018203,0.5782348177835089,0.6672865658402212
caudalanteriorcingulate R,0.5423606943334351,0.7624986939664453,0.7835788171754368,0.7138715707234489,0.595495159967753,0.5315063067489437,0.6548852071525771
caudalmiddlefrontal L,0.6642986586799839,0.7533736340820285,0.8181385132731334,0.7415422360179578,0.6238266859497026,0.7270500988881358,0.7213716378151571
caudalmiddlefrontal R,0.6662803716783281,0.7406477390703152,0.8037117241107847,0.7043064359928943,0.534744696285831,0.599382225339521,0.6748455320796124
cuneus L,0.5688300019606018,0.7162560739368713,0.8232246410210337,0.7327499499986107,0.8379166857919429,0.4489047003461598,0.6879803421758699
cuneus R,0.5493217539968765,0.6949627281053998,0.8276393725835138,0.735947879336372,0.8140653280212866,0.429940806992941,0.6753129781727316
entorhinal L,0.4678617965213644,0.647185375245254,0.774156760025214,0.5252068750712366,0.36172351189139185,0.35465383686794527,0.5217980259370677
entorhinal R,0.48105323486502405,0.5493557304979708,0.7169418989942281,0.48738330643881084,0.38316301752327453,0.20407172306007038,0.47032815189656313
frontalpole L,0.47161810169277607,0.6855144876074406,0.6396909058535167,0.6420308317368021,0.4700543745743396,0.6125505086112998,0.5869098683460292
frontalpole R,0.470285871526826,0.7016200049022391,0.660272131898681,0.6233496351375484,0.45539591795938816,0.6435158152412777,0.59240656277766
fusiform L,0.5437951881783558,0.7476879392203186,0.8792912457660849,0.7170168791048708,0.7319174975085259,0.5403865734692289,0.6933492205412309
fusiform R,0.5255565890964041,0.707673262228854,0.8565598863873666,0.6879206505160909,0.6831517227484352,0.4879589513239071,0.658136843716843
inferiorparietal L,0.675893111660183,0.7825778382919796,0.8292172500096127,0.7843812491691855,0.8437447064173641,0.6640443564834867,0.7633097520053019
inferiorparietal R,0.6357464061164635,0.7632778149968935,0.847248796880214,0.7878745289635983,0.815327908411058,0.6027776781288579,0.7420421889161809
inferiortemporal L,0.5843927201553356,0.7918750759205182,0.8844598967431458,0.7559534709300403,0.6439649146614502,0.5795510993822383,0.7066995296321213
inferiortemporal R,0.5653396442257785,0.7399845189788106,0.8730805894801998,0.7235347281863108,0.7345770780990404,0.5396924803249157,0.6960348398825092
insula L,0.5118641305507594,0.7729226902859571,0.850753274712661,0.7338594651869836,0.6375515322621336,0.4733545313005547,0.6633842707165082
