ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
bankssts L,0.718959593627493,0.9115193865377125,0.8880958141916281,0.9025129521963163,0.7573251671421053,0.567485477054892,0.7909830651250246
bankssts R,0.6452688656065614,0.919108960743116,0.8884567720655081,0.8387996482875532,0.7612608732535158,0.5337191496887569,0.7644357116075019
caudalanteriorcingulate L,0.69821895684528,0.8842354129324422,0.8322008109563568,0.8464949008857368,0.7798664579340802,0.666827913734221,0.7846407422146862
caudalanteriorcingulate R,0.6895870025915232,0.8902772830044219,0.8542814744407664,0.8488690311959793,0.7811041138753987,0.6075534181039131,0.778612053868667
caudalmiddlefrontal L,0.7906213160347004,0.8205668187429729,0.8424131479192128,0.8504264079650496,0.8077066629231352,0.8095295053495721,0.820210643155774
caudalmiddlefrontal R,0.7497711652428738,0.8552000506751094,0.8645339901549312,0.8495933193423316,0.7628202389320091,0.7001171427430648,0.7970059845150533
cuneus L,0.7155273649980518,0.9022701288107097,0.9061067052959448,0.9050970010095393,0.8920183031028284,0.5263599071798016,0.8078965683994791
cuneus R,0.7007665131333438,0.8480494124694675,0.8624895705881069,0.8535020217362015,0.8088042427518148,0.40454850839653317,0.7463600448459112
entorhinal L,0.5928377994954437,0.8680817431112131,0.835836389171013,0.7183389132940894,0.5170868615939173,0.5082840061625827,0.6734109521380433
entorhinal R,0.5715142971040803,0.7782541658369141,0.8083021686831262,0.7133997201331509,0.5737612327071497,0.40228618813286376,0.6412529620995474
frontalpole L,0.6260403120558554,0.7841747813987376,0.7439526461655225,0.7597566336396713,0.5686341409067296,0.6053771970756391,0.6813226185403592
frontalpole R,0.6243427793732452,0.7810045681984092,0.6819677128558624,0.713747922179423,0.5262181326064717,0.5937245498391083,0.6535009441754199
fusiform L,0.6126808500822825,0.9288926545551593,0.9180193462366921,0.8285737984089815,0.744189921463739,0.6008561645456926,0.7722021225487579
fusiform R,0.5893520894381599,0.8787783297015446,0.8872076514178433,0.7017803618871337,0.6444681014931515,0.5511582709734556,0.7087908008185481
inferiorparietal L,0.7549727395459847,0.9078379862621755,0.8926981701661563,0.9284394639417219,0.9264368736967039,0.8117731449140018,0.8703597297544574
inferiorparietal R,0.747543384503021,0.8856695191278583,0.8887654967206136,0.9097167670089484,0.8927551956139673,0.6971380339887321,0.8369313994938569
inferiortemporal L,0.6726966688537144,0.9249576075390888,0.894641600525989,0.9017204734041041,0.782532468403957,0.6448332594598459,0.8035636796977831
inferiortemporal R,0.6246151607714909,0.88385825572767,0.8865059517811563,0.7711152660304981,0.7923003554240167,0.6372674689241294,0.7659437431098269
insula L,0.6692413507619516,0.906429603606353,0.8830271944916624,0.8632441231963276,0.6816012644270559,0.6335759737358893,0.7728532517032066
insula R,0.6670854703597024,0.8999831192187253,0.8776274165961546,0.8330205826834574,0.6711059904714272,0.42370685168786765,0.7287549051695558
isthmuscingulate L,0.627291277769472,0.9212134730000862,0.8780853876986431,0.865507975183274,0.6550048155571091,0.704988234059792,0.7753485272113961
isthmuscingulate R,0.6416903368231207,0.9341012935453172,0.9165725010726108,0.8662013133877043,0.6931408465797502,0.7030526843766884,0.792459829297532
lateraloccipital L,0.7077406831265649,0.8878570201390064,0.887406256635775,0.8984270923152712,0.8968500734492553,0.7613228768960829,0.8399340004269925
lateraloccipital R,0.6955970522290247,0.8680559384931892,0.8837098747579104,0.8686974640425393,0.8635829963124004,0.6723480493051985,0.8086652291900438
lateralorbitofrontal L,0.6646736288562647,0.8253940180433412,0.8297145201999442,0.8657882585123596,0.6261760362140399,0.6191115428788959,0.7384763341174744
