ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
bankssts L,0.6430537020984322,0.8275466727347613,0.8663298169451507,0.7602411463880986,0.6944234595199097,0.5567867273383381,0.7247302541707817
bankssts R,0.6029897569031824,0.7357574165711639,0.8594605805046556,0.7333806469766866,0.7183205060614946,0.3750035888838028,0.6708187493168309
caudalanteriorcingulate L,0.5615533339668337,0.7252396222526294,0.8024568819055116,0.6992884114361911,0.5053610124126171,0.48215954427195656,0.6293431343742899
caudalanteriorcingulate R,0.5818262688796225,0.7173017950611389,0.7805594716205906,0.709793087257609,0.5309385220362636,0.44415850630104314,0.6274296085260446
caudalmiddlefrontal L,0.7012371097056145,0.7987752060383714,0.8475197105519813,0.7160051578237803,0.4675201393185434,0.6878873373462813,0.7031574434640954
caudalmiddlefrontal R,0.6701181317299649,0.7208465613373192,0.7798852416318943,0.6841255545278556,0.3864696144949974,0.6250858680024027,0.644421828620739
cuneus L,0.605416290511174,0.5766424105949077,0.8229538541740935,0.7268952002981781,0.8702795236533796,0.6163496792146189,0.703089493074392
cuneus R,0.6091741549967806,0.5530654770600659,0.8397170420581219,0.7139393567737099,0.8683923124466464,0.5830847556936586,0.6945621831714971
entorhinal L,0.5121809016633968,0.5976617496169769,0.7115642761944558,0.47469237342246123,0.388136903973512,0.3745569740492563,0.5097988631533431
entorhinal R,0.5040168547009118,0.45783302827212013,0.6862790458963614,0.36652960245669686,0.29006244575318907,0.10513043841450255,0.401641902582297
frontalpole L,0.5116869453229705,0.6202080039406513,0.5242643313263876,0.3745037526001056,0.44620289993354767,0.6262036211342226,0.5171782590429809
frontalpole R,0.553369887258028,0.669918065341153,0.5704013967930834,0.42610545392443894,0.4577744081918948,0.7112106188394953,0.5647966383913489
fusiform L,0.5681532735969932,0.74955084379609,0.8674931674801682,0.6947287872646424,0.7410446582597092,0.49165988147007766,0.6854384353112802
fusiform R,0.5590985776408912,0.6765442669931827,0.8539183858231129,0.6669755875997809,0.7364745899991527,0.4494314713274653,0.6570738132305977
inferiorparietal L,0.7146375640964509,0.7639076980158122,0.7765919006067559,0.6849640793274718,0.7829023404446971,0.6389066871253818,0.726985044936095
inferiorparietal R,0.6937953971096533,0.7612339309980523,0.8234863160672188,0.7412604307257302,0.850495179762591,0.6205922118139887,0.7484772444128724
inferiortemporal L,0.6223308911255931,0.8160129105578102,0.8687998633437047,0.6915511733219328,0.5947757249360547,0.5912371028236928,0.697451277684798
inferiortemporal R,0.6032467363974685,0.7230834797201611,0.8770265584493722,0.6827510353730694,0.7132471746191446,0.5536903185258604,0.6921742171808459
insula L,0.5728884643534401,0.7934991779279811,0.8304933408417092,0.7004323043350884,0.665923967246853,0.48614320958539325,0.6748967440484108
insula R,0.5668385072377669,0.623158545227181,0.81713696216502,0.6305100379594863,0.609336020680341,0.29275583458646454,0.5899559846427099
isthmuscingulate L,0.5356713342837848,0.6564736177441148,0.8858752147107877,0.7378424885862223,0.6438312740572668,0.4191553056998567,0.6464748725136721
isthmuscingulate R,0.5659394554856242,0.6882763883337357,0.8806514880422899,0.750338017706295,0.6515222279446258,0.41868706028252217,0.6592357729658489
lateraloccipital L,0.593909276679906,0.5924804799273551,0.7573324675435945,0.5278777163540163,0.6621205591191701,0.5441465420235104,0.6129778402745921
lateraloccipital R,0.6439980270058591,0.6300177425489351,0.8090519565513151,0.634640617591071,0.8018967134819466,0.7046426657022564,0.7040412871468972
lateralorbitofrontal L,0.45664790423654417,0.6140287510821378,0.6675610506287853,0.47034282529510035,0.5320304618606488,0.5604382383841354,0.5501748719145587
lateralorbitofrontal R,0.5474556751796312,0.5719273042058588,0.6889095826457027,0.5183429544466862,0.5957953832883798,0.44162511506391994,0.5606760024716964
lingual L,0.5412146873408076,0.6172349272186324,0.8170800634211247,0.6503668725356058,0.7615400533549065,0.5707395488522341,0.6596960254538852
lingual R,0.561502678247335,0.6089296038516363,0.8564495073702474,0.6521733614414206,0.7316455109218405,0.4808900881260616,0.6485984583264236
medialorbitofrontal L,0.40328790953084526,0.4615289499887746,0.5771996600620286,0.37738523225085374,0.5144188674591632,0.463536240090191,0.46622614323030936
medialorbitofrontal R,0.44887295438892993,0.4872010296361296,0.6015001974260896,0.44133268212971744,0.5308421997270474,0.40192778781215904,0.48527947518667885
middletemporal L,0.6569420888944272,0.82645921984834,0.8635725235145133,0.719175612306413,0.48781057323176996,0.5075433769701253,0.6769172324609314
middletemporal R,0.6270660350255318,0.7175050437639363,0.8922501048494397,0.695191947259091,0.7828927383542454,0.6662619372938992,0.7301946344243572
paracentral L,0.6907445433008882,0.7280441936925776,0.8760911386671151,0.7546440533411549,0.59186704582881,0.5479471583956013,0.6982230222043578
paracentral R,0.7060174841563748,0.7187598152129254,0.8611771256483246,0.7424705204853882,0.5238534710120263,0.45716234746021683,0.6682401273292093
parahippocampal L,0.4860486298387169,0.6690777955674387,0.8012540958200182,0.6011242589918818,0.41335387002796775,0.3086629506996573,0.5465869334909468
parahippocampal R,0.5249323149527423,0.6644918488005135,0.7847032412843155,0.6153076005976049,0.4520055025694424,0.19960958519323324,0.5401750155663086
parsopercularis L,0.6651409757334521,0.832340444037352,0.8398344533603501,0.7148352933410198,0.5885592004695503,0.6725960966378481,0.7188844105965955
parsopercularis R,0.6437106248540634,0.7469602040072428,0.8338313370948235,0.6981630872104451,0.6123135904175415,0.5765448666423074,0.685253951704404
parsorbitalis L,0.5535668622908624,0.7019406281886886,0.7196397570476143,0.5724795193656426,0.4666911468325535,0.5258716019099233,0.5900315859392141
parsorbitalis R,0.6703742381494862,0.733184529407916,0.7564931575893364,0.5663050344720982,0.6121375497913915,0.6638197390580851,0.6670523747447189
parstriangularis L,0.6200448018026763,0.7562744102780782,0.7811523593269024,0.6537361528606499,0.47224238216497094,0.5979177749069075,0.6468946468900308
parstriangularis R,0.6761090177834188,0.7626273014179908,0.8183874056647079,0.6352109669787834,0.5659750508460899,0.6358385478554518,0.6823580484244071
pericalcarine L,0.5803578353196321,0.6213781872895066,0.8036628948608625,0.6720596072526358,0.8315791767522758,0.6387068694427676,0.6912907618196135
pericalcarine R,0.601770638819515,0.5834519429344713,0.8386858015094933,0.6518154432110544,0.8066655904962854,0.5917745574188035,0.6790273290649371
