ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
bankssts L,0.9263816858985521,0.8283636069119278,1.066629164723327,0.24132210864328568,0.4344984921236935,-0.5491122746828861,0.4913471306029833
bankssts R,0.6264438628891799,0.8582684340794258,0.7298177074364389,0.36953750662669027,0.28261693226831885,0.472151858168697,0.5564727169114585
caudalanteriorcingulate L,0.313870040938406,0.779810948280242,0.6431846506537452,0.9068376420687333,0.045291590771528265,-0.11236991922221762,0.42943749224840616
caudalanteriorcingulate R,0.21112413631691984,0.6823890220177873,0.4695848374802072,0.903489844683476,-0.00961695894181475,0.06766616739551139,0.38743950815868117
caudalmiddlefrontal L,0.43787992536032533,0.6908109182426927,0.8576287133257129,1.0396038372475191,0.44580009290126954,0.8064162283628474,0.7130232859067279
caudalmiddlefrontal R,0.2968052319997736,0.29751146091264924,0.6934479618727892,1.001361858161436,-0.5117995913312737,-0.14966209516102227,0.27127747107572536
cuneus L,0.7433839836835059,0.7010552048179778,0.9133995752123054,0.2593667424145458,0.6627299261470136,-0.4427013441467262,0.4728723480214371
cuneus R,0.5662634365022865,0.7530394942319263,1.0352400413075116,0.24760329330035039,0.8344900481054106,-0.29517633736049836,0.5235766626811645
entorhinal L,0.3995615984213668,0.37170709882734904,0.5497126477603393,0.02912021390658512,0.2926407329534877,-0.5279756028205876,0.18579444817475674
entorhinal R,0.41073884841738206,0.5379198142666654,0.3059266236231879,0.024071407236620334,0.4157605718990246,-0.31967616885020544,0.22912351609877912
frontalpole L,1.037468243433055,1.0823376324999465,0.42946751772157415,0.3946672550445297,-0.0014986487807032134,0.13846395484596705,0.5134843257940616
frontalpole R,1.065391713788483,1.3124228684081447,0.508588576489633,0.3244993668133803,0.052997831437338716,0.1021885062132546,0.5610148105250391
fusiform L,0.8118233505825317,0.8694452293468926,0.8581119389942078,0.15142382512355212,0.8318813608081245,0.0024780408498700224,0.5875272909508631
fusiform R,0.8768557176184125,1.0623791616151383,0.6792817422698629,0.21699254123939132,1.1137499430806612,0.8952871170281513,0.8074243704752696
inferiorparietal L,0.7661303480750141,0.542866430738445,0.7842508374598224,0.2965082670533035,0.48511264533289944,-0.38489172102404134,0.41499613460590723
inferiorparietal R,0.5611963977452807,0.5426567834920324,0.7806823626229155,0.6937485530533243,0.6799499355255263,0.5500145433552684,0.6347080959657245
inferiortemporal L,0.7631847290414422,0.6851197330100112,1.0592893708209057,0.12816697313122083,0.07214165689165628,-0.16361624017102802,0.424047703787368
inferiortemporal R,0.7854921798513543,0.9535048479275374,0.6956147452885967,0.44608708336076464,0.9086002681422997,0.5421923189236302,0.7219152405823639
insula L,0.47796420187448296,0.665577888635115,1.0361490169811662,0.4988242933359442,0.18887496295265055,0.514508813551257,0.5636498628884361
insula R,0.3714916926520245,0.5870464161732258,0.4030508639199953,0.2550353624561263,0.2618614457861073,-0.16084953002788407,0.28627270849326586
isthmuscingulate L,0.7805231674964102,0.7602727197422876,0.9285064094003468,0.1706094526757946,0.08545828765918174,-0.4414698089591056,0.3806500380024859
isthmuscingulate R,0.6761618597777517,0.7755534068674433,0.7158010287285537,0.17075592842843423,-0.025885358264197356,-0.5204010961522109,0.2986642948976291
lateraloccipital L,0.62930809359885,0.5320859483291215,0.7745695349935595,0.027729881659466497,0.3576397903648479,-0.2561116486010418,0.34420360005746725
lateraloccipital R,0.6456751533733283,0.5479063695633346,0.88534676553164,0.33738956269316894,0.585718137920401,0.6671606981152834,0.611532781199526
lateralorbitofrontal L,0.5615796477329296,0.8468285453919758,0.4975191033694341,0.2640821485984584,0.2464379697880116,0.3951489520701101,0.4685993944918199
lateralorbitofrontal R,0.48145262560595575,0.8291550915225969,0.28726485145149383,0.23186826527192042,-0.07921688140090946,-0.187236366480643,0.26054793099506907
lingual L,0.9279936132518533,0.8461201102167459,0.7734470352320113,0.13337800280546883,0.8598235248723469,0.533291470974457,0.6790089595588139
lingual R,0.8695648925506694,0.8780461174059673,0.8981716009159667,0.1915010431026748,0.6937928211782313,0.5305220385760027,0.6769330856215854
medialorbitofrontal L,0.6569039870127886,0.838311609724437,0.30126173578527665,0.02403307082695331,0.2353295732580066,-0.15211325878348717,0.31728778630399584
medialorbitofrontal R,0.5629094910676772,0.8148974699304055,0.1925610982342834,0.0664328177806271,0.1747752757978655,-0.20018883981624566,0.2685645521657688
middletemporal L,0.7844064464488282,0.6269311359934551,1.274981283141057,0.3071125322868742,-0.21201727097815648,-0.23160090985813236,0.4249688695056542
middletemporal R,0.6508153086414641,0.859053431633474,0.7495150689586676,0.4518106171580678,0.5671624321029677,0.45032563242680157,0.6214470818202406
paracentral L,0.2776281582767771,0.2599372270333084,0.9544349637565676,0.9445502103261552,1.0527204492519886,-0.018662225899634653,0.5784347971241937
paracentral R,0.38506033361231123,0.38111222705313264,0.933068150092424,0.9256632051343872,0.8545485708552907,0.1694422836649602,0.6081491284020842
parahippocampal L,0.8469599957639647,0.8256505550306311,0.816493301689292,0.18052156001878403,0.4619374854389292,-0.11512101856242601,0.5027403132298626
parahippocampal R,0.8599739236289242,1.1060584238330073,0.6078406565108955,0.3116293098947538,0.926824136205488,0.07990149691891955,0.648704657831998
parsopercularis L,0.562755189812803,0.8836945022545488,0.9334096103044193,1.2084992313100829,0.20701537519767504,1.0938949632236374,0.8148781453505277
parsopercularis R,0.3181483478325741,0.5253143186827977,0.8357656804757173,1.0250528611529324,-0.5371875728920303,-0.08900893547954912,0.3463474499620736
parsorbitalis L,0.42689425627962574,0.6254147039745269,0.6511618651598889,0.945524073502865,-0.23949092277105982,0.20702688537106698,0.43608847691948566
parsorbitalis R,0.43437600858396236,0.8606405497406642,0.45366786952979227,0.5825328904969279,-0.8809720889939184,-0.879792432987115,0.0950754660617189
parstriangularis L,0.4707239562130926,0.7672265984625458,0.862372683467656,1.0874747048619637,-0.20160645306387254,0.26732678561878936,0.5422530459266958
parstriangularis R,0.38551334209847493,0.6455476565367719,0.7248724653419437,0.8253774948456645,-0.8654218853335355,-0.7279758798485225,0.16465219894013286
