ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
bankssts L,0.8955577196774317,0.8161720921643387,1.0552685749550519,0.23667886294131618,0.35892314591760177,-0.5984439502417612,0.4606927409023298
bankssts R,0.6131171627205536,0.8490114118699812,0.7126486750070902,0.35438542790920213,0.27471216879829574,0.4224058583524697,0.5377134507762654
caudalanteriorcingulate L,0.3508478162951655,0.7696839221298396,0.654281983616593,0.8980278769323152,0.04923455640271455,-0.002369405752066265,0.4532844582707602
caudalanteriorcingulate R,0.260739287272089,0.6811997576019815,0.4817166677159957,0.8857413673676686,0.015818149745377246,0.15513385087412931,0.4133915134295402
caudalmiddlefrontal L,0.5045368594882931,0.6994087577030799,0.8409216877987525,1.012958771424257,0.40633276766283927,0.768792307866488,0.705491858657285
caudalmiddlefrontal R,0.35262921037117256,0.2955441000086587,0.6865402192581824,0.9764302410576498,-0.5294861327877938,-0.15766457312137608,0.27066551079774887
cuneus L,0.7532015668930535,0.6690296487859424,0.8894581538229831,0.25511822125321926,0.6437879453458988,-0.44112528816708646,0.4615783746556685
cuneus R,0.5728338427247344,0.7381475715325299,1.0072941213123474,0.22118118232940798,0.7699555680584391,-0.2811717386060291,0.5047067578919049
entorhinal L,0.2806305970245761,0.3471097505985763,0.5727198521776676,0.02575813019330315,0.2645065880079558,-0.5041501424497937,0.1644291292587142
entorhinal R,0.34998738479662234,0.5138206496740965,0.3033461515525695,0.012422238762118674,0.3065223333298743,-0.4051754638417653,0.18015388237891936
frontalpole L,1.0153518456015005,1.1351572785786994,0.423282142201145,0.5267282499455532,0.018519857845715287,0.11163640587741408,0.5384459633416713
frontalpole R,1.0418003174393742,1.3192133247752673,0.4647001901482448,0.3653697818053552,0.08521128728178747,0.1037691252709349,0.563344004453494
fusiform L,0.7552753035277984,0.8351805763868301,0.8375434898275653,0.1413659161941855,0.77357537490256,-0.09338187595620143,0.5415931308137897
fusiform R,0.8149862646795369,1.0562920041436188,0.6534448085390769,0.19777736126069637,1.0453585362326003,0.8149976596285683,0.763809439080683
inferiorparietal L,0.768727338572047,0.5353702284613036,0.7544802527016506,0.29006484182819176,0.457809251182835,-0.4190945295015746,0.39789289720740895
inferiorparietal R,0.5850539192081887,0.5524840268013238,0.7589034525221231,0.6916745454605695,0.66233078745795,0.541581046569332,0.6320046296699146
inferiortemporal L,0.7199221705919892,0.6688583802014769,1.0521556090581246,0.12618180809009902,0.037283451032266414,-0.15091706947662384,0.4089140582495554
inferiortemporal R,0.7388221056768917,0.9491466882700097,0.6749637771797115,0.42940014167353646,0.8622212208528535,0.4856665796785444,0.6900367522219244
insula L,0.44035478799783384,0.6541673435119504,1.0284880664519642,0.49061011161838636,0.17681542178212828,0.47684446545503745,0.54454669946955
insula R,0.36176107550650594,0.5886366156644887,0.39326941921410374,0.27652872379201426,0.2186204518533351,-0.2628017517612589,0.2626690890448648
isthmuscingulate L,0.7710629908189984,0.7431311507531917,0.9166031482240955,0.17499010313995203,0.18069905799851077,-0.4295605783933126,0.3928209787569059
isthmuscingulate R,0.6869109792910932,0.7631548532366472,0.7003459347804113,0.1743667086779463,0.058802038218244326,-0.4769305285958802,0.3177749976014103
lateraloccipital L,0.6416087262993975,0.5029945247321818,0.746290409102667,0.02987807452571097,0.3529426528057421,-0.21572854669529687,0.34299764012840034
