ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
bankssts L,0.6237610582758712,0.8212592550915072,0.8705390697511939,0.8166062142555175,0.7229777858942845,0.5867541130056224,0.7403162493789995
bankssts R,0.5892557371057232,0.7946240984391445,0.8699696981839301,0.7961209738306453,0.7108680672082169,0.48727542194184026,0.7080189994515833
caudalanteriorcingulate L,0.5630137726561902,0.7993366821794912,0.805762149616894,0.7633044908529576,0.6234533950674875,0.5686810478375598,0.6872585897017633
caudalanteriorcingulate R,0.5541191693900462,0.7876887264390833,0.8056855452855782,0.747164637748224,0.6076907054759285,0.5191195213773931,0.6702447176193757
caudalmiddlefrontal L,0.6807819407872869,0.7731554872324935,0.8250911827920342,0.7646898514220445,0.6501209209397252,0.7393063299029413,0.7388576188460876
caudalmiddlefrontal R,0.6648433043288213,0.7631418750764001,0.8005825011775138,0.7354033805364247,0.5790662614335302,0.6601216452687397,0.7005264946369051
cuneus L,0.5776763884470026,0.709284584223061,0.8371979176048683,0.7511372336813277,0.8186673611186903,0.46415210863886225,0.6930192656189688
cuneus R,0.5812971231529912,0.699232171788003,0.8415312066239137,0.7617013312046734,0.8276161955384692,0.499784995883912,0.7018605040319938
entorhinal L,0.4913776253031673,0.7130959894523856,0.7713498803739635,0.5838058640404301,0.36018234691840606,0.3873785255667701,0.5511983719425204
entorhinal R,0.4997619165465078,0.6071496786327084,0.7305158465441064,0.5444492055635088,0.36483031715916764,0.23379728551788742,0.49675070832731444
frontalpole L,0.4525676103298349,0.6964999911783416,0.6613982461171858,0.6159403335836534,0.5178800615823789,0.6078483091116673,0.592022425317177
frontalpole R,0.47262420698623114,0.7311826219492913,0.6742249268670768,0.6338260300332433,0.5178102253067084,0.6448597425510953,0.6124212922822744
fusiform L,0.5368042105598378,0.7916119927261099,0.8816984713937541,0.7420263104423143,0.7043691294224137,0.5316820935066913,0.6980320346751868
fusiform R,0.5331089217206405,0.7517543904276306,0.8623147483349942,0.7067786265359806,0.6642262930929773,0.4677538402629001,0.6643228033958539
inferiorparietal L,0.6812058454564797,0.7864182607509513,0.8317911210213756,0.7956539685686581,0.8229529116200645,0.6543238537828315,0.7620576602000603
inferiorparietal R,0.6461722611643574,0.7732859842775242,0.84575818612273,0.8072671759314884,0.8308024545204672,0.6308688061762205,0.7556924780321314
inferiortemporal L,0.5808855731901181,0.8239831759088998,0.8813223881209218,0.7872108122419545,0.6401922642212026,0.5945667474190327,0.7180268268503549
inferiortemporal R,0.5707358572723579,0.7788299833947993,0.8782820452692537,0.7552244732012064,0.7269540612300011,0.5800842213701289,0.7150184402896246
insula L,0.5321077686693033,0.8180176941550636,0.8461452057187298,0.7705456176543118,0.6280671248008995,0.49801631843119154,0.6821499549049167
insula R,0.5604691126487698,0.7715280229394231,0.8474815778726794,0.7478559282768453,0.616796134579818,0.4046426597936719,0.6581289060185346
isthmuscingulate L,0.5107574832777451,0.7759388475397535,0.8812820665283521,0.7940702077953491,0.6356451349505072,0.5065675194911473,0.684043543263809
isthmuscingulate R,0.5455860378451665,0.7886201045551959,0.8793363357275336,0.7954217902628564,0.6462458834647183,0.49515271879154327,0.6917271451078356
lateraloccipital L,0.6013546927435134,0.6892744724396226,0.8010640560274196,0.6847661749224351,0.7517671131837946,0.6128758803984629,0.6901837316192081
lateraloccipital R,0.5988280261183323,0.7019661197738125,0.8241961157274611,0.7113061459946534,0.8109483616433908,0.6955469769906029,0.7237986243747088
lateralorbitofrontal L,0.4777228168394965,0.7118449937466682,0.7528854130284565,0.693702614287132,0.5607923074235827,0.5413922784201549,0.6230567372909152
lateralorbitofrontal R,0.5126019260193767,0.7280531149972965,0.7615639112965843,0.703513117314764,0.5714393709716383,0.4643260876727433,0.623582921378734
lingual L,0.5114907670824685,0.7035462479531835,0.8368041312746609,0.6947610246072126,0.7216292493894763,0.5260147844224612,0.6657077007882438
lingual R,0.5312563054770734,0.7088768231153927,0.8521491745199367,0.7086980287208238,0.7326390645887612,0.5478431147593227,0.6802437518635518
medialorbitofrontal L,0.43692618003692496,0.6703126083346405,0.7033291327579654,0.6441249239419785,0.538384724208963,0.5158461375553408,0.5848206178059688
medialorbitofrontal R,0.46423363271331575,0.6951242499552055,0.714704561397501,0.6654668853603866,0.5258762494801831,0.451984107503589,0.5862316144016969
middletemporal L,0.6033159312647942,0.8181217882834393,0.8750017153997366,0.8074961698994818,0.6099274756460815,0.5535712541231771,0.7112390557694518
middletemporal R,0.6068877903924901,0.7855045120324982,0.8933139864327824,0.785431178014256,0.7830180439534604,0.6817481928424891,0.7559839506113294
paracentral L,0.6444089636821451,0.730947280621322,0.8643843071915214,0.7762080812050798,0.6481351036970796,0.5549551834636581,0.7031731533101343
paracentral R,0.6542797945327106,0.7344044731737339,0.8555961877810023,0.7611280880707042,0.6163565884103477,0.5224133403934031,0.690696412060317
parahippocampal L,0.47125922760295297,0.7402641666009753,0.8109551965300164,0.6014298859269994,0.39423323179332276,0.3768557914599764,0.5658329166523739
parahippocampal R,0.4892872468103494,0.7262625712859427,0.7984820394032435,0.629324769062582,0.4960480520899539,0.3471045351132751,0.5810848689608911
parsopercularis L,0.5907550909799371,0.8044412557291467,0.818073278262361,0.7761309529643746,0.6461314889165137,0.6051548532447868,0.70678115334952
parsopercularis R,0.5947059123116978,0.7925666352407598,0.8319285567306498,0.76428572765024,0.6639750186736091,0.5791147773226144,0.7044294379882619
parsorbitalis L,0.526908489062988,0.7032822561744121,0.732744053794745,0.6934104861345294,0.548456948503666,0.5372358203232253,0.6236730089989276
parsorbitalis R,0.5637393388166929,0.7463807714207089,0.7573003797661733,0.6858634954847341,0.6041006546874403,0.5770846215068857,0.6557448769471058
parstriangularis L,0.5628803685696722,0.7528294282508156,0.7550684507925194,0.7355818494097522,0.5677860548840623,0.5503122078933981,0.6540763933000366
parstriangularis R,0.5820732208536404,0.7600355104587053,0.7824659284781579,0.7082983424855778,0.5983960505609922,0.5440521727401396,0.6625535375962023
pericalcarine L,0.5525771060496599,0.703164484784265,0.8194983968275322,0.7083528185158928,0.780680355654104,0.5564426890967861,0.6867859751547067
pericalcarine R,0.568628880575362,0.7052426279101318,0.836430999014094,0.7291099401963373,0.8015535665505642,0.5925246201459473,0.7055817723987395
postcentral L,0.6450371866399748,0.7763155525938366,0.8778902975036486,0.7877792494746367,0.7339502572029513,0.6628774306044235,0.7473083290032453
postcentral R,0.6415045783812375,0.7687439047342397,0.8659919237877636,0.7740378539173846,0.7433930941896375,0.6548345076609908,0.7414176437785422
posteriorcingulate L,0.5966770388021108,0.7866200489040154,0.8425709349931576,0.7643205307544102,0.5709426239907339,0.6367895583569525,0.6996534559668968
posteriorcingulate R,0.6018764728455371,0.7890318792367468,0.8428131037856957,0.7551281729560242,0.5444639011916805,0.6326469012520282,0.6943267385446187
precentral L,0.6399540656567156,0.7772005620438246,0.8808194966680564,0.7850253563009527,0.6925697517843834,0.653528232825155,0.738182910879848
precentral R,0.6459293724918422,0.7692017429138611,0.8597225205268512,0.767370368919247,0.6619255180997469,0.6329757661230145,0.7228542148457605
precuneus L,0.584991716771567,0.7622249355629959,0.8723861128134148,0.8226319154425255,0.8113755848518386,0.5555568469725862,0.7348611854024879
precuneus R,0.5797503425243663,0.7283367981106647,0.864473502032085,0.8077703304061475,0.7956574127063176,0.532874487085256,0.7181438121441395
rostralanteriorcingulate L,0.46813214537159575,0.7322432102122131,0.7263873763399171,0.7042061196215076,0.574070015121652,0.49745677765949436,0.61708260738773
rostralanteriorcingulate R,0.4727931970862488,0.7069275001265947,0.7240641990521623,0.6978065718377777,0.5570523924242959,0.4451882657916274,0.6006386877197845
rostralmiddlefrontal L,0.5693696081376627,0.7647320499614804,0.7761624473649353,0.7272540724741307,0.5588487131047251,0.5991253768816069,0.6659153779874235
rostralmiddlefrontal R,0.5816929228380163,0.7600557058116474,0.7838815835669106,0.6857816522306844,0.5597173116779546,0.5809845081507564,0.658685614045995
superiorfrontal L,0.6255171980559022,0.7704549696044894,0.8319181040905125,0.747053654408129,0.6001895619598809,0.6779867070901129,0.7088533658681712
superiorfrontal R,0.6157152785052543,0.7682137184020486,0.8329870306326503,0.7330966574503031,0.5722288000238296,0.6669370708906115,0.6981964259841162
superiorparietal L,0.6644879835601439,0.7597177281860474,0.8500724049770755,0.788844631186063,0.8353196077934204,0.6875633908263208,0.7643342910881784
superiorparietal R,0.6384306413409033,0.7289679082090588,0.8494752946450312,0.7750219561504487,0.8292052246949477,0.660350583483432,0.7469086014206369
superiortemporal L,0.576634057817776,0.8227543305481753,0.88084224003614,0.8150372590657715,0.6969945180238579,0.5679310533163874,0.7266989098013513
superiortemporal R,0.5898693097629026,0.7846085245415528,0.8914997596683347,0.7815496074278206,0.7304233441387865,0.4947822696746014,0.7121221358689999
supramarginal L,0.6714059281002299,0.8258387132233406,0.8634075681030975,0.8119762808479375,0.803943464480913,0.6131425768602997,0.7649524219359697
supramarginal R,0.6245179651622447,0.7761271894900434,0.866948368781123,0.8025605429138312,0.762875015302438,0.5330900924009331,0.7276865290084354
temporalpole L,0.4980987468409497,0.6727205696622233,0.7683998852463275,0.6158346482835575,0.45637071731877726,0.4756633166606942,0.5811813140020882
temporalpole R,0.4933608820302625,0.6483796901355856,0.7780526495416842,0.6075103130174779,0.4387139165299631,0.3323386731990668,0.5497260207423399
transversetemporal L,0.5367727117078507,0.8065025291906569,0.8599814135520807,0.7649406844736993,0.6323480553909515,0.45403835260574466,0.675763957820164
