,Acc Autocorr_BROADBAND,Acc Crosscorr MZ_BROADBAND,Acc Crosscorr DZ_BROADBAND,Acc Autocorr_DELTA,Acc Crosscorr MZ_DELTA,Acc Crosscorr DZ_DELTA,Acc Autocorr_THETA,Acc Crosscorr MZ_THETA,Acc Crosscorr DZ_THETA,Acc Autocorr_ALPHA,Acc Crosscorr MZ_ALPHA,Acc Crosscorr DZ_ALPHA,Acc Autocorr_BETA,Acc Crosscorr MZ_BETA,Acc Crosscorr DZ_BETA,Acc Autocorr_GAMMA,Acc Crosscorr MZ_GAMMA,Acc Crosscorr DZ_GAMMA,Acc Autocorr_HIGH GAMMA,Acc Crosscorr MZ_HIGH GAMMA,Acc Crosscorr DZ_HIGH GAMMA
0,0.725,0.4705882352941176,0.0,0.5375,0.1470588235294117,0.0833333333333333,0.6125,0.4117647058823529,0.0833333333333333,0.7375,0.4117647058823529,0.0,0.7,0.4117647058823529,0.0,0.7375,0.2941176470588235,0.0,0.7375,0.1470588235294117,0.0416666666666666
1,0.7375,0.4411764705882353,0.0416666666666666,0.5125,0.1470588235294117,0.0833333333333333,0.575,0.3235294117647059,0.0416666666666666,0.7375,0.3235294117647059,0.0,0.6625,0.2941176470588235,0.0,0.7625,0.3235294117647059,0.0,0.7375,0.1764705882352941,0.0416666666666666
2,0.75,0.4705882352941176,0.0416666666666666,0.5125,0.1470588235294117,0.0833333333333333,0.625,0.3823529411764705,0.0416666666666666,0.75,0.3529411764705882,0.0,0.6875,0.3235294117647059,0.0,0.7125,0.3235294117647059,0.0,0.7625,0.1764705882352941,0.0416666666666666
3,0.7125,0.5,0.0416666666666666,0.4875,0.1470588235294117,0.0416666666666666,0.6,0.4411764705882353,0.0833333333333333,0.7125,0.3235294117647059,0.0,0.725,0.4117647058823529,0.0,0.75,0.3235294117647059,0.0,0.7625,0.1470588235294117,0.0833333333333333
4,0.7375,0.4705882352941176,0.0416666666666666,0.525,0.1764705882352941,0.0833333333333333,0.625,0.4117647058823529,0.0416666666666666,0.7375,0.2941176470588235,0.0,0.675,0.3823529411764705,0.0,0.7375,0.3235294117647059,0.0,0.7625,0.1176470588235294,0.0416666666666666
5,0.75,0.4411764705882353,0.0416666666666666,0.5,0.1470588235294117,0.0833333333333333,0.575,0.4117647058823529,0.0833333333333333,0.725,0.3235294117647059,0.0,0.7125,0.4411764705882353,0.0,0.7375,0.3235294117647059,0.0,0.7375,0.1764705882352941,0.0833333333333333
6,0.75,0.4705882352941176,0.0416666666666666,0.5125,0.1470588235294117,0.0833333333333333,0.6375,0.3823529411764705,0.0416666666666666,0.7125,0.2941176470588235,0.0,0.7,0.3823529411764705,0.0416666666666666,0.725,0.3235294117647059,0.0,0.7375,0.1470588235294117,0.0416666666666666
7,0.75,0.5294117647058824,0.0416666666666666,0.5,0.1764705882352941,0.0833333333333333,0.625,0.3823529411764705,0.0,0.725,0.3235294117647059,0.0,0.6875,0.4117647058823529,0.0,0.725,0.3235294117647059,0.0,0.7625,0.1764705882352941,0.0416666666666666
8,0.725,0.4705882352941176,0.0416666666666666,0.5125,0.1470588235294117,0.0833333333333333,0.6375,0.4117647058823529,0.0833333333333333,0.7375,0.3529411764705882,0.0,0.7125,0.4117647058823529,0.0,0.7625,0.2647058823529412,0.0,0.725,0.1176470588235294,0.0416666666666666
9,0.7375,0.5,0.0416666666666666,0.5125,0.1764705882352941,0.0833333333333333,0.6125,0.3823529411764705,0.0416666666666666,0.725,0.2941176470588235,0.0,0.725,0.4117647058823529,0.0,0.7375,0.2941176470588235,0.0,0.75,0.1470588235294117,0.0833333333333333
10,0.7375,0.5294117647058824,0.0416666666666666,0.5,0.1764705882352941,0.0833333333333333,0.6125,0.4117647058823529,0.0416666666666666,0.7375,0.3235294117647059,0.0,0.7,0.3529411764705882,0.0,0.7,0.2647058823529412,0.0,0.7625,0.1470588235294117,0.0833333333333333
11,0.7625,0.5294117647058824,0.0416666666666666,0.4875,0.1764705882352941,0.0833333333333333,0.5875,0.3529411764705882,0.0416666666666666,0.725,0.2941176470588235,0.0,0.725,0.3823529411764705,0.0,0.725,0.3235294117647059,0.0,0.75,0.1176470588235294,0.0
12,0.75,0.4705882352941176,0.0,0.5125,0.1470588235294117,0.0833333333333333,0.6,0.4117647058823529,0.0416666666666666,0.7375,0.3529411764705882,0.0,0.6875,0.3823529411764705,0.0,0.725,0.2352941176470588,0.0,0.7375,0.1176470588235294,0.0416666666666666
13,0.725,0.4411764705882353,0.0,0.525,0.1470588235294117,0.0833333333333333,0.6375,0.3529411764705882,0.0833333333333333,0.7,0.3235294117647059,0.0,0.7125,0.4117647058823529,0.0,0.725,0.3235294117647059,0.0,0.7375,0.1470588235294117,0.0416666666666666
14,0.75,0.5,0.0416666666666666,0.5,0.1764705882352941,0.0833333333333333,0.575,0.3823529411764705,0.0416666666666666,0.725,0.2647058823529412,0.0,0.7,0.4117647058823529,0.0,0.725,0.3235294117647059,0.0,0.7375,0.088235294117647,0.0416666666666666
15,0.7125,0.4117647058823529,0.0416666666666666,0.5125,0.1470588235294117,0.0416666666666666,0.6,0.3823529411764705,0.0416666666666666,0.7125,0.3235294117647059,0.0,0.7125,0.2941176470588235,0.0,0.725,0.2647058823529412,0.0,0.7375,0.1764705882352941,0.0416666666666666
16,0.7375,0.4705882352941176,0.0416666666666666,0.5125,0.1470588235294117,0.0833333333333333,0.625,0.4117647058823529,0.0833333333333333,0.7,0.3235294117647059,0.0,0.675,0.3529411764705882,0.0416666666666666,0.7125,0.2941176470588235,0.0,0.775,0.1764705882352941,0.0416666666666666
17,0.75,0.4705882352941176,0.0416666666666666,0.5125,0.1470588235294117,0.0416666666666666,0.575,0.3823529411764705,0.0833333333333333,0.725,0.2352941176470588,0.0,0.7,0.3823529411764705,0.0,0.7125,0.2941176470588235,0.0,0.75,0.1764705882352941,0.0833333333333333
18,0.7375,0.5,0.0416666666666666,0.5,0.1764705882352941,0.0833333333333333,0.5625,0.3529411764705882,0.0416666666666666,0.7125,0.2941176470588235,0.0,0.7125,0.3529411764705882,0.0,0.7375,0.3823529411764705,0.0,0.75,0.1470588235294117,0.0833333333333333
19,0.75,0.4705882352941176,0.0416666666666666,0.525,0.1470588235294117,0.0833333333333333,0.6125,0.3823529411764705,0.0416666666666666,0.7375,0.3823529411764705,0.0,0.7125,0.4117647058823529,0.0,0.7125,0.3235294117647059,0.0,0.7375,0.1764705882352941,0.0833333333333333
20,0.7625,0.5,0.0416666666666666,0.5,0.1764705882352941,0.0833333333333333,0.6375,0.3529411764705882,0.0416666666666666,0.725,0.2647058823529412,0.0,0.7,0.3529411764705882,0.0,0.725,0.2647058823529412,0.0,0.7625,0.1764705882352941,0.0833333333333333
