,values,TypeCorr,TwinType,FreqBand
0,0.9961612811303364,Autocorr,MZ,BROADBAND
1,0.9974562515346972,Autocorr,DZ,BROADBAND
2,0.9974582038055546,Autocorr,NT,BROADBAND
3,0.9955832865484572,Crosscorr,MZ,BROADBAND
4,0.989911905293944,Crosscorr,DZ,BROADBAND
5,0.9792544599331874,Crosscorr,NT,BROADBAND
6,0.946909679125438,Autocorr,MZ,DELTA
7,0.9918926596979984,Autocorr,DZ,DELTA
8,0.9475779928071776,Autocorr,NT,DELTA
9,0.958593829069812,Crosscorr,MZ,DELTA
10,0.971554700696071,Crosscorr,DZ,DELTA
11,0.9642269628796926,Crosscorr,NT,DELTA
12,0.9469273514633224,Autocorr,MZ,THETA
13,0.9206951333216729,Autocorr,DZ,THETA
14,0.8613388195029379,Autocorr,NT,THETA
15,0.8763841457530623,Crosscorr,MZ,THETA
16,0.4807901308569355,Crosscorr,DZ,THETA
17,0.6457109873427352,Crosscorr,NT,THETA
18,0.9770641642530696,Autocorr,MZ,ALPHA
19,0.9606893392983696,Autocorr,DZ,ALPHA
20,0.9554761067746702,Autocorr,NT,ALPHA
21,0.9513813674568408,Crosscorr,MZ,ALPHA
22,0.7285965574237734,Crosscorr,DZ,ALPHA
23,0.6893754620389471,Crosscorr,NT,ALPHA
24,0.9812294629947864,Autocorr,MZ,BETA
25,0.982375841776104,Autocorr,DZ,BETA
26,0.9918710657180876,Autocorr,NT,BETA
27,0.982285199324664,Crosscorr,MZ,BETA
28,0.949853682651394,Crosscorr,DZ,BETA
29,0.9499861192115407,Crosscorr,NT,BETA
30,0.9310284917973616,Autocorr,MZ,GAMMA
31,0.9739242578730964,Autocorr,DZ,GAMMA
32,0.9735617555929053,Autocorr,NT,GAMMA
33,0.9471497048807378,Crosscorr,MZ,GAMMA
34,0.9210547752821928,Crosscorr,DZ,GAMMA
35,0.88680617756417,Crosscorr,NT,GAMMA
36,0.9804048102429492,Autocorr,MZ,HIGH GAMMA
37,0.9871773367081466,Autocorr,DZ,HIGH GAMMA
38,0.9860731560414704,Autocorr,NT,HIGH GAMMA
39,0.9703675525211248,Crosscorr,MZ,HIGH GAMMA
40,0.9611652675061064,Crosscorr,DZ,HIGH GAMMA
41,0.9255725300182508,Crosscorr,NT,HIGH GAMMA
42,0.9950786732522274,Autocorr,MZ,BROADBAND
43,0.9968588682888796,Autocorr,DZ,BROADBAND
44,0.9953374762534672,Autocorr,NT,BROADBAND
45,0.9914244534084616,Crosscorr,MZ,BROADBAND
46,0.989428495524172,Crosscorr,DZ,BROADBAND
47,0.9742387952930588,Crosscorr,NT,BROADBAND
48,0.9008086873001444,Autocorr,MZ,DELTA
49,0.9908148854755058,Autocorr,DZ,DELTA
50,0.9886885957700772,Autocorr,NT,DELTA
51,0.8632883391559687,Crosscorr,MZ,DELTA
52,0.9651010150602228,Crosscorr,DZ,DELTA
53,0.9349777548079076,Crosscorr,NT,DELTA
54,0.9008016361919802,Autocorr,MZ,THETA
55,0.8175105479086368,Autocorr,DZ,THETA
56,0.8344173186480015,Autocorr,NT,THETA
57,0.9233817789576536,Crosscorr,MZ,THETA
58,0.1669783686951181,Crosscorr,DZ,THETA
59,0.5745652539865711,Crosscorr,NT,THETA
60,0.9734799503631132,Autocorr,MZ,ALPHA
61,0.931185059452046,Autocorr,DZ,ALPHA
62,0.9194659374970462,Autocorr,NT,ALPHA
63,0.9520755651541344,Crosscorr,MZ,ALPHA
64,0.6685479268960952,Crosscorr,DZ,ALPHA
65,0.6559677256667035,Crosscorr,NT,ALPHA
66,0.9703437274330328,Autocorr,MZ,BETA
67,0.9802451201009637,Autocorr,DZ,BETA
68,0.9820041302768696,Autocorr,NT,BETA
69,0.9511821283834891,Crosscorr,MZ,BETA
70,0.9471096738523676,Crosscorr,DZ,BETA
71,0.7325487620168087,Crosscorr,NT,BETA
72,0.9216710069401182,Autocorr,MZ,GAMMA
73,0.9672099106902404,Autocorr,DZ,GAMMA
74,0.973748377859193,Autocorr,NT,GAMMA
75,0.8612714012038429,Crosscorr,MZ,GAMMA
76,0.9249798669117162,Crosscorr,DZ,GAMMA
77,0.9220145836995228,Crosscorr,NT,GAMMA
78,0.975775122866228,Autocorr,MZ,HIGH GAMMA
79,0.9816446554161824,Autocorr,DZ,HIGH GAMMA
80,0.9752895763907996,Autocorr,NT,HIGH GAMMA
81,0.9542473713224592,Crosscorr,MZ,HIGH GAMMA
82,0.9484974584372728,Crosscorr,DZ,HIGH GAMMA
83,0.9435190865358016,Crosscorr,NT,HIGH GAMMA
84,0.9681561017637336,Autocorr,MZ,BROADBAND
85,0.9973248119656452,Autocorr,DZ,BROADBAND
86,0.9975165874797154,Autocorr,NT,BROADBAND
87,0.9666509476555516,Crosscorr,MZ,BROADBAND
88,0.9783050400139234,Crosscorr,DZ,BROADBAND
89,0.980543559964377,Crosscorr,NT,BROADBAND
90,0.6104967267444374,Autocorr,MZ,DELTA
91,0.9930253828130944,Autocorr,DZ,DELTA
92,0.9873651445878816,Autocorr,NT,DELTA
93,0.4999739977466731,Crosscorr,MZ,DELTA
94,0.8518677167283449,Crosscorr,DZ,DELTA
95,0.9758434707844916,Crosscorr,NT,DELTA
96,0.1141283543932906,Autocorr,MZ,THETA
97,0.9365954211651304,Autocorr,DZ,THETA
98,0.9259629099579104,Autocorr,NT,THETA
99,0.4030637743959114,Crosscorr,MZ,THETA
100,0.8665162433520053,Crosscorr,DZ,THETA
101,0.163794129588425,Crosscorr,NT,THETA
102,0.5522799990904458,Autocorr,MZ,ALPHA
103,0.9779957087558984,Autocorr,DZ,ALPHA
104,0.9686265614144816,Autocorr,NT,ALPHA
105,0.6166220073411512,Crosscorr,MZ,ALPHA
106,0.6444145889457354,Crosscorr,DZ,ALPHA
107,0.202921418527294,Crosscorr,NT,ALPHA
108,0.6450552666200988,Autocorr,MZ,BETA
109,0.9842562929405876,Autocorr,DZ,BETA
110,0.9869290502404042,Autocorr,NT,BETA
111,0.7230347754566635,Crosscorr,MZ,BETA
112,0.8970578042387891,Crosscorr,DZ,BETA
113,0.8795941594966239,Crosscorr,NT,BETA
114,0.9687927422433618,Autocorr,MZ,GAMMA
115,0.9801801770180354,Autocorr,DZ,GAMMA
116,0.963252542493202,Autocorr,NT,GAMMA
117,0.9366155096137216,Crosscorr,MZ,GAMMA
118,0.8857252144107003,Crosscorr,DZ,GAMMA
119,0.9176811578570688,Crosscorr,NT,GAMMA
120,0.9764779084482248,Autocorr,MZ,HIGH GAMMA
121,0.9809845911356564,Autocorr,DZ,HIGH GAMMA
122,0.9818674730593728,Autocorr,NT,HIGH GAMMA
123,0.95564127910088,Crosscorr,MZ,HIGH GAMMA
124,0.9237745425878856,Crosscorr,DZ,HIGH GAMMA
125,0.9402331855343218,Crosscorr,NT,HIGH GAMMA
126,0.9640319750965624,Autocorr,MZ,BROADBAND
127,0.9971447937125668,Autocorr,DZ,BROADBAND
128,0.9899402668352264,Autocorr,NT,BROADBAND
129,0.955483626801708,Crosscorr,MZ,BROADBAND
130,0.9749844509385188,Crosscorr,DZ,BROADBAND
131,0.9838877330052936,Crosscorr,NT,BROADBAND
132,0.8226896856346052,Autocorr,MZ,DELTA
133,0.9902125518053054,Autocorr,DZ,DELTA
134,0.7288058830721038,Autocorr,NT,DELTA
135,0.8067256953796951,Crosscorr,MZ,DELTA
136,0.8066224686243,Crosscorr,DZ,DELTA
137,0.9465225046363837,Crosscorr,NT,DELTA
138,0.3832522050533862,Autocorr,MZ,THETA
139,0.9705716367807644,Autocorr,DZ,THETA
140,0.7959273201659223,Autocorr,NT,THETA
141,-0.0768058604389697,Crosscorr,MZ,THETA
142,0.8161217703582834,Crosscorr,DZ,THETA
143,0.0991275807479291,Crosscorr,NT,THETA
144,0.3941528365216036,Autocorr,MZ,ALPHA
145,0.9685275894030188,Autocorr,DZ,ALPHA
146,0.9749150116068084,Autocorr,NT,ALPHA
147,0.2078556427409685,Crosscorr,MZ,ALPHA
148,0.7225419493555671,Crosscorr,DZ,ALPHA
149,0.5529630630166198,Crosscorr,NT,ALPHA
150,0.5519334844804742,Autocorr,MZ,BETA
151,0.983918864413776,Autocorr,DZ,BETA
152,0.9829879328356996,Autocorr,NT,BETA
153,0.4363637717839705,Crosscorr,MZ,BETA
154,0.8825272516079619,Crosscorr,DZ,BETA
155,0.9259666566966568,Crosscorr,NT,BETA
156,0.8048756177358225,Autocorr,MZ,GAMMA
157,0.9529216959053376,Autocorr,DZ,GAMMA
158,0.9673130151222988,Autocorr,NT,GAMMA
159,0.8101827324401545,Crosscorr,MZ,GAMMA
160,0.8671175217713496,Crosscorr,DZ,GAMMA
161,0.9220481964788642,Crosscorr,NT,GAMMA
162,0.8740543683901498,Autocorr,MZ,HIGH GAMMA
163,0.9784020251022,Autocorr,DZ,HIGH GAMMA
164,0.9807077887019904,Autocorr,NT,HIGH GAMMA
165,0.8251805844354763,Crosscorr,MZ,HIGH GAMMA
166,0.9290537066950468,Crosscorr,DZ,HIGH GAMMA
167,0.9441935672026712,Crosscorr,NT,HIGH GAMMA
168,0.996195432316816,Autocorr,MZ,BROADBAND
169,0.9963344863399104,Autocorr,DZ,BROADBAND
170,0.9969260902522336,Autocorr,NT,BROADBAND
171,0.963799426371912,Crosscorr,MZ,BROADBAND
172,0.985841314691308,Crosscorr,DZ,BROADBAND
173,0.983665153909655,Crosscorr,NT,BROADBAND
174,0.9834274672670152,Autocorr,MZ,DELTA
175,0.959880645748,Autocorr,DZ,DELTA
176,0.963795144999056,Autocorr,NT,DELTA
177,0.790666792894489,Crosscorr,MZ,DELTA
178,0.978565649993734,Crosscorr,DZ,DELTA
179,0.9719752139479012,Crosscorr,NT,DELTA
180,0.8663135899687412,Autocorr,MZ,THETA
181,0.5101545669294482,Autocorr,DZ,THETA
182,0.7869553219606167,Autocorr,NT,THETA
183,0.2009329688774866,Crosscorr,MZ,THETA
184,0.3592234673246638,Crosscorr,DZ,THETA
185,0.127910780773225,Crosscorr,NT,THETA
186,0.9704047213652424,Autocorr,MZ,ALPHA
187,0.9631068842834754,Autocorr,DZ,ALPHA
188,0.9661368819572932,Autocorr,NT,ALPHA
189,0.7781884264072736,Crosscorr,MZ,ALPHA
190,0.6719212360214066,Crosscorr,DZ,ALPHA
191,0.6785923865323523,Crosscorr,NT,ALPHA
192,0.9642140756932576,Autocorr,MZ,BETA
193,0.9645431327451002,Autocorr,DZ,BETA
194,0.9814095052688944,Autocorr,NT,BETA
195,0.7825276984648097,Crosscorr,MZ,BETA
196,0.8077396905354687,Crosscorr,DZ,BETA
197,0.8643979696563799,Crosscorr,NT,BETA
198,0.9638587596524671,Autocorr,MZ,GAMMA
199,0.9609066561445564,Autocorr,DZ,GAMMA
200,0.9795678177008708,Autocorr,NT,GAMMA
201,0.7016822512224054,Crosscorr,MZ,GAMMA
202,0.9075930283447412,Crosscorr,DZ,GAMMA
203,0.902922625865468,Crosscorr,NT,GAMMA
204,0.9838671205322962,Autocorr,MZ,HIGH GAMMA
205,0.979246226270602,Autocorr,DZ,HIGH GAMMA
206,0.9850245952345644,Autocorr,NT,HIGH GAMMA
207,0.7949089691359741,Crosscorr,MZ,HIGH GAMMA
