ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_Ins_lg_and_S_cent_ins L,0.6315186776437425,0.8956248401213208,0.9083096758507349,0.8346712564859786,0.8837659648924872,0.9131246757876968,0.8445025151303268
G_Ins_lg_and_S_cent_ins R,0.7454432495441864,0.8694406725510853,0.8994306118070832,0.833216606636483,0.8220751652963928,0.778940417120521,0.8247577871592919
G_and_S_cingul-Ant L,0.5539300276675665,0.68701135421864,0.6787369530793533,0.7312827345162036,0.6135736098248932,0.6640171620500621,0.6547586402261197
G_and_S_cingul-Ant R,0.5754475940923707,0.6626683650814348,0.718750569186646,0.7062700360972364,0.6215313926472259,0.7298595050488546,0.6690879103589614
G_and_S_cingul-Mid-Ant L,0.6733481181159813,0.847877308315274,0.7160668009900257,0.7846524928279588,0.8455605729038972,0.684043528109268,0.7585914702104009
G_and_S_cingul-Mid-Ant R,0.7362532641898636,0.8758306144281365,0.8553517452817389,0.8071672591655696,0.8451995656833595,0.7844088664654238,0.8173685525356821
G_and_S_cingul-Mid-Post L,0.729692366068865,0.8388380349732144,0.8315612887003272,0.8542356409454035,0.8543286260499248,0.8115810782161037,0.8200395058256399
G_and_S_cingul-Mid-Post R,0.7036247082884506,0.8318723672846419,0.8147256138298264,0.7696751871064264,0.8101650499503833,0.7407421468983807,0.7784675122263516
G_and_S_frontomargin L,0.4335807627078625,0.5791242495034461,0.6028101753697983,0.6460829736269281,0.586571144497246,0.6075335989044471,0.5759504841016213
G_and_S_frontomargin R,0.49608575096321184,0.5709611658522563,0.5125735780313239,0.5792268773142242,0.6123921083107835,0.656840404540294,0.5713466475020156
G_and_S_occipital_inf L,0.7245209069118308,0.870524811611889,0.8950780096057243,0.8699532199293118,0.8239347534909551,0.7558502574798809,0.8233103265049321
G_and_S_occipital_inf R,0.5817112153450147,0.8496888589806112,0.8781818910205527,0.8356714680633758,0.8574176053616458,0.8047867268380113,0.8012429609348685
G_and_S_paracentral L,0.7580884848768776,0.7934392120521051,0.8700477035508023,0.8039354268909448,0.7639509519648283,0.6985791568806425,0.7813401560360335
G_and_S_paracentral R,0.788837503570947,0.8041227302452001,0.8702907319860932,0.8140028718572259,0.8041877537143112,0.7761856234888589,0.8096045358104393
G_and_S_subcentral L,0.6723030075822595,0.8589481051093113,0.7815746506703394,0.7640679479564054,0.7611358290641854,0.6466127920017979,0.7474403887307165
G_and_S_subcentral R,0.5874142761601031,0.8511946482808341,0.7741061327459084,0.7480924281182155,0.7672929451786903,0.5918273696156694,0.7199879666832367
G_and_S_transv_frontopol L,0.6329723175841135,0.7303853174919992,0.6598040995761236,0.6539978322853542,0.5921485147175527,0.6137819178432516,0.6471816665830659
G_and_S_transv_frontopol R,0.4270368173911345,0.5890145620378768,0.46354287176568365,0.5843992720049888,0.5170810072973915,0.5228163869405917,0.5173151529062777
G_cingul-Post-dorsal L,0.6644154017754968,0.7985597116084042,0.8323558016265042,0.8536957360077111,0.8524340372625426,0.8583495536778953,0.809968373659759
G_cingul-Post-dorsal R,0.6282935403435805,0.8235756305265375,0.8438686453273145,0.8085620368539088,0.7945234558194926,0.8081762071844806,0.7844999193425523
G_cingul-Post-ventral L,0.5424334704542397,0.8647816157476502,0.8630590163860068,0.7079467728647595,0.7819575637670064,0.7953773993586046,0.7592593064297114
G_cingul-Post-ventral R,0.5513176958338626,0.8463741176240179,0.8378166054808313,0.7027615864139011,0.8171186538389182,0.7974370723900668,0.758804288596933
G_cuneus L,0.6759667386877475,0.8892242355755844,0.8733854281620725,0.8804774787940204,0.9021826738617993,0.7847979037458486,0.8343390764711787
G_cuneus R,0.6380504661805627,0.7532729131294325,0.7682826628967543,0.7549800187294538,0.7695579280281396,0.5448377576178358,0.7048302910970298
G_front_inf-Opercular L,0.6283155021952653,0.7872041301123148,0.7465483897235384,0.7639140704548142,0.7447462486302054,0.6941877826752476,0.7274860206318977
G_front_inf-Opercular R,0.6627119597163262,0.8629212243799332,0.8181532637104676,0.844171502184039,0.7865719671633397,0.6730336638705858,0.7745939301707819
