ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_Ins_lg_and_S_cent_ins L,0.5321143615807804,0.6754006730136362,0.7849481235230563,0.6505972038081516,0.7921072306160543,0.7563025393779119,0.6985783553199317
G_Ins_lg_and_S_cent_ins R,0.7126493476315223,0.777987036530635,0.8107746281426321,0.7600254197649762,0.860529464447867,0.7272212475674622,0.7748645240141826
G_and_S_cingul-Ant L,0.5111002510747993,0.6471865867787552,0.612926576836698,0.5743314933952288,0.6375522091365871,0.646605636768318,0.6049504589983977
G_and_S_cingul-Ant R,0.48899959185437736,0.5799489103906936,0.6006236092557875,0.5327187401786423,0.5950586164211435,0.5253040419462098,0.553775585007809
G_and_S_cingul-Mid-Ant L,0.43161332273177055,0.6646998281092684,0.7245331968751292,0.6779162635916809,0.37123454908083586,0.5375679362424463,0.5679275161051885
G_and_S_cingul-Mid-Ant R,0.5797971527783328,0.6394826772607543,0.73220377914776,0.5882247833282394,0.3862264868492934,0.4678149009689394,0.5656249633888866
G_and_S_cingul-Mid-Post L,0.5839780851874045,0.7635748100260722,0.8417882357868051,0.7342274659246203,0.7349202641148562,0.7686250595433486,0.7378523200971845
G_and_S_cingul-Mid-Post R,0.515202377534105,0.7378261151930383,0.7721621120214742,0.7867282828251587,0.7119348043648515,0.717938432528529,0.7069653540778594
G_and_S_frontomargin L,0.4997305330223727,0.5854097571348696,0.5923250135760523,0.4830102241002327,0.493910232057104,0.6583882801736675,0.5521290066773831
G_and_S_frontomargin R,0.5135339769024978,0.6801913436481607,0.6022434257162907,0.5565719489204383,0.5336947731444194,0.6797190862665694,0.5943257590997294
G_and_S_occipital_inf L,0.6478846893751637,0.6843555305047131,0.685918196082853,0.47841612270979195,0.5995842676110669,0.652431307577829,0.6247650189769028
G_and_S_occipital_inf R,0.5539428082853851,0.6243262867052302,0.796834727755167,0.6310891422750222,0.7588630483611158,0.8132183858551579,0.696379066539513
G_and_S_paracentral L,0.6482795885719288,0.6610132820094208,0.8484394759185185,0.7043655151775204,0.48708919111921195,0.6199201602342466,0.6615178688384745
G_and_S_paracentral R,0.6538864584251824,0.6897732692613969,0.8478820863989645,0.6922366074280172,0.5758339022906107,0.6975058076584284,0.6928530219104334
G_and_S_subcentral L,0.5547850640401356,0.7670479454585084,0.850749218118272,0.7243120094570732,0.740070877185556,0.6823532341441981,0.7198863914006238
G_and_S_subcentral R,0.5509077481907529,0.6793608425187878,0.8270313616834626,0.6714467268280017,0.7339076469963649,0.5684796445860097,0.6718556618005632
