ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_Ins_lg_and_S_cent_ins L,0.3863278005013773,0.20245219495061612,0.5797121527332193,-0.5129722130242067,0.13331311203132856,-0.4359350822076309,0.0588163274974506
G_Ins_lg_and_S_cent_ins R,-0.11139732187562412,-0.06379864174234363,0.06755610073338171,0.07346777064584568,0.3317802764394445,-0.3686856076317989,-0.011846237238515791
G_and_S_cingul-Ant L,0.2954884865915086,0.5154443144229907,0.5655346609815893,0.24387008649329295,0.31887741725304114,0.2180631224604037,0.35954634803380436
G_and_S_cingul-Ant R,0.014402020103503638,0.2156978947973693,0.229723999990252,0.4007818154258137,0.36410477501937255,-0.11786865802463357,0.18447364121861295
G_and_S_cingul-Mid-Ant L,0.08906279649442886,-0.017697865894964707,0.5467677766692207,1.1663341873149609,0.21417677090012383,0.30710148114059765,0.38429085777072786
G_and_S_cingul-Mid-Ant R,0.2875175532041252,0.0222695324494825,0.11621030434170107,0.5440762594795114,-0.4317088393041858,-0.34795053420827854,0.03173571266039265
G_and_S_cingul-Mid-Post L,0.26316534918439877,0.24011530634193481,0.43913350744010293,0.48773552388317576,0.4507443389522031,-0.2534387935676095,0.271242538705701
G_and_S_cingul-Mid-Post R,0.31621520914254114,0.08883868278677273,0.25131966077797213,0.4197489152447975,0.4942907018845464,-0.4317334467250533,0.18977995385192944
G_and_S_frontomargin L,0.4625441740993092,0.6648128914727635,0.46583495164531497,0.5230546016620264,0.09400424196248833,-0.08368297431611588,0.3544279810876311
G_and_S_frontomargin R,0.7325373346473403,1.365440554373658,0.6623636727323514,0.1444806061700598,-0.6155249595210738,-0.6762354800898162,0.26884362138541995
G_and_S_occipital_inf L,0.6385260447673744,0.9456614561962023,0.16230583486141575,-0.008989956690026708,0.8098186822554251,0.5185650974144496,0.51098119313414
G_and_S_occipital_inf R,0.3712498647958527,0.3032030869084545,0.4311765021906542,0.46719378855868055,1.2861652604439504,2.094815846688108,0.8256340582642835
G_and_S_paracentral L,-0.0458940318286158,-0.0925357296744754,0.6276040656907002,1.006593041687138,0.4666980969060782,0.5848367696524255,0.42455036873887514
G_and_S_paracentral R,-0.04139673686893951,-0.2062100088170634,0.4112357635861156,0.5501587303250511,0.6352839850721483,0.061535924950128856,0.23510127637457348
