ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_Ins_lg_and_S_cent_ins L,0.3562530287113938,0.20683128950051655,0.5600920610264488,-0.49465488743978575,0.13620857555187796,-0.4557911890534146,0.05148981304950611
G_Ins_lg_and_S_cent_ins R,-0.053741955512592865,-0.020049629975064112,0.0676276019983032,0.10710918971281254,0.3411393684454267,-0.3597731614411623,0.013718568871287196
G_and_S_cingul-Ant L,0.27197511746877684,0.5755063316264522,0.5316354328475388,0.23589595924611317,0.3650584344419848,0.29346866266915017,0.37892332305000265
G_and_S_cingul-Ant R,-0.012273580461301198,0.2604615453068945,0.22625881780944881,0.430593726676586,0.3243536422160448,-0.09352456684303755,0.18931159745077256
G_and_S_cingul-Mid-Ant L,0.07591327128365973,-0.025504840381620653,0.5309987907297182,1.1878650729434248,0.2899247785189605,0.3089437239424368,0.3946901328394299
G_and_S_cingul-Mid-Ant R,0.25231204406265684,0.004499921360252304,0.10073164759424227,0.5310045997593553,-0.42994741576553785,-0.3764282235062248,0.01369542891745735
G_and_S_cingul-Mid-Post L,0.22819676383403661,0.2215950506584829,0.41497727881241697,0.47381316444965726,0.4517193719372766,-0.2685368088683673,0.25362747013725057
G_and_S_cingul-Mid-Post R,0.3576311815579676,0.1049331928369767,0.25685890202451145,0.4060984786099673,0.49560341232485977,-0.40704223582806537,0.20234715525436955
G_and_S_frontomargin L,0.3912612022407109,0.7556575847049831,0.44708366482596845,0.5905554287368409,0.03234024548414528,-0.11470113491151848,0.35036616518018837
G_and_S_frontomargin R,0.6724332620291404,1.3724477831359136,0.6456560651388663,0.1736602156902141,-0.6205849265557495,-0.6628431121762582,0.2634615478770212
G_and_S_occipital_inf L,0.6671731995795221,0.9265264698312514,0.14153497228690232,-0.052618483457732124,0.8190091378237666,0.5211769698457467,0.5038003776515761
G_and_S_occipital_inf R,0.35964131063022936,0.2754265769973091,0.41893907305449635,0.44006770180870175,1.2573943598777155,2.0933729852175462,0.8074736679309997
G_and_S_paracentral L,-0.07711920329618797,-0.03421447489414424,0.6242644848432982,0.9912818283400936,0.4745604649784242,0.6021637010308174,0.43015613350038356
G_and_S_paracentral R,-0.02471097755560954,-0.12612655539936657,0.4234965959065241,0.5402497039034563,0.6556634639057728,0.06953493955638188,0.2563511950528598
G_and_S_subcentral L,0.17555365199090933,0.04566158921789906,0.685427573182485,-0.16797084644109392,-0.36260744833486946,-0.24038398711789108,0.022613422082906495
G_and_S_subcentral R,0.4327344786337019,0.5197751825190124,0.783989316037562,0.5703280492680767,1.0246720234549485,0.2060307004423666,0.5895882917259446
G_and_S_transv_frontopol L,0.3820124912730474,0.6169676321596494,0.43781461165483604,0.8644008073914924,0.24588955616973496,0.3925706046135544,0.4899426172103858
G_and_S_transv_frontopol R,0.7576839365970047,0.6896753223173229,0.2656531475270539,-0.03751132873103171,-0.45902480783958655,-0.6689874927296617,0.09124812952351691
G_cingul-Post-dorsal L,0.3462388135395876,0.20936146142166193,0.687394035605078,0.788840399000399,1.038747260688034,0.7688902251188925,0.6399120325622755
G_cingul-Post-dorsal R,0.3494112157799637,-0.1239610474920716,0.36435292894720694,0.1824773232184002,-0.3329341018523548,-0.16690631907462886,0.04540666658775259
G_cingul-Post-ventral L,0.35533763352059333,0.5195113657748126,0.4950428467982341,0.24872806733652317,0.2616101392329903,0.10419769102952525,0.33073795728211314
G_cingul-Post-ventral R,0.6066452935591219,0.5277274852231346,0.2759514306572618,0.2356055863396982,-0.19160010400587738,-0.8052223785233479,0.10818455220833186
G_cuneus L,-0.0184085423538796,-0.5647281107755753,0.6021634030087538,0.2133289843146266,0.47535967965857184,-0.22919946320214912,0.07975265844172473
G_cuneus R,0.42747097591918226,0.2690706688948462,0.8147897849550538,0.32012832162006827,0.6343676403288856,-0.47462884154219237,0.3318664250293073
G_front_inf-Opercular L,0.5218975977036882,0.43266984657700525,0.7650862346740493,0.7948819264299917,-0.16542396156556366,0.8425195198770986,0.5319385272827115
G_front_inf-Opercular R,0.11605987568605321,-0.016310314659332668,0.6451222299221193,0.5661793020312446,0.36800802525823273,-0.007008042182365557,0.2786751793426586
G_front_inf-Orbital L,0.05926712400045926,0.2557316038311664,0.24819266507878526,1.243773332565045,0.6772196792051112,-0.08153005117429607,0.40044239225104516
G_front_inf-Orbital R,0.7212743464465544,0.8782729354632477,0.8586973677310658,0.27509865206633655,-0.9185674768994609,-0.12012003791607966,0.2824426311486107
G_front_inf-Triangul L,0.06347225786246777,-0.23709794419722582,0.2503052028240762,0.8046460472789411,-0.5542014164669367,-0.26824531560319476,0.009813138616354633
G_front_inf-Triangul R,-0.1344647223283839,-0.4236846614021571,0.2224384615293294,0.6431642547274357,-0.46499430166099354,-0.3446947497665251,-0.08370595315021577
G_front_middle L,0.874682377986382,0.4879875109590336,0.5573641185536149,0.8277778318297808,0.35409904070229287,0.3687661317019486,0.5784461686221755
G_front_middle R,0.14110353256080913,-0.025494049960394866,0.41379281758382,0.5205237122480169,-0.608870173774409,0.13207348423251028,0.09552155381505874
G_front_sup L,0.3850883739581543,0.3546604949156199,0.7924415673809273,0.6654388239599409,-0.22466189417016008,-0.02131613120448261,0.3252752058066667
G_front_sup R,0.5196702058699534,0.2779341042926772,0.6741175345890962,0.23887595215753338,0.06346255873960809,0.08065807837920241,0.30911973900467843
G_insular_short L,0.16943786371928932,0.2637432265676577,0.17555083820782796,0.6184589253612739,0.19056448719971392,0.01490472554841612,0.2387766777673631
G_insular_short R,0.13339933925108005,0.32799385137025533,-0.0012076515386776343,-0.02370450084820864,0.28100830637234553,0.14145968493571984,0.14315817159041908
G_oc-temp_lat-fusifor L,-0.1208155802486847,0.0012830106840820699,0.059972095067482765,-0.8223594020060623,-0.9069696573085547,-1.3838546024803031,-0.5287906893820066
G_oc-temp_lat-fusifor R,0.8981921765281448,1.2029031626047924,0.49512469699011313,-0.061934100217129,0.6759929134130362,0.6743153322469336,0.6474323635943152
G_oc-temp_med-Lingual L,0.4182392113502985,-0.08638202156228227,0.46301783067369867,0.15378493225981135,-0.19050406738999692,-0.38005161440386687,0.06301737848794377
G_oc-temp_med-Lingual R,0.2764441430289667,-0.10760541322479708,0.42405218523604526,-0.4378798334817424,-0.6617464878789328,0.0100396855551889,-0.08278262012754524
G_oc-temp_med-Parahip L,-0.05825888623709921,0.520491978167665,0.9571428416368264,0.04406349023799252,0.03796095923573932,-0.2201143157001577,0.21354767789016108
G_oc-temp_med-Parahip R,0.5690623532078771,1.0841075891167327,0.5583464092750497,0.08823850774318585,0.8410164751332356,0.43960088916612095,0.596728703940367
G_occipital_middle L,0.4300242341088111,0.17278219993063754,0.8723303440751138,0.24574452313260706,0.4198920649569386,-0.028456438281256075,0.3520528213204753
G_occipital_middle R,0.36279247731838893,0.09726247449376514,0.7262209060574323,0.20664255353514713,0.6875808669240551,0.2888272434907828,0.3948877536365951
G_occipital_sup L,0.12889742915459185,0.3617549967260599,1.0097637137175954,0.13869575821515057,0.23106043522749092,-0.30016093206811334,0.26166856682879586
G_occipital_sup R,-0.33734513300281,0.0016273036538694274,0.8728945932807266,0.2920736017155075,0.06430020606066271,-0.5799256120151464,0.052270826615468315
G_orbital L,-0.3065709983095404,-0.09738512952344816,0.23796268892350841,1.1159605486750306,0.449757760470382,-0.21469309524844288,0.19750529583124823
G_orbital R,0.16613052095281428,0.18764203744265856,0.05572403661705723,-0.011881346634519804,-0.03332812940262426,0.09655996467399622,0.07680784727489703
G_pariet_inf-Angular L,0.5250676040873717,0.20412096951608305,0.6067244401683782,0.11297201703748026,0.23852926374709874,0.687670467243602,0.3958474603000024
G_pariet_inf-Angular R,0.051080821595187786,-0.018330966428571183,0.8029368698902871,0.7458655321077903,0.30592380013175247,0.7227479872166918,0.43503734075218975
G_pariet_inf-Supramar L,0.11959783588822433,-0.20114529007087523,1.0011988762042834,0.3894302088897099,-0.23625162053812748,-0.41673414853435714,0.10934931030647628
G_pariet_inf-Supramar R,0.1752436940202665,0.43120674155482563,0.3143477083671634,0.8348986712714845,0.2751949751288351,0.18922262032264467,0.3700190684442033
G_parietal_sup L,-0.23243284525519137,-0.05147668379086551,0.33564366737564166,0.5198811706798163,-0.046241523472591785,-0.26911331213611595,0.04271007890011557
G_parietal_sup R,-0.19208702857131293,0.653586396819712,0.6671217203326474,0.4658197554412005,0.15583192804539664,0.5337885735203909,0.380676890931339
G_postcentral L,0.9139850069282773,0.6772355628900308,0.2216281688983242,0.14571036202388776,0.09292332487078543,0.4811854048477944,0.4221113050765166
G_postcentral R,0.381535301521435,0.23436080293663497,0.5846762409373778,0.5862051836094633,0.5909285397375326,0.6316923039305146,0.5015663954454931
G_precentral L,0.793444233820295,0.6425358304384168,0.4339104251627405,0.4523071316597353,0.2667742338457876,-0.08144755863976944,0.4179207160478677
G_precentral R,0.5992034722001073,0.4973368899021506,0.6210125944075264,0.5274767809891276,0.8379632106818885,1.177222140314612,0.7100358480825687
G_precuneus L,0.12585191571226004,0.5697546477315016,0.4728556353458558,0.3194376564076412,-0.08099619847023544,-0.5765117106705466,0.13839865767607948
