ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
G_Ins_lg_and_S_cent_ins L,0.5091508727457992,0.7844296562970794,0.835880731572131,0.7503996229639539,0.8226905117489608,0.8305826512831734,0.7555223411018496
G_Ins_lg_and_S_cent_ins R,0.671710874474732,0.8143700009320882,0.841897182316403,0.7930585745756678,0.8261382088405164,0.7679338154531695,0.7858514427654294
G_and_S_cingul-Ant L,0.4630701392576214,0.6684370454734596,0.6464364512849007,0.6550660626055799,0.6420832226942504,0.640213889371335,0.6192178017811912
G_and_S_cingul-Ant R,0.4625488411512132,0.650129697595299,0.6847227586689092,0.6463967766328267,0.6479386655322065,0.6502856289689848,0.6236703947582399
G_and_S_cingul-Mid-Ant L,0.5466069706378724,0.7044129148338892,0.698460176621162,0.6847890560683334,0.6070471127634622,0.6386962223865246,0.6466687422185406
G_and_S_cingul-Mid-Ant R,0.6275108495191276,0.7286420735416217,0.7727553659172607,0.6625440294462078,0.612798880059216,0.655044685235389,0.676549313953137
G_and_S_cingul-Mid-Post L,0.5690430824901647,0.7446499198107583,0.7961010926169163,0.7460063168340434,0.7423631933279664,0.7481122269240399,0.7243793053339814
G_and_S_cingul-Mid-Post R,0.5510033789898421,0.7428349717533493,0.7901373828313221,0.7479411283587835,0.7215780613927157,0.7343147602749912,0.7146349472668341
G_and_S_frontomargin L,0.4302341606023833,0.5817419137809338,0.6260277356760341,0.6064788048857114,0.5491656547480007,0.6289255768021189,0.5704289744158637
G_and_S_frontomargin R,0.43893179297792495,0.6709015665886829,0.6442395433880779,0.6269885999920874,0.6376776148418224,0.7006633322078605,0.6199004083327426
G_and_S_occipital_inf L,0.6473261905958579,0.7055898749754379,0.781475537321923,0.6540650620623194,0.7031745663825842,0.7463002306295589,0.7063219103279469
G_and_S_occipital_inf R,0.5209823547958483,0.705104753481765,0.8174156893584957,0.7421631407297107,0.7975050807796018,0.7901993123602099,0.7288950552509386
G_and_S_paracentral L,0.6442568817353518,0.7022127994771324,0.8473171332870274,0.7458782986640533,0.630578038600945,0.6975474039007199,0.711298425944205
G_and_S_paracentral R,0.6634679274222589,0.7149377654245256,0.8503465820467271,0.7507743011582083,0.6656636804959085,0.7271359618286704,0.7287210363960498
G_and_S_subcentral L,0.5416292116721876,0.7730221441330267,0.8048332266784882,0.7391123490951377,0.7225683907510205,0.6331000289755735,0.7023775585509058
G_and_S_subcentral R,0.5579692315604646,0.747394205206247,0.8107245168370902,0.7301610966973124,0.7200409322854489,0.5994059538785481,0.6942826560775185
G_and_S_transv_frontopol L,0.5573271535797646,0.6951388655110294,0.6916216977199889,0.6444011457579447,0.6279332846279047,0.6793191982401892,0.6492902242394702
G_and_S_transv_frontopol R,0.46663097031140566,0.6366036113751892,0.6145131056783997,0.5703771076538144,0.5636116675631943,0.6112605827513091,0.5771661742222187
G_cingul-Post-dorsal L,0.5006894590101192,0.7354518626671716,0.8370496891303206,0.7627861382125027,0.7963727888344438,0.7819633667454852,0.7357188841000072
G_cingul-Post-dorsal R,0.5217935796866532,0.7654454827537421,0.8279495549572561,0.7405306684394971,0.7470535720687593,0.7155895601118007,0.7197270696696182
G_cingul-Post-ventral L,0.45176657644897616,0.7258083574126417,0.8109168130472618,0.6888256238984735,0.7254317521182336,0.7421381327784172,0.6908145426173341
G_cingul-Post-ventral R,0.5387171588814763,0.8019208359194379,0.8469466010704281,0.7870411312463637,0.8131499162401274,0.7475876201327304,0.7558938772484273
G_cuneus L,0.5672461809557232,0.6855960197534972,0.8119449950249464,0.7521698695113229,0.8297811366767001,0.7538417509255387,0.733429992141288
G_cuneus R,0.5333808993699727,0.6314817093151441,0.7808799173396235,0.7581138917252188,0.8282479703393488,0.6679126870262201,0.700002845852588
G_front_inf-Opercular L,0.5099777211186015,0.8022658567066598,0.8097016124039484,0.7524601159725496,0.6868600491428546,0.658133794402103,0.7032331916244527
G_front_inf-Opercular R,0.5247833676557336,0.7576591511998017,0.7787308524008203,0.7532952412080016,0.7167385417992549,0.6419646754375543,0.6955286382835277
G_front_inf-Orbital L,0.5400198046134246,0.7141732888536761,0.754188161376972,0.7217319070294543,0.612541366963379,0.6406839876357305,0.6638897527454394
G_front_inf-Orbital R,0.6403268601950656,0.8041969421652387,0.8057028236383506,0.7915947118963287,0.7992498830816945,0.8402335253233835,0.7802174577166769
G_front_inf-Triangul L,0.6094013150533388,0.7403656512750147,0.7262444287569918,0.7448497284675006,0.6605800350218872,0.6585996241919057,0.6900067971277731
G_front_inf-Triangul R,0.6546524873793159,0.796332921422247,0.7717237826777728,0.7535399004043503,0.7398109009478204,0.7520672330982648,0.7446878709882951
