ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
7Networks_LH_Cont_Cing_1_Control,0.6812995994317903,0.8791042348550961,0.8403884019571326,0.8664626354939898,0.5435045828038844,0.6986990755341148,0.7515764216793346
7Networks_RH_Cont_Cing_1_Control,0.701080846799015,0.8887458113405713,0.8718330118057489,0.869038355126125,0.5846811231474753,0.6916829065780999,0.7678436757995059
7Networks_LH_Cont_Cing_2_Control,0.6464439754811857,0.9130834225426431,0.7497394100427934,0.8106362382128187,0.6423822612460428,0.6700093201583053,0.7387157712806315
7Networks_RH_Cont_Cing_2_Control,0.6551397627427893,0.9064541908188207,0.7946660565017749,0.8074045085956837,0.6505178706844414,0.7146758429120911,0.7548097053759335
7Networks_LH_Cont_OFC_1_Control,0.6324005413102738,0.8035067936500468,0.7345584032918462,0.7783822714794423,0.633733248434994,0.6646984021432911,0.7078799433849824
7Networks_LH_Cont_PFCl_1_Control,0.6635625486695417,0.7860117702163776,0.7383759158236745,0.7645910994968438,0.6124798541301231,0.611731102498373,0.6961253818058223
7Networks_RH_Cont_PFCl_1_Control,0.6384895018975656,0.7996427390968548,0.7291507380500455,0.7446286656222137,0.578684926125897,0.5510320965252764,0.6736047778863089
7Networks_LH_Cont_PFCl_2_Control,0.6472413560384569,0.8045880691902119,0.7476509423010118,0.7612254494979349,0.6017837662604306,0.6259345993130419,0.6980706971001814
7Networks_RH_Cont_PFCl_2_Control,0.643086395086667,0.799418362157697,0.6997394054338001,0.7122745827756218,0.5066962902738312,0.5217284691353257,0.6471572508104905
7Networks_LH_Cont_PFCl_3_Control,0.7344985134386554,0.8264358435243959,0.7845730155352856,0.8012331325204657,0.6561208521861783,0.6730108618989056,0.745978703183981
7Networks_RH_Cont_PFCl_3_Control,0.6828493700299079,0.8121565493051599,0.7922237821604006,0.7433270284015632,0.6712705576657905,0.5920499022858042,0.7156461983081045
7Networks_LH_Cont_PFCl_4_Control,0.7713955189702123,0.8745721227927219,0.8120749234618627,0.8352666752066036,0.733982825933318,0.6917214066159554,0.7865022454967789
7Networks_RH_Cont_PFCl_4_Control,0.738826555042924,0.8982489271680331,0.868909476214508,0.837005323126396,0.7208738403911032,0.6291773918593866,0.7821735856337252
7Networks_LH_Cont_PFCl_5_Control,0.7765303249104614,0.8534190260731421,0.875155590923771,0.858845334626537,0.7563874578680438,0.7292574557942139,0.8082658650326948
7Networks_RH_Cont_PFCl_5_Control,0.7081436944098007,0.821749724894111,0.8214328513028055,0.7818866218176296,0.6808157646874217,0.6370732691421602,0.7418503210423215
7Networks_RH_Cont_PFCl_6_Control,0.7436682768207903,0.8291291689342248,0.8386590775752554,0.8027723274053042,0.6488336460983712,0.6394680010665362,0.7504217496500803
7Networks_RH_Cont_PFCl_7_Control,0.754321204943116,0.8577979979298594,0.8525723685969782,0.8312590783975365,0.6740297494721669,0.621360091919787,0.7652234152099074
7Networks_RH_Cont_PFCmp_1_Control,0.6911828916874451,0.880776761391823,0.8488878921926764,0.8515044339035042,0.7754799053160646,0.6561256945012711,0.7839929298321308
7Networks_RH_Cont_PFCmp_2_Control,0.7285831759834359,0.8424183901458677,0.8321991085674123,0.8533866814602485,0.7642632584460088,0.7337699805668736,0.7924367658616412
7Networks_RH_Cont_PFCv_1_Control,0.6649307081032305,0.8568370427656085,0.83163706602321,0.8243222655689442,0.5992406699105517,0.47773819466199496,0.7091176578389232
7Networks_LH_Cont_Par_1_Control,0.7597959427799006,0.9108638763404324,0.885713363181418,0.9014913029484009,0.8785994869587072,0.7617943239434142,0.8497097160253789
7Networks_RH_Cont_Par_1_Control,0.7283968399296444,0.889307706091299,0.8952821643006372,0.8906393979528684,0.8062734029778993,0.5211437413182346,0.7885072087617638
7Networks_LH_Cont_Par_2_Control,0.7499037561049283,0.9040115449598154,0.9044326912148891,0.9201390707285887,0.8642594390724103,0.6227417101281939,0.827581368701471
7Networks_RH_Cont_Par_2_Control,0.7486504345303784,0.8776954607201326,0.9044778099439847,0.8896484760421781,0.7982572280761578,0.5236670272897842,0.7903994061004359
7Networks_LH_Cont_Par_3_Control,0.7668654243142783,0.9142596302273507,0.8940524657403008,0.8943567359096126,0.8559542477715125,0.7342488171508197,0.843289553518979
7Networks_RH_Cont_Par_3_Control,0.7246618506159784,0.8884506847886647,0.9062050687862374,0.8990017034979342,0.8922579787631857,0.6433949016258305,0.8256620313463051
7Networks_LH_Cont_Temp_1_Control,0.7537652562142866,0.9246949581299511,0.8992510754881737,0.8958692266576422,0.7616032417136029,0.6370580458895155,0.8120403006821953
7Networks_RH_Cont_Temp_1_Control,0.6991194665186315,0.8984812011267898,0.8824995267091131,0.8045013087713473,0.7450150385954748,0.7327653386603472,0.7937303133969507
