ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
7Networks_LH_Cont_Cing_1_Control,0.5481704789552946,0.7035153533970326,0.8751838033578945,0.6597140711201327,0.5701270502582138,0.54353785145742,0.6500414347576646
7Networks_RH_Cont_Cing_1_Control,0.5495951961309464,0.6830183976812787,0.866411905279368,0.6594346590390188,0.5561517239940817,0.4751293593937096,0.6316235402530673
7Networks_LH_Cont_Cing_2_Control,0.5388481573079716,0.7986633857046527,0.8223252451165465,0.7233061126482844,0.4439467626964804,0.4741969982799332,0.6335477769589781
7Networks_RH_Cont_Cing_2_Control,0.5473974636057616,0.8078533917360489,0.8390428837771179,0.7470840539998816,0.4117703348727101,0.46656723251549836,0.6366192267511698
7Networks_LH_Cont_OFC_1_Control,0.5427359149581402,0.679580161225388,0.6400993290940038,0.5319613507693327,0.5374701644350734,0.6196519316909093,0.5919164753621412
7Networks_LH_Cont_PFCl_1_Control,0.5716447069580071,0.7083386124109436,0.7092706496961874,0.5763912500460951,0.46676914722670304,0.5365175387410769,0.5948219841798356
7Networks_RH_Cont_PFCl_1_Control,0.6070594483711105,0.6763533282320993,0.6445893573365347,0.5460652786882325,0.652621718242453,0.7238455046363438,0.6417557725844623
7Networks_LH_Cont_PFCl_2_Control,0.5613832060279945,0.741817360389627,0.7322428314108288,0.5533972036044895,0.36801251585577177,0.5059664532934147,0.5771365950970211
7Networks_RH_Cont_PFCl_2_Control,0.6395137169345437,0.7750737321073826,0.7033196536032158,0.5793449692121689,0.5418829196680931,0.651028156578208,0.6483605246839353
7Networks_LH_Cont_PFCl_3_Control,0.6569065573115962,0.793350851188702,0.7801813570256305,0.6660576239221501,0.4418622886013027,0.5704840462270776,0.65147378737941
7Networks_RH_Cont_PFCl_3_Control,0.690258114554799,0.8112961848919803,0.771051776714993,0.6278488618916293,0.6210237435428437,0.6284736241945014,0.6916587176317912
7Networks_LH_Cont_PFCl_4_Control,0.6710603040348262,0.8299727516654924,0.8077826497709484,0.7267943540604574,0.5716291818599615,0.6598201185197918,0.7111765599852463
7Networks_RH_Cont_PFCl_4_Control,0.6780276693204077,0.8291404236778994,0.8531783906903865,0.7069988082777566,0.5135197125238136,0.5817605795505497,0.6937709306734688
7Networks_LH_Cont_PFCl_5_Control,0.7075044395785217,0.8372295032644423,0.866377004122701,0.7678042053608964,0.6260984785371418,0.7443487323120114,0.7582270605292857
7Networks_RH_Cont_PFCl_5_Control,0.6825374336800036,0.8087591803839149,0.8349365683886116,0.6348339220718496,0.5101521257783279,0.5806441372846399,0.6753105612645579
7Networks_RH_Cont_PFCl_6_Control,0.7228962979664761,0.7829404756922483,0.7971531245591972,0.647278518955578,0.429694484978565,0.6494959595642364,0.6715764769527168
