ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
7Networks_LH_Cont_Cing_1_Control,0.43209923516303894,0.6248362402634804,0.8993704093888825,0.2145339016745011,0.1413822683738406,-0.096111788993181,0.36935171097842706
7Networks_LH_Cont_Cing_2_Control,0.38112543737386045,0.576098313892216,0.7439360869729387,0.3989126196972163,0.3137821640129645,-0.03601470032131881,0.3963066536046462
7Networks_LH_Cont_OFC_1_Control,0.589458172061622,0.8968449599022321,0.7153697510197417,0.5140081701392747,0.10350659847901382,-0.33171313641569966,0.4145790858643641
7Networks_LH_Cont_PFCl_1_Control,0.5827021761510297,1.0007514507226198,0.6734707341236018,0.6204828825069887,0.21584043904368774,0.058636269508792964,0.5253139920094535
7Networks_LH_Cont_PFCl_2_Control,0.6425158212047429,0.9202539580091639,0.5424828985183726,0.6825841031194907,0.035106434998575846,0.2577051927761404,0.5134414014377476
7Networks_LH_Cont_PFCl_3_Control,0.6651715757185175,0.9852405824130062,0.597505888930274,0.9158369756052139,-0.19812388526995062,-0.23413709778687597,0.4552490066016975
7Networks_LH_Cont_PFCl_4_Control,0.5705872627252493,1.0708927880567307,0.24982418455290395,0.4115227634472381,-0.4766281108974283,-0.4981019604074098,0.22134948791288064
7Networks_LH_Cont_PFCl_5_Control,0.8005218494926096,1.1355555690046937,0.6391670008653276,0.7597215298630806,0.03341417498880496,-0.2277863658136833,0.5234322930668055
7Networks_LH_Cont_Par_1_Control,0.548595770384647,0.9781897798699016,0.3968984537256065,0.6265117816887129,-0.3237559915090775,-0.5241934305536218,0.2837077272676948
7Networks_LH_Cont_Par_2_Control,0.5450579671155221,1.0849950757452178,0.788672053828496,1.0081338004059908,0.03987456820425915,0.09602901880039924,0.5937937473499808
7Networks_LH_Cont_Par_3_Control,0.3972447677010724,0.7223825797254945,0.5291907241113072,0.8823641379227475,-0.8204564915174082,-0.6713070661365214,0.173236441967782
7Networks_LH_Cont_Temp_1_Control,0.38387280635760546,0.9183605204545764,0.7386899904718971,1.1082081834112048,0.4790344408483918,0.9969368300725212,0.7708504619360328
7Networks_LH_Cont_pCun_1_Control,0.3399383605244341,0.676545245380959,0.8060481733763549,1.1730908115760896,-0.5193980081767957,0.2208177203792214,0.4495070505100438
7Networks_LH_Default_PFC_10_DMN,0.5749639215898378,0.7504675386515749,0.7374335941401199,1.1061841023267438,0.7941419806305218,0.847263743810469,0.8017424801915446
7Networks_LH_Default_PFC_11_DMN,0.2558526865265872,0.3926737067767973,0.39524715992723036,0.9553717246580656,-0.37485469942526195,0.12458208601732962,0.291478777413458
7Networks_LH_Default_PFC_12_DMN,0.29286928714210764,0.4371000780947489,0.43535752055314775,1.0354022375178507,-0.5774522159803863,-0.09751448907870493,0.25429373637479397
7Networks_LH_Default_PFC_13_DMN,0.40192499670324433,0.4203545990103753,0.680817355868276,1.0599984067403825,-0.4833622584608065,-0.05075267065518269,0.33816340486771485
7Networks_LH_Default_PFC_1_DMN,0.2329413761476708,0.7414094610053723,0.49390364071265785,1.0307369140397122,0.04729924162104446,-0.01526876756655054,0.42183697765998446
7Networks_LH_Default_PFC_2_DMN,0.15858165958624998,0.39739216382094167,0.9489816884034372,0.8631873667997075,0.21146585139791915,0.5152191469131931,0.5158046461535748
7Networks_LH_Default_PFC_3_DMN,0.3076508093701692,0.4764794537192616,0.2200412531181871,0.23952967523181617,-0.07940978915526056,-0.12366361594639307,0.17343796438963008
7Networks_LH_Default_PFC_4_DMN,0.6386359534777961,0.5551140749374923,0.6162267598143325,0.5006726752080133,0.46537329232031244,-0.4969451666639466,0.379846264849
7Networks_LH_Default_PFC_5_DMN,0.33207404557466086,0.45484905625720246,0.6298419072299986,0.9454963821640159,0.3530544708287363,0.5823698634870315,0.5496142875902742
7Networks_LH_Default_PFC_6_DMN,0.6105534941972472,0.6983170918436364,0.7174974895180819,0.421206364339527,0.7559390606473727,0.43585496745035035,0.6065614113327026
7Networks_LH_Default_PFC_7_DMN,0.3405437634234189,0.5776608255062224,0.6772773419023685,0.9132870230971415,0.7285268765563012,0.6317961703749483,0.6448486668100669
7Networks_LH_Default_PFC_8_DMN,0.7859664752107749,0.632368773537119,0.752889142402822,0.46815374923932973,0.676981374753947,-0.7728220082450027,0.4239229178164983
7Networks_LH_Default_PFC_9_DMN,0.5660950403880409,0.7723662719754765,0.7724245999480222,0.5766322746051932,0.5666034684184511,0.7569190412390233,0.668506782762368
7Networks_LH_Default_PHC_1_DMN,0.7474356996763163,0.7082385120427528,0.9943025610890442,0.15568309591583618,0.37555662777969673,-0.0775570689977031,0.4839432379176572
7Networks_LH_Default_Par_1_DMN,0.7454999252426924,0.925331702768293,0.6790460987355178,0.42819212371372434,0.6901956677472011,0.3074199423207326,0.6292809100880269
7Networks_LH_Default_Par_2_DMN,0.5959309640570786,0.6299636698602098,0.7781978040453158,0.6193204473285925,0.6512357502451727,0.02681561451977012,0.5502440416760233
7Networks_LH_Default_Par_3_DMN,0.33324527139572463,0.710258096598731,0.8434765603185301,0.3426748618586389,0.6250729759987906,-0.3061974424801469,0.42475505394837804
7Networks_LH_Default_Par_4_DMN,0.30142740539317936,0.6349764057255648,0.5652105044796761,0.38766332671045617,0.17908903446605653,0.49354760353283433,0.42698571338462793
7Networks_LH_Default_Temp_1_DMN,0.308336572612672,0.7438906385548663,0.7311722890810092,0.9667442713124653,0.15142446503135698,0.44319336564156386,0.557460267038989
7Networks_LH_Default_Temp_2_DMN,0.4905369968623708,0.7575634913425725,0.7092810281230151,0.9880897941544655,0.4670015847221161,0.5060937092322418,0.653094434072797
7Networks_LH_Default_Temp_3_DMN,0.32096380888902315,0.7902406170836488,0.8539349644099866,1.065783231462112,0.3773342695542699,0.9760462123604104,0.7307171839599085
7Networks_LH_Default_Temp_4_DMN,0.14558182935690506,0.4564716070051953,1.0797181099938966,0.855729073064724,0.42348746120787695,0.8224262058531029,0.6305690477469502
7Networks_LH_Default_Temp_5_DMN,0.4870280441324656,0.7086572829274909,0.2513318382079707,-0.02022933567578944,0.2037487696682873,-0.49921595207390007,0.1885534411977542
7Networks_LH_Default_pCunPCC_1_DMN,0.5337144741862172,0.793435534333316,0.7219278869896094,0.9477492391443844,-0.13641566154656914,0.20149967415038028,0.5103185245428897
