ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
7Networks_LH_Cont_Cing_1_Control,0.46947689033882295,0.6338406132870257,0.8859834671428315,0.2034604587106937,0.17527942064979585,-0.0989236768757169,0.3781861955422421
7Networks_LH_Cont_Cing_2_Control,0.41288254057279333,0.5870992581020767,0.7261049035056598,0.38980485635755124,0.3191017042272598,-0.03894153954215458,0.3993419538705311
7Networks_LH_Cont_OFC_1_Control,0.6844965325498957,0.8814152710015841,0.7177232909837012,0.5189698013865084,0.11633142012354569,-0.30443186211915235,0.4357507423210138
7Networks_LH_Cont_PFCl_1_Control,0.6435658473264972,0.9852339724552086,0.675376381369024,0.6228907405558977,0.2084444827153809,0.055157241810903736,0.5317781110388187
7Networks_LH_Cont_PFCl_2_Control,0.6039447324259384,0.9701121165622637,0.556970227777772,0.7111929786561992,0.05752058024362734,0.26762996101662606,0.5278950994470711
7Networks_LH_Cont_PFCl_3_Control,0.6424294383870136,1.0504920267242555,0.60904488292301,0.9125954027088411,-0.2362516364388389,-0.28291085612158723,0.44923320969711567
7Networks_LH_Cont_PFCl_4_Control,0.5758623079118509,1.0700839181194355,0.2166634268186156,0.41043156373287376,-0.47422717325726343,-0.47796951318518566,0.2201407550233878
7Networks_LH_Cont_PFCl_5_Control,0.7803164939561837,1.163197748750326,0.6128945106886927,0.7616831095583351,-0.032780574488912244,-0.3604618729789733,0.48747490258094195
7Networks_LH_Cont_Par_1_Control,0.5841636175414481,1.0067663009160728,0.3777864602521935,0.5891701777114795,-0.4109378989207535,-0.557988831897579,0.2648266376004768
7Networks_LH_Cont_Par_2_Control,0.615527315487455,1.1082232620260961,0.7921638070931382,0.9778901329052558,-0.025535443693228632,0.02094796523389217,0.5815361731754348
7Networks_LH_Cont_Par_3_Control,0.45209736628662606,0.7364844755445735,0.5415118333531905,0.8393730918063589,-0.8428856488026835,-0.6611233548322051,0.1775762938926434
7Networks_LH_Cont_Temp_1_Control,0.481459146533319,0.9345598979468661,0.7455447740816946,1.085091012845386,0.43014302305432806,0.926689617897899,0.7672479120599154
7Networks_LH_Cont_pCun_1_Control,0.371877306368418,0.6671722193304184,0.7905177788929888,1.1566297522749027,-0.5242183212144607,0.18294381218690192,0.44082042463986154
7Networks_LH_Default_PFC_10_DMN,0.6355318720954952,0.7556259834523484,0.7233228895782837,1.0831904148782898,0.7616360148758077,0.8096344287093867,0.7948236005982686
7Networks_LH_Default_PFC_11_DMN,0.2874045794394588,0.4050863855314587,0.4003425699420398,0.9241915421801141,-0.40398535428022725,0.0864830358994724,0.2832537931187194
7Networks_LH_Default_PFC_12_DMN,0.3078358225783529,0.4398565273199099,0.4277708713903454,1.001973548607994,-0.6107842666649961,-0.11763744137991089,0.2415025103086159
7Networks_LH_Default_PFC_13_DMN,0.44496558358984245,0.42322655643625295,0.6758008962165787,1.0301155980170456,-0.5053714836763648,-0.07155838307426737,0.3328631279181813
7Networks_LH_Default_PFC_1_DMN,0.29604787334028376,0.7460896848300657,0.5146745507781889,1.0115837531519645,0.041000952758083936,0.05400858402960516,0.44390089981469866
7Networks_LH_Default_PFC_2_DMN,0.2197102985699413,0.41055498615044117,0.9400642930267201,0.8385503561417139,0.16179575421530093,0.4774291915387069,0.5080174799404708
7Networks_LH_Default_PFC_3_DMN,0.31007167355413257,0.47361155307034486,0.18282463303606894,0.22502511342580014,-0.10001812460992035,-0.12890443986381384,0.16043506810210204
7Networks_LH_Default_PFC_4_DMN,0.6602613958714332,0.5497697585243649,0.591893036858751,0.48714536441408274,0.4507940715861535,-0.49675721344500445,0.37385106896829684
7Networks_LH_Default_PFC_5_DMN,0.35594647075435687,0.46275399558951646,0.6151292867696341,0.936210072771616,0.3397726531565638,0.5792001152473858,0.5481687657148454
7Networks_LH_Default_PFC_6_DMN,0.6376955685714074,0.6915412320872822,0.6958480267398675,0.41330857374632085,0.7270074615244531,0.36478463765121505,0.5883642500534244
7Networks_LH_Default_PFC_7_DMN,0.39729415654461253,0.5967070699431107,0.6610900497319522,0.9086802150179664,0.7262911971561389,0.6553916926617108,0.6575757301759152
7Networks_LH_Default_PFC_8_DMN,0.803603459828899,0.6261874069558995,0.7350008120090681,0.46499478650778575,0.6612280017024033,-0.7749460618811489,0.41934473418715107
7Networks_LH_Default_PFC_9_DMN,0.5986781633216367,0.7761363378038223,0.7552039123235856,0.5730633738088747,0.5523390108379118,0.7283892518182177,0.6639683416523415
7Networks_LH_Default_PHC_1_DMN,0.7142425070353333,0.7043917408623781,0.9916357528168158,0.1434610863684775,0.3419188537617213,-0.06292758006646652,0.4721203934630433
7Networks_LH_Default_Par_1_DMN,0.7302072321723238,0.9205774388015737,0.6645413659813916,0.4181651195853731,0.6766820948797555,0.3043703348046971,0.619090597704186
7Networks_LH_Default_Par_2_DMN,0.6197926290473874,0.6219735361635039,0.7558556830113761,0.6143514637276084,0.636688155878469,0.017366351890668808,0.5443379699531689
7Networks_LH_Default_Par_3_DMN,0.35425634064993716,0.6953811344929436,0.8215423064675071,0.3353288386797352,0.6105970998775216,-0.3167065784987794,0.4167331902781442
7Networks_LH_Default_Par_4_DMN,0.24058626940942404,0.654757987989647,0.5944219774007797,0.40368417895430153,0.14200143875333965,0.4289448817251649,0.41073278903877614
7Networks_LH_Default_Temp_1_DMN,0.37850115624798436,0.7495509184213986,0.7494981524038548,0.9452023967736042,0.11091512681702534,0.44137254394533953,0.5625067157682011
7Networks_LH_Default_Temp_2_DMN,0.5497919802752339,0.7681768430603113,0.695296568256004,0.963626965661688,0.4039095798680264,0.42880990987308903,0.6349353078323922
7Networks_LH_Default_Temp_3_DMN,0.38641195436887377,0.8091108504488858,0.8544278359198936,1.0412520777001664,0.30506807164316163,0.8975911387375248,0.7156436548030843
7Networks_LH_Default_Temp_4_DMN,0.18292494019116043,0.4830377825643034,1.071539104937537,0.8276359861955337,0.3632211178965094,0.7340944033188793,0.6104088891839872
7Networks_LH_Default_Temp_5_DMN,0.44639044799154126,0.687875824707951,0.1912189076606267,-0.004261465852897224,0.22977578079995903,-0.4828397834966425,0.1780266186350897
7Networks_LH_Default_pCunPCC_1_DMN,0.5036051838082989,0.8236802190140544,0.7447038953541979,0.9200540680089722,-0.17862086878094835,0.1364467634109601,0.49164487680258917
7Networks_LH_Default_pCunPCC_2_DMN,0.9464429124539031,1.096942793483525,0.3597112708452851,0.5013321269992234,-0.05625961979479246,-0.07776508201629012,0.46173406699514236
7Networks_LH_Default_pCunPCC_3_DMN,0.6673122951387909,0.9932364296216706,0.9430450447520844,1.1276805228565756,-0.025784258121923382,0.46648451634528215,0.6953290917654135
7Networks_LH_Default_pCunPCC_4_DMN,0.5745999965268085,0.9396075721738794,0.2801164487371035,0.3671682388231238,0.4646087420236518,0.015107368445035121,0.44020139445493367
7Networks_LH_DorsAttn_FEF_1_DA,0.5987380683013659,0.8718558370880188,0.39414265281108063,0.7609872162957954,0.056602926068378925,0.23024406708937675,0.4854284612756694
7Networks_LH_DorsAttn_FEF_2_DA,0.3754029230075288,0.8969269420804289,0.49372429822142233,0.8432937127323322,0.25576838378558897,0.3651495602176434,0.5383776366741574
7Networks_LH_DorsAttn_Post_10_DA,0.4124757935819534,0.715164702568694,0.47832366544442007,0.95879274164752,0.10718014223787826,0.4809892232243806,0.5254877114508077
7Networks_LH_DorsAttn_Post_1_DA,0.37945057670415805,0.5420441368603133,0.011597947745454862,-0.15480432230452476,-0.012383951508529806,-0.4726821115402204,0.04887037932610854
7Networks_LH_DorsAttn_Post_2_DA,0.43028766592263934,0.7668394886274927,0.18106960864507976,0.30524742372281305,0.21772138513816025,-0.3870426685971228,0.2523538172431771
7Networks_LH_DorsAttn_Post_3_DA,0.21829932997454518,0.5691963269642782,0.2020873277628251,0.541864299491319,0.261991205699951,-0.15791997913941694,0.2725864184589169
7Networks_LH_DorsAttn_Post_4_DA,0.4340121262719932,0.7441429712055816,0.27965573301791596,0.7738104856614062,0.11745623584775693,0.2238013148316247,0.42881314447271307
7Networks_LH_DorsAttn_Post_5_DA,0.24719808132346874,0.38301972579788707,0.47734529005066106,0.9171940676327267,-0.20674169176221593,0.46657581891967964,0.3807652153270346
