ROI,DELTA,THETA,ALPHA,BETA,GAMMA,HIGH GAMMA,total_avg
7Networks_LH_Cont_Cing_1_Control,0.5172446564303345,0.7689061265331114,0.841397647756794,0.7533869399275248,0.5533166468684507,0.5855063462943094,0.6699597273017542
7Networks_LH_Cont_Cing_2_Control,0.5295797976067198,0.7507988972405747,0.8349010891482432,0.737847769713439,0.5391985346687094,0.5345715907927464,0.6544829465284054
7Networks_LH_Cont_OFC_1_Control,0.560594313244291,0.8147410138741351,0.782294089888857,0.7354055168433535,0.5230695236871508,0.5969330457929768,0.6688395838884605
7Networks_LH_Cont_PFCl_1_Control,0.5645264721884761,0.8106549060782734,0.8068659385914836,0.7469791367895079,0.5089459602318112,0.6161087325800381,0.6756801910765983
7Networks_LH_Cont_PFCl_2_Control,0.5110041875148891,0.7107667189433498,0.697771218652092,0.6819739918970562,0.576225591429367,0.60765691839633,0.6308997711388473
7Networks_LH_Cont_PFCl_3_Control,0.5170057035149718,0.7187405787433606,0.7080450555542182,0.6989477462202175,0.5520371797942077,0.5554742141265866,0.6250417463255937
7Networks_LH_Cont_PFCl_4_Control,0.5368130515390979,0.7460689931425765,0.7187131343532606,0.6828554281599316,0.6202876054440274,0.6364094317210951,0.6568579407266647
7Networks_LH_Cont_PFCl_5_Control,0.5186770036827772,0.7574646785964385,0.7210550138208877,0.6934895589398772,0.5336326205546865,0.574701339102599,0.6331700357828777
7Networks_LH_Cont_Par_1_Control,0.535180612821057,0.7652327940747605,0.7154601041903386,0.6595270401858915,0.5544950583179822,0.5976644952814244,0.6379266841452423
7Networks_LH_Cont_Par_2_Control,0.5922275506887604,0.7848695866864299,0.7636454146818094,0.7539961977354358,0.5781738076559139,0.6045033534793123,0.6795693184879436
7Networks_LH_Cont_Par_3_Control,0.5902577263031259,0.7664304401189019,0.7679645736605364,0.6987864579582556,0.6337061704954274,0.5873315629005036,0.6740794885727919
7Networks_LH_Cont_Temp_1_Control,0.6399726081037616,0.8247132256810512,0.7947937180341643,0.7855853954938337,0.6547951874616876,0.6347150603085998,0.7224291991805162
7Networks_LH_Cont_pCun_1_Control,0.6431387188174191,0.8196488778915236,0.8322402770192424,0.7581937564068746,0.6282762101722635,0.6114636721163882,0.7154935854039519
7Networks_LH_Default_PFC_10_DMN,0.6715117229594028,0.8119217508470822,0.863799123422998,0.7933152014624728,0.688561405645047,0.7202888892125293,0.7582330155915886
7Networks_LH_Default_PFC_11_DMN,0.5908571669594714,0.753970239921712,0.7628334562739101,0.6789359174218644,0.5746289432892822,0.5826133590686854,0.6573065138224875
7Networks_LH_Default_PFC_12_DMN,0.6655878586986967,0.7708576616540502,0.7856231147022636,0.7055302359606639,0.5540343066576165,0.6275520037149867,0.6848641968980461
7Networks_LH_Default_PFC_13_DMN,0.6835386853591066,0.784590018625761,0.8032828437688627,0.734942284451057,0.542559042006302,0.6373534732921069,0.6977110579171995
7Networks_LH_Default_PFC_1_DMN,0.5731185949281151,0.7980759521902788,0.7968653921692184,0.7471956554096143,0.620210143993809,0.5688177552843269,0.6840472489958938
7Networks_LH_Default_PFC_2_DMN,0.6513242365633406,0.775289918217751,0.8073346433735612,0.7424165240632625,0.585611842479333,0.6845671976055866,0.7077573937171392
7Networks_LH_Default_PFC_3_DMN,0.5096063672517146,0.7229868307579259,0.7629508712464796,0.7201339118342498,0.5713459826286897,0.4632119705733878,0.6250393223820746
7Networks_LH_Default_PFC_4_DMN,0.7053159224209258,0.8370046140591907,0.8612318163372814,0.8132447773855547,0.798566882534141,0.6647448891995483,0.7800181503227736
7Networks_LH_Default_PFC_5_DMN,0.6511946059450034,0.7902507686201057,0.8721620492219756,0.8125750555563593,0.7293251309174881,0.6145253454846471,0.7450054926242632
7Networks_LH_Default_PFC_6_DMN,0.6578741203275028,0.8100862881741113,0.8710192563149279,0.8270726680514762,0.8348128047372232,0.6002428487278305,0.766851331055512
7Networks_LH_Default_PFC_7_DMN,0.660732411812259,0.7851746508783988,0.8647943048875877,0.8100969264182771,0.7466097326407926,0.5379378216586165,0.7342243080493218
7Networks_LH_Default_PFC_8_DMN,0.6655067267899304,0.8268940762093571,0.8659527478904356,0.8226738453776649,0.8089797643889227,0.6212918044137493,0.7685498275116767
7Networks_LH_Default_PFC_9_DMN,0.6221860037803839,0.7494078646310263,0.87093080271458,0.8098451241280766,0.8228248768200466,0.5499633165579627,0.7375263314386794
7Networks_LH_Default_PHC_1_DMN,0.637859726557928,0.8221934557584669,0.8796586376476908,0.7799045767019437,0.6017466612563724,0.5671412267122616,0.7147507141057773
7Networks_LH_Default_Par_1_DMN,0.6026480286715836,0.7906175889282843,0.8796218121309692,0.7928717090366316,0.7167133414124895,0.687961281743593,0.7450722936539252
7Networks_LH_Default_Par_2_DMN,0.5852628526280823,0.7475408668689383,0.869660071806123,0.8061786854785307,0.8333423410007679,0.5914700458528919,0.7389091439392225
7Networks_LH_Default_Par_3_DMN,0.5509456566964613,0.7067384553200975,0.8642982816665066,0.7966925788698593,0.7744817481357037,0.5486525440611886,0.7069682107916363
7Networks_LH_Default_Par_4_DMN,0.49641021827620646,0.7419737067064437,0.7648487010344251,0.721374908814665,0.575069286632133,0.5045466050714189,0.6340372377558822
7Networks_LH_Default_Temp_1_DMN,0.6172202352463207,0.785131469234718,0.7805162004598573,0.7471947056124293,0.6127413370355322,0.6492677714699191,0.6986786198431294
7Networks_LH_Default_Temp_2_DMN,0.6958672743334302,0.7990398840127733,0.8391228329886286,0.7719645006862026,0.6313364673611024,0.7140973193845435,0.7419047131277802
7Networks_LH_Default_Temp_3_DMN,0.667139194886637,0.7968839057085824,0.80366089180791,0.7608845126109103,0.6285060351218329,0.709878239950774,0.7278254633477744
7Networks_LH_Default_Temp_4_DMN,0.6760894015433919,0.7751257634199408,0.8172883019253165,0.7542572361957902,0.5953585847839398,0.6576820155185459,0.7126335505644875
7Networks_LH_Default_Temp_5_DMN,0.4214453703533983,0.6513563431649327,0.6815596227751156,0.6418913079713064,0.48197982200787387,0.4090097002294417,0.5478736944170114
