,values,TypeCorr,TwinType,FreqBand
0,0.9957086587466746,Autocorr,MZ,BROADBAND
1,0.9971038965593262,Autocorr,DZ,BROADBAND
2,0.9971841077131868,Autocorr,NT,BROADBAND
3,0.9945160839730032,Crosscorr,MZ,BROADBAND
4,0.987853959903394,Crosscorr,DZ,BROADBAND
5,0.976867086963169,Crosscorr,NT,BROADBAND
6,0.95606547123106,Autocorr,MZ,DELTA
7,0.991351667821457,Autocorr,DZ,DELTA
8,0.9357499734969292,Autocorr,NT,DELTA
9,0.962098773856432,Crosscorr,MZ,DELTA
10,0.9660689802189926,Crosscorr,DZ,DELTA
11,0.9542864624348276,Crosscorr,NT,DELTA
12,0.9387360107661472,Autocorr,MZ,THETA
13,0.9131461702772824,Autocorr,DZ,THETA
14,0.8877986152453965,Autocorr,NT,THETA
15,0.8692084891893331,Crosscorr,MZ,THETA
16,0.5348458415512687,Crosscorr,DZ,THETA
17,0.6561779705549093,Crosscorr,NT,THETA
18,0.965310629500742,Autocorr,MZ,ALPHA
19,0.9561457348435598,Autocorr,DZ,ALPHA
20,0.9589047078913636,Autocorr,NT,ALPHA
21,0.9367204835024674,Crosscorr,MZ,ALPHA
22,0.6702636879074035,Crosscorr,DZ,ALPHA
23,0.6166468984161387,Crosscorr,NT,ALPHA
24,0.9797133726478864,Autocorr,MZ,BETA
25,0.9766218502948464,Autocorr,DZ,BETA
26,0.9898809656054212,Autocorr,NT,BETA
27,0.9779265328286018,Crosscorr,MZ,BETA
28,0.9335780944730968,Crosscorr,DZ,BETA
29,0.9307657735281244,Crosscorr,NT,BETA
30,0.937700609057369,Autocorr,MZ,GAMMA
31,0.9729660326778844,Autocorr,DZ,GAMMA
32,0.973281986615987,Autocorr,NT,GAMMA
33,0.935026440146995,Crosscorr,MZ,GAMMA
34,0.9122039249263862,Crosscorr,DZ,GAMMA
35,0.8716265232196878,Crosscorr,NT,GAMMA
36,0.973705464184486,Autocorr,MZ,HIGH GAMMA
37,0.9859146368191808,Autocorr,DZ,HIGH GAMMA
38,0.982928714407826,Autocorr,NT,HIGH GAMMA
39,0.959969331737944,Crosscorr,MZ,HIGH GAMMA
40,0.9431880059068448,Crosscorr,DZ,HIGH GAMMA
41,0.906195618373188,Crosscorr,NT,HIGH GAMMA
42,0.9951296152505176,Autocorr,MZ,BROADBAND
43,0.996247150372499,Autocorr,DZ,BROADBAND
44,0.9949389456421176,Autocorr,NT,BROADBAND
45,0.9913802682268772,Crosscorr,MZ,BROADBAND
46,0.9864991896028116,Crosscorr,DZ,BROADBAND
47,0.9708146864794672,Crosscorr,NT,BROADBAND
48,0.91380480099868,Autocorr,MZ,DELTA
49,0.9888550183113805,Autocorr,DZ,DELTA
50,0.9875402173266132,Autocorr,NT,DELTA
51,0.8822383208773541,Crosscorr,MZ,DELTA
52,0.9595569146467456,Crosscorr,DZ,DELTA
53,0.9458425219804032,Crosscorr,NT,DELTA
54,0.9150032010346884,Autocorr,MZ,THETA
55,0.7874932552718825,Autocorr,DZ,THETA
56,0.8046202701563638,Autocorr,NT,THETA
57,0.8990716070539713,Crosscorr,MZ,THETA
58,0.3340678294026534,Crosscorr,DZ,THETA
59,0.6181172263774348,Crosscorr,NT,THETA
60,0.97334149350196,Autocorr,MZ,ALPHA
61,0.9050712613571535,Autocorr,DZ,ALPHA
62,0.9147800172676854,Autocorr,NT,ALPHA
63,0.9348290651784222,Crosscorr,MZ,ALPHA
64,0.5641918229054883,Crosscorr,DZ,ALPHA
65,0.5761219497255872,Crosscorr,NT,ALPHA
66,0.9708819220394512,Autocorr,MZ,BETA
67,0.9755024847175704,Autocorr,DZ,BETA
68,0.9780718600970056,Autocorr,NT,BETA
69,0.9431272181180036,Crosscorr,MZ,BETA
70,0.9342417227905776,Crosscorr,DZ,BETA
71,0.691206643675476,Crosscorr,NT,BETA
72,0.9307667560589264,Autocorr,MZ,GAMMA
73,0.9639346166178988,Autocorr,DZ,GAMMA
74,0.9757005402908616,Autocorr,NT,GAMMA
75,0.8744934458472915,Crosscorr,MZ,GAMMA
76,0.9208896311059824,Crosscorr,DZ,GAMMA
77,0.91883470854044,Crosscorr,NT,GAMMA
78,0.9717994546311106,Autocorr,MZ,HIGH GAMMA
79,0.9779119366823992,Autocorr,DZ,HIGH GAMMA
80,0.9703144312648162,Autocorr,NT,HIGH GAMMA
81,0.9501999896731056,Crosscorr,MZ,HIGH GAMMA
82,0.9211238228549764,Crosscorr,DZ,HIGH GAMMA
83,0.9262716085314152,Crosscorr,NT,HIGH GAMMA
84,0.9709343146389464,Autocorr,MZ,BROADBAND
85,0.997139086568732,Autocorr,DZ,BROADBAND
86,0.9971664216663512,Autocorr,NT,BROADBAND
87,0.9679421331370104,Crosscorr,MZ,BROADBAND
88,0.9743089563748116,Crosscorr,DZ,BROADBAND
89,0.9739709908881866,Crosscorr,NT,BROADBAND
90,0.6205259095907095,Autocorr,MZ,DELTA
91,0.9915888554611564,Autocorr,DZ,DELTA
92,0.986185497190584,Autocorr,NT,DELTA
93,0.5279350148519422,Crosscorr,MZ,DELTA
94,0.846398198285187,Crosscorr,DZ,DELTA
95,0.9651526822008464,Crosscorr,NT,DELTA
96,0.1015865625062032,Autocorr,MZ,THETA
97,0.9390506790841556,Autocorr,DZ,THETA
98,0.92795439790397,Autocorr,NT,THETA
99,0.3325401215916792,Crosscorr,MZ,THETA
100,0.824078321657973,Crosscorr,DZ,THETA
101,0.1606829904657997,Crosscorr,NT,THETA
102,0.6389411952168933,Autocorr,MZ,ALPHA
103,0.9739081624482432,Autocorr,DZ,ALPHA
104,0.9646091879610792,Autocorr,NT,ALPHA
105,0.7008390741309605,Crosscorr,MZ,ALPHA
106,0.5455871618518231,Crosscorr,DZ,ALPHA
107,-0.0390030917752501,Crosscorr,NT,ALPHA
108,0.622353196267053,Autocorr,MZ,BETA
109,0.980552908667888,Autocorr,DZ,BETA
110,0.9835716113022976,Autocorr,NT,BETA
111,0.6807230399602513,Crosscorr,MZ,BETA
112,0.879405960628155,Crosscorr,DZ,BETA
113,0.8408293203147512,Crosscorr,NT,BETA
114,0.96642879902769,Autocorr,MZ,GAMMA
115,0.978001665048954,Autocorr,DZ,GAMMA
116,0.963425843690712,Autocorr,NT,GAMMA
117,0.9352830045577674,Crosscorr,MZ,GAMMA
118,0.8711759990988521,Crosscorr,DZ,GAMMA
119,0.9013738272589792,Crosscorr,NT,GAMMA
120,0.9734280393130637,Autocorr,MZ,HIGH GAMMA
121,0.9786718452847664,Autocorr,DZ,HIGH GAMMA
122,0.9772975551444664,Autocorr,NT,HIGH GAMMA
123,0.948667735395352,Crosscorr,MZ,HIGH GAMMA
124,0.8913619883640318,Crosscorr,DZ,HIGH GAMMA
125,0.8948012848054685,Crosscorr,NT,HIGH GAMMA
126,0.9591960816451656,Autocorr,MZ,BROADBAND
127,0.9965145121857656,Autocorr,DZ,BROADBAND
128,0.9911145799589558,Autocorr,NT,BROADBAND
129,0.95226206546492,Crosscorr,MZ,BROADBAND
130,0.9711352158940204,Crosscorr,DZ,BROADBAND
131,0.9823174945570774,Crosscorr,NT,BROADBAND
