"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.85942338730634e-19,271,1885,1.80667195026013,"Cell-cell signaling "," http://amigo.geneontology.org/amigo/term/GO:0007267"," AP2B1  BAIAP3  NISCH  STAB1  TYROBP  GABRA3  SNAI2  CYP46A1  DTNBP1  DKK3  NNAT  PHPT1  RIMBP2  CDH3  SEZ6  CCN5  CBFB  FGFR3  ACSL4  MAOB  CDC42  SREBF1  PANX2  NLE1  CACNG4  GPC4  EDN1  OPHN1  SCGN  RFX3  CHRNA3  C1QTNF3  P2RX5  OXCT1  FAT1  PTHLH  DYNLL1  LTBP4  EFNB1  RAPGEF4  JPH4  PCSK5  PSMD8  EFNA2  SNAP29  MAPK1  PDGFB  DAAM1  SLC8A3  PSMA6  NTSR1  RSPO4  PDYN  GLRA2  SYTL4  CBLN1  SYT17  CALB1  LIN7B  SLC17A7  SLC1A6  CD33  GRIK5  PTN  STX1A  GLI3  PSMA2  SPIN1  KANK1  TNKS2  CCNY  RNF43  PPP1R9B  MPP2  EFNB3  CPE  FOLR1  PSMD9  SYT10  GLI1  HMGCR  DBN1  BCHE  HES1  CSPG5  RAB3GAP1  SLC1A4  MARK1  TNR  STXBP3  MAD2L2  KDM5B  SLC8A2  CNR1  MYB  VAMP8  PCDH17  GPR68  TEK  KCNJ5  ENY2  NPY  SLC12A4  NDP  SOX4  IL1B  PSMF1  PSMB2  PRKCG  YWHAH  SMO  CD68  KCNA5  APOE  NFATC1  PTPRA  CRB1  GRP  ANKRD6  SEMA4F  KCNMB4  RGS8  NIBAN2  PSMB7  CCN3  TLR2  FCHSD2  SULF1  YAP1  PLCB2  RBP4  FGF2  HADH  PPFIA2  CDH11  MINK1  TNFRSF11A  SIRT3  CAPN10  ILDR2  TMEM108  EPHA5  SNCA  SFRP2  GLRA3  PLK2  CRHBP  KCNMB1  LRRTM2  RSPO3  CASK  HTR2C  CHRNA6  GLUD1  HTR7  RGS10  SIDT2  CDH8  LYPD1  DLG2  SLC7A11  GABRA2  GRID2  TCF7L1  GJA1  FARP1  HHEX  GRM1  NR4A2  CACNA2D1  JPH3  TNIK  CXADR  APCDD1  KLF10  MOV10  GRIA1  FZD7  LRFN2  SST  SYN2  FZD1  ZDHHC12  UBE2Q1  CCR5  GRIN2C  SHANK1  SHANK2  WNT4  VANGL2  GABRB1  PRICKLE2  CCR1  GRIK3  NPY5R  GRIK2  FABP5  ABCA1  PTCHD1  VCP  DACT1  RAPSN  RAB8B  GABRB3  SCN3B  STXBP4  MESP1  SMAD3  PNOC  AXIN2  GRM5  RAB3B  RGS14  ADRB2  P2RY12  NLGN1  WNT10B  ITGAM  MYRIP  GABARAP  CDH2  GPR27  GRIK1  NPTX1  APLN  PRNP  C2CD2L  C1QA  JUP  FGFBP3  CNIH2  CTBP2  SMAD2  BAIAP2  BDNF  SOX11  FZD8  HTR1A  GPC5  SLC17A8  AKAP5  FZD2  OXTR  TSKU  GPC6  ZNRF3  TM2D3  NRG3  GABRA5  GNG2  PCLO  BCR  ERC2  WNT7B  FZD9  INSYN2A  RELN  SULF2  HRH1  DACT3  GRK6  CTR9  GRIN3A  GRM3  LGR4  CPLX3  PPM1N  NPTXR  LYN  CD24  GRIN2B"
1.04605029740793e-11,240,1835,1.64360153694096,"Positive regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010647"," TSPAN6  CFLAR  BAIAP3  RPS20  DCN  TYROBP  IGF1  MARCO  CD74  BIRC3  RRAGD  TIMP2  CYP46A1  DTNBP1  LMO3  NNAT  PHPT1  CDH3  FGFR3  ACSL4  CDC42  LMCD1  LIMS2  NLE1  CACNG4  EDN1  ADCYAP1R1  SCGN  C1QTNF3  P2RX5  OXCT1  RRAGB  FKBP1A  DYNLL1  OSBPL8  PSMD8  MAPK1  TIMP3  PDGFB  SLC8A3  PSMA6  DOK5  TRIB3  RSPO4  PIM2  MAPK3  NECAB2  PYCARD  CTSH  RIPK2  CALB1  BBC3  PTN  ZC3HAV1  CAV2  STX1A  PSMA2  SPIN1  KANK1  TNKS2  DHX58  MPP2  RAB34  CD81  PSMD9  GLI1  LY86  GHR  HMGCR  WWC1  HES1  ACVR2B  LOXL3  DOK1  IGFBP5  STK25  RAB3GAP1  TNR  NENF  SLC8A2  CNR1  MYB  CCN2  VAMP8  GPR68  TEK  MAPK8IP1  CAT  CXCR4  ACVR2A  SOX4  DOK4  IL1B  RPL23  PSMF1  PSMB2  HCST  PRKCG  RAC2  SMO  ARPP19  SLC44A2  APOE  TRIM22  GRP  PUM1  PDGFRA  HAVCR2  ANKRD6  CD63  AGAP2  TXN  PSMB7  CCN3  KIAA0319  TLR2  ARRB1  SULF1  YAP1  CASP1  RBP4  FGF2  BMP2K  LPAR6  NTRK3  CMTM3  MINK1  TNFRSF11A  ERBB2  VAV1  SIRT3  CAPN10  PARP1  TMEM108  SNCA  SFRP2  PDGFC  RPL37  PLK2  LRRTM2  RSPO3  DYNLT1  HTR2C  GLUD1  PDCD4  ANK3  GJA1  HHEX  ANGPT1  SH3RF1  RHOC  FZD7  IL34  ZDHHC12  SHC1  GRIN2C  SHANK1  RPL26  SHANK2  PEA15  CCR1  PRKCD  SHISA5  INTU  NPY5R  TLR3  GRIK2  FABP5  VCP  DACT1  RAPSN  SPRED1  RAB8B  DENND2B  MESP1  SMAD3  MAPRE2  PDIA3  TRIM68  KLK5  AXIN2  NPNT  RGS14  ADRB2  P2RY12  CRADD  GPR183  NLGN1  ROBO1  WNT10B  MYRIP  CDH2  GPR27  TRIM8  APLN  P2RY6  PRNP  C2CD2L  PARP14  JUP  FGFBP3  BTC  CTBP2  SCUBE2  SMAD2  BAIAP2  NUPR1  BDNF  SOX11  MAGED1  GPC5  AKAP5  OXTR  CSF1R  CCBE1  TNFAIP8L3  TM2D3  MAML2  FAM110C  CIB1  ARAP1  PRR5  WNT7B  FZD9  RELN  MAOA  HMGB1  SULF2  SLC30A10  PELI1  MAP3K5  SLC2A10  RASGEF1A  NOS1AP  LGR4  PPM1N  TNFSF12  LYN  CD24  GRIN2B"
1.08041888870216e-11,240,1842,1.63735549418385,"Positive regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023056"," TSPAN6  CFLAR  BAIAP3  RPS20  DCN  TYROBP  IGF1  MARCO  CD74  BIRC3  RRAGD  TIMP2  CYP46A1  DTNBP1  LMO3  NNAT  PHPT1  CDH3  FGFR3  ACSL4  CDC42  LMCD1  LIMS2  NLE1  CACNG4  EDN1  ADCYAP1R1  SCGN  C1QTNF3  P2RX5  OXCT1  RRAGB  FKBP1A  DYNLL1  OSBPL8  PSMD8  MAPK1  TIMP3  PDGFB  SLC8A3  PSMA6  DOK5  TRIB3  RSPO4  PIM2  MAPK3  NECAB2  PYCARD  CTSH  RIPK2  CALB1  BBC3  PTN  ZC3HAV1  CAV2  STX1A  PSMA2  SPIN1  KANK1  TNKS2  DHX58  MPP2  RAB34  CD81  PSMD9  GLI1  LY86  GHR  HMGCR  WWC1  HES1  ACVR2B  LOXL3  DOK1  IGFBP5  STK25  RAB3GAP1  TNR  NENF  SLC8A2  CNR1  MYB  CCN2  VAMP8  GPR68  TEK  MAPK8IP1  CAT  CXCR4  ACVR2A  SOX4  DOK4  IL1B  RPL23  PSMF1  PSMB2  HCST  PRKCG  RAC2  SMO  ARPP19  SLC44A2  APOE  TRIM22  GRP  PUM1  PDGFRA  HAVCR2  ANKRD6  CD63  AGAP2  TXN  PSMB7  CCN3  KIAA0319  TLR2  ARRB1  SULF1  YAP1  CASP1  RBP4  FGF2  BMP2K  LPAR6  NTRK3  CMTM3  MINK1  TNFRSF11A  ERBB2  VAV1  SIRT3  CAPN10  PARP1  TMEM108  SNCA  SFRP2  PDGFC  RPL37  PLK2  LRRTM2  RSPO3  DYNLT1  HTR2C  GLUD1  PDCD4  GJA1  HHEX  ANGPT1  SH3RF1  RHOC  FZD7  IL34  ZDHHC12  SHC1  GRIN2C  SHANK1  RPL26  SHANK2  PEA15  CCR1  PRKCD  SHISA5  INTU  NPY5R  TLR3  GRIK2  FABP5  VCP  DACT1  RAPSN  SPRED1  RAB8B  DENND2B  MESP1  SMAD3  MAPRE2  PDIA3  TRIM68  KLK5  AXIN2  NPNT  RGS14  ADRB2  P2RY12  CRADD  GPR183  NLGN1  ROBO1  WNT10B  MYRIP  CDH2  GPR27  TRIM8  APLN  P2RY6  PRNP  C2CD2L  PARP14  JUP  FGFBP3  BTC  CTBP2  SCUBE2  SMAD2  BAIAP2  NUPR1  BDNF  SOX11  MAGED1  GPC5  AKAP5  OXTR  CSF1R  ANXA2  CCBE1  TNFAIP8L3  TM2D3  MAML2  FAM110C  CIB1  ARAP1  PRR5  WNT7B  FZD9  RELN  MAOA  HMGB1  SULF2  SLC30A10  PELI1  MAP3K5  SLC2A10  RASGEF1A  NOS1AP  LGR4  PPM1N  TNFSF12  LYN  CD24  GRIN2B"
4.42526921614577e-11,244,1910,1.60537991306707,"Regulation of transport "," http://amigo.geneontology.org/amigo/term/GO:0051049"," WDR54  AP2B1  RALA  SCIN  BAIAP3  IGF1  CNTN1  CD74  KCNG1  RAB27B  GPM6B  DTNBP1  NEDD4L  PTGER3  NNAT  PHPT1  ATP2B4  CDH3  ATP2C2  ACSL4  MAOB  CLTCL1  CDC42  WDR1  SREBF1  DERL2  CACNG4  EDN1  ADCYAP1R1  SAR1A  OPHN1  RFX3  CHRNA3  C1QTNF3  P2RX5  OXCT1  RAB10  FKBP1A  DYNLL1  OSBPL8  RAPGEF4  CD200  JPH4  COMT  SH3GLB1  MAPK1  PPM1F  PDGFB  MLC1  PLTP  NTSR1  NKAIN4  TRIB3  MYOM1  SYTL4  CORO1A  MAPK3  NUTF2  NECAB2  PYCARD  SYT17  SLC17A7  PDCD5  BBC3  CD33  GRIK5  STX1A  GLI3  CREB3  SUFU  RGS9  WFS1  CD81  PSMD9  SYT10  CPSF6  RAB23  CLIC5  HMGCR  WWC1  CSPG5  RAB3GAP1  STXBP3  KDM5B  CNR1  MYB  VAMP8  NR4A3  GPR68  KCNJ5  ENY2  FABP3  HPCA  CXCR4  IL13RA2  ATP8A1  SOX4  AHNAK  IL1B  PRKCG  YWHAH  RAC2  SMO  ARPP19  KCNA5  APOE  APOC1  CHMP2A  LGALS3  RAN  ATP8A2  SFTPD  YWHAQ  GRP  APLNR  CD63  KCNMB4  EDNRB  LCP1  NMT1  SCN2A  SCN7A  TXN  CCN3  TLR2  ARRB1  FXYD6  PREB  RBP4  BMP2K  HADH  PPFIA2  STON2  SH3GL3  MINK1  TNFRSF11A  ERBB2  SIRT3  CAPN10  KCNN3  EPHA5  SNCA  CAMK2D  CRHBP  KCNMB1  LRRTM2  CASK  HTR2C  STOM  GLUD1  SIDT2  DLG2  SLC7A11  ANK3  GJA1  SCN3A  KCNJ16  PID1  CACNA2D1  NUS1  JPH3  ANGPT1  DBI  GRIA1  SHANK1  SHANK2  PEA15  CCR1  PRKCD  NPY5R  FABP5  YWHAZ  ABCA1  CYBB  RAB8B  SCN3B  STXBP4  YWHAB  SMAD3  STIM1  PKIG  GRM5  GSG1L  RAB3B  ADRB2  P2RY12  SCN9A  NLGN1  ITGAM  MYRIP  SLN  TMED10  CDH2  GPR27  PKIA  KCNG3  APLN  P2RY6  PRNP  C2CD2L  JUP  RBM4  CNIH2  DPP10  SOX11  CD151  HTR1A  AKAP5  OXTR  IDH2  KCNA4  ANXA2  MX2  ACTG1  SIVA1  CIB1  PTCH1  NKAIN3  GNG2  PCLO  NKAIN2  FZD9  RELN  HMGB1  CACNA1H  SLC30A10  PGAP1  ENPP1  SIRPA  UBL5  GRIN3A  UBE2J1  NOS1AP  DMD  TMSB4X  DYNLT2B  GSTM2  CPLX3  ANG  PIRT  YJEFN3  LYN  COA8  GRIN2B"
1.25188545015907e-10,130,836,1.95415244536117,"Localization within membrane "," http://amigo.geneontology.org/amigo/term/GO:0051668"," AP2B1  RALA  RPS20  CYP46A1  ATP2B4  ATP2C2  PPP2R5A  EXOC5  RPL31  CACNG4  GPC4  RAB10  SH3GLB1  TIMM13  PALM  PXMP4  NECAB2  LIN7B  PDCD5  BBC3  RPS19  GRIK5  PTN  STX1A  SEC61B  PPP1R9B  RAB34  CPE  CD81  RAB35  RPL24  RAB3GAP1  RAB32  VAMP8  DENND1A  SIL1  HPCA  RPS10  C16orf70  RPL23  ROMO1  YWHAH  APOE  RPL36  RAB11FIP4  RPL27  LGALS3  RAMP1  YWHAQ  TIMM10  NMT1  RPL35  RPS6  RPLP1  EXOC6  RPS24  ITGB7  VPS37B  SRP14  RAB40B  ERBB2  RPS8  RPL32  RPL37  STOM  FAU  DLG2  TIMM8B  RILPL2  SLC7A11  ANK3  ANKRD50  PID1  TNIK  MMP14  TSPAN33  ZDHHC12  RPL8  GRIN2C  RPL26  RPL29  GRIK2  YWHAZ  TTC8  TTC7B  RAPSN  RAB8B  SCN3B  DCHS1  RPL27A  YWHAB  VPS37C  RAB3B  NLGN1  ITGAM  CDH2  PRNP  RPL38  JUP  ZDHHC24  SH3PXD2B  CNIH2  ZDHHC14  PACS1  DPP10  VPS37D  ZDHHC22  RPS27  GPC5  MYADM  AKAP5  GET1  ANXA2  RPL35A  GPC6  CIB1  PTCH1  NHLRC1  RILPL1  FZD9  RELN  S100A10  RPL12  RPS4X  RPL10A  RPL39  DENND1C  RPL36A  YJEFN3  CD24"
1.32847608167837e-10,120,750,2.01067254685777,"Protein localization to membrane "," http://amigo.geneontology.org/amigo/term/GO:0072657"," AP2B1  RPS20  CYP46A1  ATP2B4  ATP2C2  PPP2R5A  EXOC5  RPL31  GPC4  RAB10  SH3GLB1  TIMM13  PALM  PXMP4  NECAB2  LIN7B  PDCD5  BBC3  RPS19  GRIK5  PTN  STX1A  SEC61B  PPP1R9B  RAB34  CPE  CD81  RPL24  RAB3GAP1  RAB32  VAMP8  SIL1  HPCA  RPS10  C16orf70  RPL23  ROMO1  YWHAH  APOE  RPL36  RPL27  LGALS3  RAMP1  YWHAQ  TIMM10  NMT1  RPL35  RPS6  RPLP1  RPS24  ITGB7  VPS37B  SRP14  RAB40B  ERBB2  RPS8  RPL32  RPL37  STOM  FAU  DLG2  TIMM8B  RILPL2  SLC7A11  ANK3  PID1  TNIK  MMP14  TSPAN33  ZDHHC12  RPL8  GRIN2C  RPL26  RPL29  GRIK2  YWHAZ  TTC8  TTC7B  RAPSN  RAB8B  SCN3B  DCHS1  RPL27A  YWHAB  VPS37C  RAB3B  NLGN1  ITGAM  CDH2  PRNP  RPL38  JUP  ZDHHC24  SH3PXD2B  ZDHHC14  PACS1  DPP10  VPS37D  ZDHHC22  RPS27  GPC5  MYADM  AKAP5  GET1  ANXA2  RPL35A  GPC6  CIB1  PTCH1  NHLRC1  RILPL1  FZD9  RELN  S100A10  RPL12  RPS4X  RPL10A  RPL39  RPL36A  CD24"
2.49138355732573e-10,122,776,1.97569306311733,"Trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099537"," BAIAP3  NISCH  TYROBP  GABRA3  CYP46A1  DTNBP1  RIMBP2  SEZ6  CACNG4  EDN1  OPHN1  SCGN  CHRNA3  P2RX5  JPH4  SNAP29  MAPK1  SLC8A3  NTSR1  PDYN  GLRA2  CBLN1  CALB1  LIN7B  SLC17A7  SLC1A6  GRIK5  PTN  STX1A  PPP1R9B  MPP2  EFNB3  SYT10  DBN1  BCHE  CSPG5  RAB3GAP1  SLC1A4  TNR  STXBP3  SLC8A2  CNR1  PCDH17  NPY  SLC12A4  IL1B  PRKCG  YWHAH  APOE  PTPRA  KCNMB4  FCHSD2  PPFIA2  CDH11  MINK1  TMEM108  SNCA  GLRA3  PLK2  CRHBP  KCNMB1  LRRTM2  CASK  HTR2C  CHRNA6  HTR7  CDH8  DLG2  SLC7A11  GABRA2  GRID2  FARP1  GRM1  JPH3  GRIA1  LRFN2  SST  SYN2  ZDHHC12  GRIN2C  SHANK1  SHANK2  GABRB1  GRIK3  NPY5R  GRIK2  FABP5  PTCHD1  RAPSN  GABRB3  PNOC  GRM5  RAB3B  RGS14  ADRB2  NLGN1  GABARAP  CDH2  GRIK1  NPTX1  PRNP  CNIH2  CTBP2  BAIAP2  BDNF  HTR1A  SLC17A8  AKAP5  OXTR  NRG3  GABRA5  PCLO  BCR  ERC2  INSYN2A  RELN  HRH1  GRIN3A  GRM3  CPLX3  NPTXR  GRIN2B"
4.33028629134372e-10,120,767,1.96610744477618,"Chemical synaptic transmission "," http://amigo.geneontology.org/amigo/term/GO:0007268"," BAIAP3  NISCH  TYROBP  GABRA3  CYP46A1  DTNBP1  RIMBP2  SEZ6  CACNG4  EDN1  OPHN1  SCGN  CHRNA3  P2RX5  JPH4  SNAP29  MAPK1  SLC8A3  NTSR1  PDYN  GLRA2  CBLN1  CALB1  LIN7B  SLC17A7  SLC1A6  GRIK5  PTN  STX1A  PPP1R9B  MPP2  EFNB3  SYT10  DBN1  BCHE  CSPG5  RAB3GAP1  SLC1A4  TNR  STXBP3  SLC8A2  CNR1  PCDH17  NPY  SLC12A4  IL1B  PRKCG  YWHAH  APOE  PTPRA  KCNMB4  FCHSD2  PPFIA2  CDH11  MINK1  TMEM108  SNCA  GLRA3  PLK2  CRHBP  KCNMB1  LRRTM2  CASK  HTR2C  CHRNA6  HTR7  CDH8  DLG2  SLC7A11  GABRA2  GRID2  GRM1  JPH3  GRIA1  LRFN2  SST  SYN2  ZDHHC12  GRIN2C  SHANK1  SHANK2  GABRB1  GRIK3  NPY5R  GRIK2  PTCHD1  RAPSN  GABRB3  PNOC  GRM5  RAB3B  RGS14  ADRB2  NLGN1  GABARAP  CDH2  GRIK1  NPTX1  PRNP  CNIH2  CTBP2  BAIAP2  BDNF  HTR1A  SLC17A8  AKAP5  OXTR  NRG3  GABRA5  PCLO  BCR  ERC2  INSYN2A  RELN  HRH1  GRIN3A  GRM3  CPLX3  NPTXR  GRIN2B"
4.33028629134372e-10,120,767,1.96610744477618,"Anterograde trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0098916"," BAIAP3  NISCH  TYROBP  GABRA3  CYP46A1  DTNBP1  RIMBP2  SEZ6  CACNG4  EDN1  OPHN1  SCGN  CHRNA3  P2RX5  JPH4  SNAP29  MAPK1  SLC8A3  NTSR1  PDYN  GLRA2  CBLN1  CALB1  LIN7B  SLC17A7  SLC1A6  GRIK5  PTN  STX1A  PPP1R9B  MPP2  EFNB3  SYT10  DBN1  BCHE  CSPG5  RAB3GAP1  SLC1A4  TNR  STXBP3  SLC8A2  CNR1  PCDH17  NPY  SLC12A4  IL1B  PRKCG  YWHAH  APOE  PTPRA  KCNMB4  FCHSD2  PPFIA2  CDH11  MINK1  TMEM108  SNCA  GLRA3  PLK2  CRHBP  KCNMB1  LRRTM2  CASK  HTR2C  CHRNA6  HTR7  CDH8  DLG2  SLC7A11  GABRA2  GRID2  GRM1  JPH3  GRIA1  LRFN2  SST  SYN2  ZDHHC12  GRIN2C  SHANK1  SHANK2  GABRB1  GRIK3  NPY5R  GRIK2  PTCHD1  RAPSN  GABRB3  PNOC  GRM5  RAB3B  RGS14  ADRB2  NLGN1  GABARAP  CDH2  GRIK1  NPTX1  PRNP  CNIH2  CTBP2  BAIAP2  BDNF  HTR1A  SLC17A8  AKAP5  OXTR  NRG3  GABRA5  PCLO  BCR  ERC2  INSYN2A  RELN  HRH1  GRIN3A  GRM3  CPLX3  NPTXR  GRIN2B"
5.21798120430586e-10,125,815,1.92740849967194,"Synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099536"," BAIAP3  NISCH  TYROBP  GABRA3  CYP46A1  DTNBP1  RIMBP2  SEZ6  CACNG4  EDN1  OPHN1  SCGN  CHRNA3  P2RX5  JPH4  SNAP29  MAPK1  SLC8A3  NTSR1  PDYN  GLRA2  CBLN1  CALB1  LIN7B  SLC17A7  SLC1A6  GRIK5  PTN  STX1A  PPP1R9B  MPP2  EFNB3  SYT10  DBN1  BCHE  CSPG5  RAB3GAP1  SLC1A4  TNR  STXBP3  SLC8A2  CNR1  PCDH17  NPY  SLC12A4  IL1B  PRKCG  YWHAH  APOE  PTPRA  KCNMB4  RGS8  FCHSD2  PPFIA2  CDH11  MINK1  TMEM108  SNCA  GLRA3  PLK2  CRHBP  KCNMB1  LRRTM2  CASK  HTR2C  CHRNA6  HTR7  RGS10  CDH8  LYPD1  DLG2  SLC7A11  GABRA2  GRID2  FARP1  GRM1  JPH3  GRIA1  LRFN2  SST  SYN2  ZDHHC12  GRIN2C  SHANK1  SHANK2  GABRB1  GRIK3  NPY5R  GRIK2  FABP5  PTCHD1  RAPSN  GABRB3  PNOC  GRM5  RAB3B  RGS14  ADRB2  NLGN1  GABARAP  CDH2  GRIK1  NPTX1  PRNP  CNIH2  CTBP2  BAIAP2  BDNF  HTR1A  SLC17A8  AKAP5  OXTR  NRG3  GABRA5  PCLO  BCR  ERC2  INSYN2A  RELN  HRH1  GRIN3A  GRM3  CPLX3  NPTXR  GRIN2B"
