"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.40646659025828e-08,130,909,1.84293613080924,"Inorganic ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098660"," NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  SLC4A8  ATG5  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  HCN2  APOL1  FMR1  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  GABRA4  STIM2  GLRB  SLC6A12  KCNA1  SLC4A9  GABRG2  FGF12  KLHL24  KCNIP3  SLC25A12  KCNC4  AKAP7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  KCNC1  FGF13  DPP6  CACNG6  SLC6A6  KCNC3  SNAP25  ATP1A4  SLC9A5  CAB39  SLC31A1  ATP6V1G1  SLC5A6  COX17  TRPC3  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  ATP1B1  XPR1  KCNH1  SLC20A1  SCN1A  GABRB2  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ITPR1  AKAP6  ANKH  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  COX7A1  LRRC38  ATP1A1  CCDC51  C4orf3  HCN1  SLC39A13  CUL5  CACNG2  SLC20A2  SLC33A1  KCNAB3  KCNS3  KCND3  ANO5  OXSR1  GLRX  KCNH6  ATP2A2  UCP3  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  GABRD  SCN8A  ANXA6  RYR2  ATP6V1E2"
9.49283945738768e-08,136,986,1.77743123915713,"Cation transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098655"," NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  CAPN1  SLC4A8  ATG5  RASGRF1  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  SLC7A8  HCN2  P2RX6  FMR1  SLC25A15  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  STIM2  PPARGC1A  SLC6A12  KCNA1  SLC4A9  FGF12  PEX5L  KLHL24  KCNIP3  SLC25A12  KCNC4  SLC19A2  AKAP7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  KCNC1  FGF13  DPP6  CACNG6  SLC6A6  KCNC3  SNAP25  ATP1A4  EPHB2  ATP13A3  SLC9A5  SLC19A3  CAB39  SLC31A1  ATP6V1G1  COX17  TRPC3  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  SLC47A1  ATP1B1  KCNH1  SLC20A1  SCN1A  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ITPR1  AKAP6  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  COX7A1  LRRC38  ATP1A1  CCDC51  C4orf3  SFXN1  HCN1  SLC39A13  CUL5  CACNG2  SLC20A2  SLC33A1  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  KCNH6  ATP2A2  UCP3  SLC38A9  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  SCN8A  ANXA6  ARC  RYR2  ATP6V1E2  NEFL"
1.26603755375514e-07,161,1251,1.6584385402927,"Ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0034220"," NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  CAPN1  BAK1  GOPC  SLC4A8  ATG5  RASGRF1  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  SLC17A6  SLC7A8  HCN2  P2RX6  APOL1  SLC25A17  FMR1  SLC25A15  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  GABRA4  STIM2  GLRB  PPARGC1A  SLC6A12  KCNA1  SLC4A9  GABRG2  FGF12  PEX5L  KLHL24  KCNIP3  SLC25A12  KCNC4  SLC19A2  AKAP7  SLC16A7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  KCNC1  FGF13  DPP6  CACNG6  SLC6A6  KCNC3  SNAP25  ATP1A4  EPHB2  ATP13A3  SLC9A5  SLC19A3  CAB39  SLC31A1  ATP6V1G1  MYC  SLC5A6  SLC3A1  COX17  TRPC3  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  SLC47A1  ATP1B1  XPR1  KCNH1  ATP8B2  SLC20A1  SCN1A  GABRB2  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ITPR1  AKAP6  ANKH  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  TSC22D3  KCNB1  COX7A1  LRRC38  ATP1A1  CCDC51  C4orf3  SFXN1  HCN1  SLC25A32  SLC39A13  CUL5  CACNG2  SLC20A2  SLC33A1  KCNAB3  EMB  KCNS3  KCND3  LRRC8C  ANO5  OXSR1  GLRX  KCNH6  ATP2A2  UCP3  SLC38A9  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  GRID1  GJC1  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  GABRD  SCN8A  ANXA6  ARC  RYR2  ATP10A  ATP6V1E2  NEFL"
1.26603755375514e-07,211,1764,1.54139764064661,"Transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0055085"," NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SEC62  SLC6A13  SLC6A7  CAPN1  BAK1  ABCF2  GOPC  SLC4A8  OPN3  ATG5  RASGRF1  SPHK2  ABCA7  CACNB1  ATP2B3  PSME4  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  SLC25A40  ADD1  TESC  SLC9A1  MCOLN1  SLC17A6  SLC7A8  SORBS1  HCN2  P2RX6  APOL1  SLC25A17  SLCO4A1  FMR1  SLC25A15  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  SLC16A6  GABRA4  STIM2  GLRB  PPARGC1A  CPT1A  SLC6A12  KCNA1  SLC38A1  PPARD  SLC29A1  SLC4A9  GABRG2  SLC25A36  FGF12  PEX5L  KLHL24  KCNIP3  SLC25A12  KCNC4  SLC19A2  AKAP7  SLC16A7  PKD2  RHOQ  CNNM1  KCNJ8  SV2C  SLC36A1  KCNS1  SLC12A5  PEX6  RTN2  KCNC1  FGF13  TOMM40  DPP6  CACNG6  ABCB7  SLC6A6  KCNC3  SNAP25  ATP1A4  EPHB2  ATP13A3  SORT1  SLC38A2  SLC9A5  SLC19A3  CAB39  MFSD9  SLC31A1  ATP6V1G1  MYC  PIM1  SLC5A6  SLC3A1  COX17  TRPC3  SLC39A8  SLC15A4  SLC46A3  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  SLC47A1  ATP1B1  XPR1  KCNH1  ATP8B2  SLC20A1  SCN1A  GABRB2  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ABCB9  ITPR1  AKAP6  ANKH  ABCA9  ABCA6  SLC24A2  KCNS2  AIFM1  ATP2B2  STEAP2  CACNA2D3  APPL1  TSC22D3  BRAF  KCNB1  TOMM40L  COX7A1  SLC45A1  LRRC38  SLC16A14  ATP1A1  CHCHD4  PSMD6  CCDC51  C4orf3  GRPEL2  SFXN1  HCN1  SLC25A32  SLC39A13  CUL5  PRKCB  CACNG2  SLC20A2  IRS1  SLC33A1  SLC38A11  KCNAB3  EMB  KCNS3  KCND3  LRRC8C  ANO5  ABCG4  OXSR1  ABCD2  GLRX  KCNH6  ATP2A2  SLC29A2  UCP3  SLC35A4  SLC38A9  SCN4B  KCNA3  KCNA2  AQP11  SLC35C1  KCNJ14  CACNB4  GRID1  GJC1  SPNS2  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  GABRD  SCN8A  ANXA6  PSMD12  ARC  RYR2  ATP10A  ATP6V1E2  NEFL"
1.26603755375514e-07,120,843,1.83435964183476,"Inorganic cation transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098662"," NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  SLC4A8  ATG5  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  HCN2  FMR1  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  STIM2  SLC6A12  KCNA1  SLC4A9  FGF12  KLHL24  KCNIP3  SLC25A12  KCNC4  AKAP7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  KCNC1  FGF13  DPP6  CACNG6  SLC6A6  KCNC3  SNAP25  ATP1A4  SLC9A5  CAB39  SLC31A1  ATP6V1G1  COX17  TRPC3  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  ATP1B1  KCNH1  SLC20A1  SCN1A  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CNNM2  SCN2B  ITPR1  AKAP6  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  COX7A1  LRRC38  ATP1A1  CCDC51  C4orf3  HCN1  SLC39A13  CUL5  CACNG2  SLC20A2  SLC33A1  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  KCNH6  ATP2A2  UCP3  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  KCNK12  KCNQ5  SESTD1  KCNJ11  SCN8A  ANXA6  RYR2  ATP6V1E2"
4.12001253064803e-07,132,984,1.72866026003392,"Metal ion transport "," http://amigo.geneontology.org/amigo/term/GO:0030001"," NIPAL3  HECW1  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  BAK1  SLC4A8  ATG5  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  TESC  SLC9A1  MCOLN1  SLC17A6  HCN2  FMR1  MAGED2  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  STIM2  SLC6A12  KCNA1  CDKN1B  SLC38A1  SLC4A9  FGF12  KLHL24  KCNIP3  SLC25A12  KCNC4  AKAP7  PKD2  KCNJ8  KCNS1  SLC12A5  ATF4  KCNC1  FGF13  DPP6  CACNG6  ABCB7  SLC6A6  KCNC3  SNAP25  ATP1A4  SLC38A2  SLC9A5  CAB39  SLC31A1  ATP6V1G1  SLC5A6  COX17  TRPC3  PPP3CA  SLC39A8  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  ATP1B1  KCNH1  SLC20A1  SCN1A  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CAMK2G  CNNM2  SCN2B  ITPR1  AKAP6  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  EPB41  SPTBN4  LRRC38  ATP1A1  ADORA1  CCDC51  C4orf3  HCN1  LMTK2  SLC39A13  CUL5  PRKCB  CACNG2  SLC20A2  SLC38A11  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  KCNH6  REP15  ATP2A2  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  KCNK12  RAB11B  KCNQ5  SESTD1  KCNJ11  SCN8A  ANXA6  RYR2  ATP6V1E2"
7.17639541135803e-07,161,1286,1.61330218810744,"Cation transport "," http://amigo.geneontology.org/amigo/term/GO:0006812"," NIPAL3  HECW1  SLC25A5  ABCC8  CACNA2D2  PKD1  SLC6A13  SLC6A7  CAPN1  BAK1  SLC4A8  ATG5  RASGRF1  SPHK2  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  SLC17A6  SLC7A8  HCN2  P2RX6  SLC25A17  FMR1  MAGED2  SLC25A15  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  KCNT1  STIM2  PPARGC1A  SLC6A12  KCNA1  CDKN1B  SLC38A1  SLC4A9  FGF12  PEX5L  KLHL24  KCNIP3  SLC25A12  KCNC4  SLC19A2  AKAP7  PKD2  KCNJ8  SLC36A1  KCNS1  SLC12A5  ATF4  KCNC1  FGF13  DPP6  CACNG6  ABCB7  SLC6A6  KCNC3  SNAP25  ATP1A4  EPHB2  ATP13A3  SLC38A2  SLC9A5  SLC19A3  CAB39  SLC31A1  ATP6V1G1  SLC5A6  COX17  TRPC3  PPP3CA  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  SLC47A1  ATP1B1  KCNH1  SYT2  SLC20A1  SCN1A  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CAMK2G  CNNM2  SCN2B  ITPR1  AKAP6  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  KCNB1  EPB41  SPTBN4  COX7A1  LRRC38  ATP1A1  ADORA1  CCDC51  C4orf3  SFXN1  HCN1  LMTK2  SLC39A13  CUL5  PRKCB  CACNG2  SLC20A2  SLC33A1  SLC38A11  KCNAB3  KCNS3  KCND3  OXSR1  GLRX  SYT12  KCNH6  REP15  ATP2A2  UCP3  SLC38A9  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  SLC8A1  GAS6  GRIN2A  SLC35F3  KCNK12  RAB11B  KCNQ5  SESTD1  KCNJ11  SCN8A  ANXA6  ARC  RYR2  SYT15  SYT3  ATP6V1E2  NEFL"
2.39619577375974e-06,49,255,2.47620567729636,"Potassium ion transport "," http://amigo.geneontology.org/amigo/term/GO:0006813"," ABCC8  ATP1B3  TMEM38A  SLC9A1  HCN2  KCNN4  ATP1A3  ATP4A  KCNT1  KCNA1  CDKN1B  KLHL24  KCNIP3  KCNC4  AKAP7  PKD2  KCNJ8  KCNS1  SLC12A5  ATF4  KCNC1  DPP6  KCNC3  SNAP25  ATP1A4  SLC9A5  CAB39  ATP1B1  KCNH1  AKAP6  SLC24A2  KCNS2  KCNB1  LRRC38  ATP1A1  ADORA1  CCDC51  HCN1  KCNAB3  KCNS3  KCND3  OXSR1  KCNH6  KCNA3  KCNA2  KCNJ14  KCNK12  KCNQ5  KCNJ11"
2.39619577375974e-06,46,231,2.56611826086105,"Potassium ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0071805"," ABCC8  ATP1B3  TMEM38A  SLC9A1  HCN2  KCNN4  ATP1A3  ATP4A  KCNT1  KCNA1  KLHL24  KCNIP3  KCNC4  AKAP7  PKD2  KCNJ8  KCNS1  SLC12A5  KCNC1  DPP6  KCNC3  SNAP25  ATP1A4  SLC9A5  CAB39  ATP1B1  KCNH1  AKAP6  SLC24A2  KCNS2  KCNB1  LRRC38  ATP1A1  CCDC51  HCN1  KCNAB3  KCNS3  KCND3  OXSR1  KCNH6  KCNA3  KCNA2  KCNJ14  KCNK12  KCNQ5  KCNJ11"
3.32639568334093e-06,199,1720,1.49092379086858,"Ion transport "," http://amigo.geneontology.org/amigo/term/GO:0006811"," NIPAL3  HECW1  SLC25A5  ABCC8  NOS2  CACNA2D2  PKD1  SLC6A13  SLC6A7  CAPN1  BAK1  GOPC  SLC4A8  ATG5  RASGRF1  SPHK2  CYB5R4  CACNB1  ATP2B3  ATP1B3  GNB5  ATP2B1  TMEM38A  CLCN4  TESC  SLC9A1  MCOLN1  SLC17A6  SLC7A8  HCN2  P2RX6  APOL1  SLC25A17  SLCO4A1  FMR1  MAGED2  SLC25A15  NIPAL2  SLC39A14  KCNN4  ATP1A3  CACNG7  ATP4A  SCN1B  PLEKHA8  KCNT1  SLC16A6  GABRA4  STIM2  GLRB  PPARGC1A  SLC6A12  KCNA1  CDKN1B  SLC38A1  SLC4A9  GABRG2  FGF12  PEX5L  KLHL24  KCNIP3  SLC25A12  KCNC4  SLC19A2  AKAP7  SLC16A7  PKD2  CNNM1  KCNJ8  GIPC1  SLC36A1  KCNS1  SLC12A5  PLA2G5  ATF4  KCNC1  FGF13  TOMM40  DPP6  CACNG6  ABCB7  SLC6A6  KCNC3  SNAP25  ATP1A4  EPHB2  ATP13A3  SLC38A2  SLC9A5  SLC19A3  CAB39  STXBP1  SLC31A1  ATP6V1G1  MYC  SLC5A6  SLC3A1  COX17  TRPC3  PPP3CA  SLC39A8  SLC15A4  AFG3L2  STAC2  CACNA1A  TRPM2  CACNG8  SLC47A1  ATP1B1  XPR1  KCNH1  ATP8B2  SYT2  SLC20A1  SCN1A  GABRB2  SHROOM2  ATP6V1B2  SLC25A37  SLC25A25  CAMK2G  CNNM2  SCN2B  ITPR1  AKAP6  PLA2R1  ANKH  SLC24A2  KCNS2  ATP2B2  STEAP2  CACNA2D3  TSC22D3  KCNB1  TOMM40L  EPB41  ACE  SPTBN4  COX7A1  LRRC38  SLC16A14  ATP1A1  ADORA1  CCDC51  C4orf3  SFXN1  HCN1  LMTK2  SLC25A32  SLC39A13  CUL5  PRKCB  CACNG2  SLC20A2  CA7  SLC33A1  SLC38A11  KCNAB3  EMB  KCNS3  KCND3  LRRC8C  ANO5  STARD5  OXSR1  GLRX  SYT12  KCNH6  REP15  ATP2A2  UCP3  SLC38A9  SCN4B  KCNA3  KCNA2  KCNJ14  CACNB4  GRID1  GJC1  SLC8A1  GAS6  GRIN2A  SLC35F3  KCNK12  CA13  RAB11B  KCNQ5  SESTD1  KCNJ11  GABRD  SCN8A  ANXA6  ARC  RYR2  SYT15  ATP10A  SYT3  ATP6V1E2  NEFL"
