gene,EntrezID,p_value,loading
NEURL1B,54492,0.001,-0.823360741138458
GRP,2922,0.002,-0.781178116798401
CHRNA3,1136,0.001,-0.766005039215088
FRMD3,257019,0.001,-0.75843870639801
TBC1D26,353149,0.001,-0.757227540016174
XKR4,114786,0.002,-0.752829909324646
DHDH,27294,0.001,-0.749871134757996
PRKG1,5592,0.001,-0.747485160827637
SLC27A2,11001,0.002,-0.741848170757294
CXADR,1525,0.001,-0.737275004386902
RYR3,6263,0.001,-0.737022638320923
ECHDC3,79746,0.003,-0.735880196094513
PBX4,80714,0.002,-0.734553158283234
PLPPR4,0,0.002,-0.73354160785675
TENM3,0,0.001,-0.731038272380829
TKFC,0,0.002,-0.726977646350861
TTC23L,153657,0,-0.726251780986786
LRRC56,115399,0.002,-0.726189970970154
WNT4,54361,0.001,-0.725906848907471
C8orf34,116328,0.001,-0.724595725536346
PAFAH1B3,5050,0.002,-0.722568511962891
KCNG1,3755,0.002,-0.722131848335266
CCDC71L,0,0.001,-0.720648586750031
ST20,400410,0.002,-0.720476448535919
SERTM1,0,0.009,-0.719595849514008
NUPR2,0,0.001,-0.719102025032043
NDN,4692,0.003,-0.718760371208191
SREK1IP1,285672,0.002,-0.71861720085144
RGS22,26166,0.001,-0.718016028404236
ANKRD19P,138649,0.001,-0.717808425426483
PPM1M,132160,0.002,-0.717630326747894
TOX3,27324,0.003,-0.715949475765228
TCTN1,79600,0.001,-0.715829133987427
SST,6750,0.01,-0.715371370315552
CXADRP3,440224,0.002,-0.713687717914581
IL13RA2,3598,0.004,-0.713003993034363
COCH,1690,0.002,-0.712467908859253
DLL3,10683,0.003,-0.712465286254883
ACVR2A,92,0.002,-0.712127983570099
LRRTM1,347730,0.005,-0.712032556533813
PTPRR,5801,0.002,-0.710194885730743
DIRAS3,9077,0.001,-0.709683001041412
SLC16A2,6567,0.002,-0.709486842155457
PTPRA,5786,0.003,-0.709092259407043
NNAT,4826,0.002,-0.708828747272491
SLC29A4,222962,0.002,-0.708828151226044
PGAP1,80055,0.001,-0.708295464515686
CPLX3,594855,0.002,-0.708141803741455
