gene,EntrezID,p_value,loading
C6orf47,57827,0.224,0.339277267456055
ZFAT,57623,0.122,0.339550971984863
MAPK13,5603,0.051,0.340240389108658
FGF13,2258,0.417,0.340803116559982
WNT6,7475,0.242,0.340925246477127
POMT2,29954,0.174,0.340972006320953
FAM160B2,64760,0.066,0.341061472892761
POU2F2,5452,0.358,0.341315478086472
DDX1,1653,0.152,0.341866195201874
NEK1,4750,0.205,0.342092305421829
VSIG10,0,0.122,0.342172652482986
BTN3A3,10384,0.131,0.34225195646286
RPEL1,0,0.131,0.342395395040512
RAB40A,142684,0.333,0.342438787221909
ABHD17B,0,0.201,0.342509210109711
IDH3B,3420,0.122,0.342516899108887
SLC6A13,6540,0.152,0.34253603219986
KCND3,3752,0.394,0.34267595410347
TUBG2,27175,0.137,0.342729866504669
MRPL4,51073,0.19,0.342796742916107
TAS2R10,50839,0.127,0.342802047729492
TMEM145,284339,0.28,0.342953056097031
EDEM1,9695,0.376,0.343049973249435
NLRX1,79671,0.068,0.343064308166504
BAAT,570,0.243,0.343092799186707
ZNF653,115950,0.046,0.343286216259003
RALGAPB,0,0.222,0.343440800905228
MCOLN1,57192,0.105,0.343662023544312
LOC100294145,0,0.177,0.343833893537521
UCK2,7371,0.088,0.343872725963593
DEF6,50619,0.071,0.343932926654816
ASGR2,433,0.242,0.343988627195358
EMILIN2,84034,0.105,0.344029366970062
LOC105378663,0,0.165,0.344066023826599
BCL7B,9275,0.014,0.344237476587296
FOXP2,93986,0.202,0.344566345214844
ENPP6,133121,0.21,0.344592839479446
ABTB2,25841,0.136,0.34462434053421
MECOM,0,0.074,0.344633728265762
GUSBP4,0,0.348,0.344822257757187
NAAA,27163,0.247,0.344921737909317
SPSB1,80176,0.144,0.345061779022217
CSDC2,27254,0.188,0.345071136951447
LRRK2,120892,0.381,0.345106482505798
GPR4,2828,0.091,0.345115154981613
PCCA,5095,0.141,0.345351457595825
LOC100506476,0,0.381,0.34564134478569
IPO7,10527,0.27,0.345755457878113
TRIM32,22954,0.048,0.345877438783646
BOLA3-AS1,0,0.155,0.346097141504288
LOC105370333,0,0.151,0.346109867095947
GIMAP6,474344,0.033,0.346138656139374
ARL4D,379,0.185,0.346177935600281
DOT1L,84444,0.385,0.346212297677994
RABEP2,79874,0.112,0.346328109502792
TADA2A,0,0.045,0.346389174461365
RALGAPA1,0,0.082,0.346509546041489
NEAT1,283131,0.078,0.346755176782608
GPR85,54329,0.152,0.346912831068039
ST3GAL5,8869,0.295,0.346951842308044
TARS,6897,0.152,0.347076147794724
TEKT4,150483,0.114,0.347274899482727
MRPL35,51318,0.273,0.347285568714142
CNDP1,84735,0.054,0.347318142652512
DPP7,29952,0.09,0.347318530082703
UTP15,84135,0.03,0.347546964883804
HERC3,8916,0.437,0.34760320186615
TMCC1,23023,0.363,0.347608864307404
CDT1,81620,0.228,0.34785008430481
IL6R,3570,0.157,0.347874045372009
H1F0,3005,0.286,0.347881376743317
GNB5,10681,0.069,0.347923874855042
SHMT1,6470,0.129,0.348116278648376
FAP,2191,0.117,0.348126262426376
AEBP2,121536,0.15,0.34821093082428
GK3P,2713,0.099,0.348505914211273
PNPO,55163,0.139,0.348596006631851
TAF5,6877,0.012,0.348794221878052
MXI1,4601,0.335,0.348911434412003
FGF12,2257,0.061,0.348997950553894
OXR1,55074,0.045,0.349049389362335
MRPL58,0,0.025,0.3492451608181
ZNF415,55786,0.165,0.349456012248993
C7orf57,136288,0.349,0.349561333656311
NIFK-AS1,0,0.164,0.349721550941467
PRH2,5555,0.063,0.349924683570862
POU6F2,11281,0.041,0.350264519453049
GMPR,2766,0.142,0.350394725799561
MIR124-2HG,0,0.344,0.350400388240814
ATXN7L3,56970,0.109,0.350416392087936
ART3,419,0.004,0.350702673196793
OR2AK2,391191,0.252,0.350867062807083
LCP2,3937,0.282,0.350889205932617
TPP2,7174,0.116,0.351008772850037
DNAAF2,0,0.375,0.351463794708252
LOC100287497,0,0.24,0.351779669523239
SEPHS2,22928,0.428,0.351781249046326
NHLRC2,374354,0.299,0.351948231458664
IL6ST,3572,0.129,0.352003067731857
SLC46A3,283537,0.237,0.35211044549942
MAP10,0,0.022,0.352312743663788
PEG3-AS1,0,0.031,0.352450668811798
ZNF785,146540,0.362,0.352571338415146
CMC2,56942,0.104,0.352605849504471
MAPK6,5597,0.191,0.35272541642189
JAM2,58494,0.06,0.353018134832382
MORF4L1,10933,0.224,0.353031754493713
GEMIN7,79760,0.028,0.35316988825798
MYO5B,4645,0.202,0.353201001882553
FITM2,128486,0.227,0.353216588497162
BCL11A,53335,0.381,0.353247374296188
SLC45A1,50651,0.333,0.35328420996666
TAP2,6891,0.221,0.353572160005569
NDUFA12,55967,0.227,0.353622615337372
KIZ,0,0.156,0.353677093982697
ASAH2,56624,0.375,0.353748679161072
RCC1L,0,0.388,0.353796750307083
DTX3,196403,0.11,0.353817641735077
SRRM3,0,0.067,0.353852033615112
FBXO42,54455,0.181,0.353894591331482
NOSTRIN,115677,0.03,0.354041635990143
ARIH2,10425,0.118,0.354113072156906
RGPD3,0,0.321,0.354507595300674
MAP2K3,5606,0.097,0.354817271232605
ZBED5,58486,0.102,0.354835212230682
ATPAF2,91647,0.113,0.354871392250061
NCK2,8440,0.062,0.354890167713165
VEGFA,7422,0.163,0.354977190494537
ZNF333,84449,0.331,0.355289399623871
PPP3CC,5533,0.091,0.355564892292023
UBAC1,10422,0.083,0.355906069278717
ECSIT,51295,0.035,0.355925679206848
AATF,26574,0.155,0.356038689613342
SECISBP2,79048,0.427,0.356087565422058
TTLL12,23170,0.1,0.356106638908386
COL5A1,1289,0.373,0.356182068586349
KIF25,3834,0.009,0.356265515089035
SNX12,29934,0.02,0.356284022331238
DPY19L2P1,0,0.318,0.356312125921249
MAP2K7,5609,0.291,0.356332063674927
CSAG1,158511,0.136,0.356387913227081
TAS2R14,50840,0.299,0.356436848640442
HSPBAP1,79663,0.383,0.356560170650482
ERP44,23071,0.264,0.356578022241592
LOC100128239,0,0.268,0.356660485267639
CTSA,5476,0.111,0.356803596019745
DLGAP1,9229,0.309,0.35711944103241
NDEL1,81565,0.091,0.357143491506577
CEMIP,0,0.048,0.357551693916321
TMEM132E,124842,0.38,0.357768476009369
KIF1C,10749,0.031,0.357987582683563
ADGRA2,0,0.034,0.358902394771576
GRIP2,80852,0.039,0.358922064304352
ZNF317,57693,0.15,0.359049946069717
SLC35G5,0,0.069,0.359326362609863
TMF1,7110,0.096,0.359370529651642
ARHGAP27,0,0.072,0.359400123357773
FUNDC1,139341,0.074,0.359439969062805
PPP1R3D,5509,0.198,0.359901368618011
KEAP1,9817,0.097,0.359968245029449
CHEK2P2,646096,0.03,0.360143274068832
ITPKC,80271,0.386,0.360206067562103
ABCB9,23457,0.027,0.360253810882568
DENND6A,0,0.21,0.360333293676376
DDX11,1663,0.146,0.360358506441116
PPM1B,5495,0.034,0.360476702451706
KIF21A,55605,0.065,0.360735774040222
HACL1,26061,0.105,0.361032515764236
CHN1,1123,0.003,0.361080139875412
RAB7B,338382,0.016,0.361096441745758
FAM35BP,0,0.32,0.361121535301208
04-Sep,0,0.096,0.361339747905731
ZNF436-AS1,0,0.007,0.361344158649445
LEF1,51176,0.051,0.361703276634216
TP53INP2,58476,0.044,0.361814320087433
PCDHB11,56125,0.095,0.361935704946518
JARID2,3720,0.114,0.362135171890259
ZNF491,126069,0.336,0.362212955951691
MYLK2,85366,0.082,0.362285315990448
FLT1,2321,0.073,0.362377673387527
LRRC8C,84230,0.154,0.362379014492035
LPAR2,9170,0.073,0.362426578998566
PALB2,79728,0.07,0.362430602312088
SNRNP25,79622,0.202,0.362609714269638
SLC36A1,206358,0.113,0.362637102603912
MFN2,9927,0.144,0.362680286169052
CDH12,1010,0.352,0.362751036882401
KCNN4,3783,0.096,0.362860649824142
SAR1B,51128,0.111,0.362913876771927
HARBI1,283254,0.066,0.363005816936493
RBAK,57786,0.17,0.36310800909996
LANCL1,10314,0.096,0.363121688365936
RNFT2,84900,0.069,0.363285660743713
CEP192,55125,0.134,0.363317459821701
SLC38A9,153129,0.255,0.363749086856842
LRRTM3,347731,0.139,0.364440828561783
SESTD1,91404,0.036,0.364555537700653
ACSL3,2181,0.012,0.364577889442444
SLAMF8,56833,0.016,0.36458346247673
RNF214,257160,0.019,0.364767849445343
MLXIP,22877,0.296,0.364922285079956
EHMT1,79813,0.108,0.365194797515869
MIB2,142678,0.256,0.365347266197205
MSRB3,253827,0.176,0.365489721298218
KHDC1L,0,0.188,0.365606009960175
CPT1A,1374,0.21,0.36570879817009
TAF2,6873,0.387,0.365723550319672
DDX3Y,8653,0.023,0.365725010633469
BLVRA,644,0.11,0.366115063428879
STC2,8614,0.122,0.36615988612175
ANKRD24,170961,0.013,0.36628594994545
VWA5B2,90113,0.045,0.366411358118057
BICD2,23299,0.052,0.366550892591476
SLC25A36,55186,0.143,0.366777807474136
CLIP4,79745,0.224,0.366898030042648
PDE7B,27115,0.221,0.367013186216354
HTATIP2,10553,0.069,0.367071479558945
LOC641746,0,0.096,0.367393583059311
CLMP,0,0.091,0.367455512285233
ZNF3,7551,0.024,0.367576599121094
SLC22A18AS,5003,0.059,0.36770561337471
OR7E91P,79315,0.261,0.367882251739502
LINC00839,0,0.052,0.367902189493179
PFAS,5198,0.02,0.367999136447906
TGM1,7051,0.104,0.368387520313263
FAM122A,116224,0.014,0.368809998035431
IGFBP2,3485,0.044,0.368894457817078
ARHGEF10L,55160,0.139,0.368936151266098
PLEKHF1,79156,0.039,0.368990004062653
ARID5B,84159,0.039,0.368990987539291
ZNF366,167465,0.024,0.369105130434036
CRABP1,1381,0.085,0.369270384311676
HIVEP2,3097,0.016,0.369308888912201
ACER3,55331,0.047,0.369404852390289
BTBD8,284697,0.17,0.370043128728867
PRRT4,0,0.021,0.370426446199417
TRAM2-AS1,0,0.069,0.370634526014328
