EnrichmentFDR,nGenes,PathwayGenes,FoldEnrichment,Pathway,URL,Genes,Loadings
0.00100027267945838,7,11,8.20042139883858,establishment or maintenance of transmembrane electrochemical gradient ,10248, BAK1  ATP1B3  ATP1A3  ATP4A  ATP1A4  ATP1B1  ATP1A1,0.52463800566537
0.00100027267945838,24,112,2.76136638940483,synaptic vesicle exocytosis ,16079, SLC4A8  CADPS2  STX1B  SNPH  FMR1  NAPA  GIPC1  SNAP25  STXBP1  PREPL  SYT2  STXBP5L  CPLX2  DGKI  BRAF  SYNJ1  ADCY1  PRKCB  CPLX1  SYT12  ATP2A2  STX19  PIP5K1C  LRRK2,0.527854982763529
2.39619577375974e-06,46,231,2.56611826086105,potassium ion transmembrane transport ,71805, ABCC8  ATP1B3  TMEM38A  SLC9A1  HCN2  KCNN4  ATP1A3  ATP4A  KCNT1  KCNA1  KLHL24  KCNIP3  KCNC4  AKAP7  PKD2  KCNJ8  KCNS1  SLC12A5  KCNC1  DPP6  KCNC3  SNAP25  ATP1A4  SLC9A5  CAB39  ATP1B1  KCNH1  AKAP6  SLC24A2  KCNS2  KCNB1  LRRC38  ATP1A1  CCDC51  HCN1  KCNAB3  KCNS3  KCND3  OXSR1  KCNH6  KCNA3  KCNA2  KCNJ14  KCNK12  KCNQ5  KCNJ11,0.557494799727979
0.000949061863578561,28,141,2.55899674857374,cardiac conduction ,61337, CACNA2D2  CACNB1  ATP2B3  ATP1B3  ATP2B1  SLC9A1  ATP1A3  CACNG7  SCN1B  KCNIP3  CACNG6  ATP1A4  CACNG8  ATP1B1  SCN2B  ITPR1  ATP2B2  SPTBN4  ATP1A1  KCND3  KCNH6  ATP2A2  SCN4B  KCNJ14  GJC1  SLC8A1  KCNJ11  RYR2,0.548972763121128
2.39619577375974e-06,49,255,2.47620567729636,potassium ion transport ,6813, ABCC8  ATP1B3  TMEM38A  SLC9A1  HCN2  KCNN4  ATP1A3  ATP4A  KCNT1  KCNA1  CDKN1B  KLHL24  KCNIP3  KCNC4  AKAP7  PKD2  KCNJ8  KCNS1  SLC12A5  ATF4  KCNC1  DPP6  KCNC3  SNAP25  ATP1A4  SLC9A5  CAB39  ATP1B1  KCNH1  AKAP6  SLC24A2  KCNS2  KCNB1  LRRC38  ATP1A1  ADORA1  CCDC51  HCN1  KCNAB3  KCNS3  KCND3  OXSR1  KCNH6  KCNA3  KCNA2  KCNJ14  KCNK12  KCNQ5  KCNJ11,0.553593279147635
0.000270010828736944,34,177,2.47534915509736,sodium ion transmembrane transport ,35725, HECW1  SLC6A13  SLC6A7  SLC4A8  ATP1B3  TESC  SLC9A1  HCN2  ATP1A3  ATP4A  SCN1B  SLC6A12  SLC4A9  FGF12  KLHL24  PKD2  FGF13  SLC6A6  ATP1A4  SLC9A5  TRPM2  ATP1B1  SLC20A1  SCN1A  SHROOM2  SCN2B  SLC24A2  ATP1A1  HCN1  SLC20A2  GLRX  SCN4B  SLC8A1  SCN8A,0.526051012908711
0.00175035832274156,29,155,2.41099947117927,neurotransmitter secretion ,7269, SLC4A8  CADPS2  RPH3A  STX1B  SNPH  FMR1  NAPA  GIPC1  PNKD  SNAP25  STXBP1  PREPL  NAAA  SYT2  STXBP5L  CPLX2  DGKI  BRAF  SYNJ1  BRSK1  ADCY1  PRKCB  CPLX1  SYT12  ATP2A2  STX19  SYN3  PIP5K1C  LRRK2,0.52767432969192
0.00175035832274156,29,155,2.41099947117927,signal release from synapse ,99643, SLC4A8  CADPS2  RPH3A  STX1B  SNPH  FMR1  NAPA  GIPC1  PNKD  SNAP25  STXBP1  PREPL  NAAA  SYT2  STXBP5L  CPLX2  DGKI  BRAF  SYNJ1  BRSK1  ADCY1  PRKCB  CPLX1  SYT12  ATP2A2  STX19  SYN3  PIP5K1C  LRRK2,0.52767432969192
9.39819058919207e-05,42,231,2.34297754252531,neurotransmitter transport ,6836, ICA1  SLC6A13  SLC6A7  SLC4A8  CADPS2  RPH3A  SLC17A6  STX1B  SNPH  FMR1  NAPA  SLC6A12  SLC38A1  SLC29A1  SV2C  GIPC1  PNKD  SLC6A6  SNAP25  SLC38A2  GLS2  STXBP1  PREPL  NAAA  PPFIA4  SYT2  STXBP5L  CPLX2  DGKI  BRAF  SYNJ1  BRSK1  ADCY1  PRKCB  CPLX1  SYT12  ATP2A2  SLC29A2  STX19  SYN3  PIP5K1C  LRRK2,0.512317057166781
0.000539483235754473,36,200,2.31954776710006,multicellular organismal signaling ,35637, CACNA2D2  CACNB1  ATP2B3  ATP1B3  ATP2B1  SLC9A1  FMR1  ATP1A3  CACNG7  SCN1B  CNTNAP1  KCNA1  FGF12  KCNIP3  CACNG6  ATP1A4  CACNG8  ATP1B1  SCN1A  SCN2B  ITPR1  ATP2B2  SPTBN4  ATP1A1  CACNG2  KCND3  KCNH6  ATP2A2  SCN4B  KCNA2  KCNJ14  GJC1  SLC8A1  KCNJ11  SCN8A  RYR2,0.551445383164618
0.000452107684026697,38,214,2.28823507657846,vesicle-mediated transport in synapse ,99003, SLC4A8  SNCB  CADPS2  EPS15  SLC17A6  STX1B  SNPH  FMR1  NAPA  MAPK10  PPP3CC  GIPC1  SNAP25  STXBP1  PREPL  SYT2  GRIP2  STXBP5L  CPLX2  NRG1  MX1  DGKI  BRAF  SYNJ1  BRSK1  ADCY1  PRKCB  CPLX1  SYT12  ATP2A2  STX19  SYN3  PIP5K1C  LRRK2  BTBD8  DNM3  ITSN2  ARC,0.513777763435715
0.000949061863578561,41,249,2.12185315598176,sodium ion transport ,6814, HECW1  SLC6A13  SLC6A7  SLC4A8  ATP1B3  TESC  SLC9A1  SLC17A6  HCN2  MAGED2  ATP1A3  ATP4A  SCN1B  SLC6A12  SLC38A1  SLC4A9  FGF12  KLHL24  PKD2  FGF13  SLC6A6  ATP1A4  SLC38A2  SLC9A5  SLC5A6  TRPM2  ATP1B1  SLC20A1  SCN1A  SHROOM2  SCN2B  SLC24A2  SPTBN4  ATP1A1  HCN1  SLC20A2  SLC38A11  GLRX  SCN4B  SLC8A1  SCN8A,0.520778860260801
0.000504777991370906,45,275,2.10867978827278,heart contraction ,60047, CACNA2D2  MAP2K3  ADRB1  ATG5  CACNB1  ATP2B3  ATP1B3  ATP2B1  TMEM38A  SLC9A1  MYLK2  ATP1A3  CACNG7  SCN1B  GLRX3  FGF12  KCNIP3  TNNT2  KCNJ8  PIK3CA  FGF13  CACNG6  ATP1A4  CACNG8  ATP1B1  SCN1A  ADM  SCN2B  ITPR1  ATP2B2  ACE  SPTBN4  ATP1A1  ADORA1  KCND3  ADRA1D  KCNH6  ATP2A2  SCN4B  KCNJ14  GJC1  SLC8A1  RNLS  KCNJ11  RYR2,0.510822455750571
0.000539483235754473,46,285,2.0799063798558,heart process ,3015, CACNA2D2  MAP2K3  ADRB1  ATG5  CACNB1  ATP2B3  ATP1B3  ATP2B1  TMEM38A  SLC9A1  MYLK2  ATP1A3  CACNG7  SCN1B  GLRX3  FGF12  KCNIP3  TNNT2  KCNJ8  PIK3CA  FGF13  CACNG6  ATP1A4  CACNG8  ATP1B1  SCN1A  ADM  SCN2B  ITPR1  ATP2B2  ACE  SPTBN4  ATP1A1  ADORA1  AKAP13  KCND3  ADRA1D  KCNH6  ATP2A2  SCN4B  KCNJ14  GJC1  SLC8A1  RNLS  KCNJ11  RYR2,0.508046209164288
0.000894365376841251,45,282,2.05633667296104,regulation of ion transmembrane transporter activity ,32412, HECW1  ABCC8  CAPN1  GOPC  RASGRF1  SPHK2  CACNB1  ATP1B3  GNB5  TESC  SLC9A1  FMR1  CACNG7  SCN1B  STIM2  PPARGC1A  KCNA1  FGF12  KLHL24  AKAP7  PKD2  KCNS1  KCNC1  FGF13  EPHB2  CAB39  COX17  STAC2  CACNG8  ATP1B1  SCN2B  AKAP6  KCNS2  LRRC38  C4orf3  CACNG2  OXSR1  GLRX  SCN4B  CACNB4  GRIN2A  KCNJ11  ARC  RYR2  NEFL,0.525925150844786
0.000949061863578561,46,293,2.02311712716349,regulation of transmembrane transporter activity ,22898, HECW1  ABCC8  CAPN1  GOPC  RASGRF1  SPHK2  CACNB1  ATP1B3  GNB5  TESC  SLC9A1  FMR1  CACNG7  SCN1B  STIM2  PPARGC1A  KCNA1  FGF12  KLHL24  AKAP7  PKD2  KCNS1  KCNC1  FGF13  EPHB2  CAB39  PIM1  COX17  STAC2  CACNG8  ATP1B1  SCN2B  AKAP6  KCNS2  LRRC38  C4orf3  CACNG2  OXSR1  GLRX  SCN4B  CACNB4  GRIN2A  KCNJ11  ARC  RYR2  NEFL,0.526178360633228
